test/success_rate,epoch,stats_o/mean,test/episode,train/success_rate,test/mean_Q,stats_o/std,stats_g/mean,train/episode,stats_g/std
0.0,0,0.20403236,20.0,0.04,-0.8217885,0.05381342,0.87235856,100.0,0.1043291
0.1,1,0.20422624,40.0,0.05,-1.1635627,0.056974873,0.87894934,200.0,0.10624667
0.05,2,0.20411578,60.0,0.04,-1.3632672,0.052736826,0.87834054,300.0,0.10641395
0.0,3,0.20455356,80.0,0.07,-2.4025784,0.04979677,0.8779939,400.0,0.10695664
0.05,4,0.2050118,100.0,0.02,-2.841518,0.04814638,0.8760731,500.0,0.10605515
0.0,5,0.20482317,120.0,0.04,-3.7024007,0.04890502,0.8776696,600.0,0.10620729
0.05,6,0.20459387,140.0,0.02,-3.805122,0.048364855,0.87985355,700.0,0.10621818
0.1,7,0.20458472,160.0,0.05,-3.5607362,0.047825336,0.87955517,800.0,0.10700655
0.1,8,0.20454498,180.0,0.01,-3.7475343,0.04683139,0.87898874,900.0,0.10605136
0.05,9,0.20445852,200.0,0.05,-3.8383129,0.04636289,0.8794933,1000.0,0.10588046
0.0,10,0.20456848,220.0,0.03,-4.980691,0.045732595,0.8795624,1100.0,0.106038116
0.0,11,0.20438325,240.0,0.01,-6.5182657,0.046623997,0.8795964,1200.0,0.1064204
0.0,12,0.20439346,260.0,0.04,-5.9174414,0.04611164,0.878969,1300.0,0.10596933
0.05,13,0.20435573,280.0,0.03,-5.711702,0.04568636,0.8793108,1400.0,0.10630628
0.15,14,0.20438719,300.0,0.02,-5.746938,0.045446623,0.8790572,1500.0,0.1063402
0.1,15,0.2043237,320.0,0.04,-6.9392853,0.045178413,0.87902623,1600.0,0.106298804
0.1,16,0.20431837,340.0,0.02,-6.3181868,0.045112997,0.8783517,1700.0,0.10614681
0.0,17,0.20424189,360.0,0.02,-6.7794166,0.044861827,0.87778205,1800.0,0.10632404
0.05,18,0.20414981,380.0,0.0,-7.3895745,0.044647545,0.87809414,1900.0,0.1064169
0.15,19,0.2040697,400.0,0.03,-7.15875,0.04436098,0.8779869,2000.0,0.106293894
0.05,20,0.20405549,420.0,0.06,-7.318654,0.044155177,0.87779063,2100.0,0.10624578
0.0,21,0.20410205,440.0,0.03,-7.4890275,0.04391996,0.8779146,2200.0,0.10646833
0.05,22,0.204075,460.0,0.03,-6.650266,0.04380643,0.87801117,2300.0,0.10659123
0.0,23,0.20407805,480.0,0.05,-8.246746,0.04372704,0.8779128,2400.0,0.10650871
0.0,24,0.20404595,500.0,0.02,-7.898027,0.044204913,0.87712175,2500.0,0.10622462
0.05,25,0.20403922,520.0,0.04,-8.638667,0.043992452,0.8772297,2600.0,0.106257744
0.0,26,0.20414211,540.0,0.05,-8.141584,0.04407991,0.8771058,2700.0,0.10630817
0.05,27,0.20416026,560.0,0.04,-8.374472,0.04407437,0.87681466,2800.0,0.1061719
0.1,28,0.20414582,580.0,0.02,-8.784414,0.043967605,0.8771279,2900.0,0.1062431
0.0,29,0.20414609,600.0,0.01,-8.815485,0.04382559,0.87716645,3000.0,0.10634041
0.05,30,0.20415516,620.0,0.02,-12.363885,0.043988958,0.877234,3100.0,0.10634462
0.05,31,0.20409317,640.0,0.04,-9.5566225,0.043862917,0.8769295,3200.0,0.10644555
0.0,32,0.20405401,660.0,0.04,-8.010415,0.043747477,0.8769091,3300.0,0.10637001
0.0,33,0.2041023,680.0,0.01,-10.01526,0.043593213,0.87662965,3400.0,0.10629624
0.05,34,0.2040913,700.0,0.05,-9.982244,0.04354531,0.8767536,3500.0,0.106321834
0.05,35,0.20408438,720.0,0.03,-10.093684,0.04351419,0.87675697,3600.0,0.10613066
0.05,36,0.20413208,740.0,0.07,-9.538455,0.043396078,0.8767166,3700.0,0.10615188
0.05,37,0.20409517,760.0,0.02,-9.952089,0.04331056,0.8768824,3800.0,0.106178105
0.0,38,0.20402811,780.0,0.02,-10.1321945,0.04348459,0.8768241,3900.0,0.10604474
0.1,39,0.20398998,800.0,0.03,-9.224745,0.043365594,0.876653,4000.0,0.10598885
0.05,40,0.20399743,820.0,0.05,-8.096744,0.04335101,0.8763766,4100.0,0.105917685
0.0,41,0.2040038,840.0,0.03,-8.4490185,0.04338117,0.8762621,4200.0,0.10581919
0.0,42,0.20403762,860.0,0.03,-10.126849,0.04354463,0.8760976,4300.0,0.10582926
0.0,43,0.20400682,880.0,0.01,-9.760778,0.043624006,0.87616396,4400.0,0.10580345
0.0,44,0.20398778,900.0,0.04,-10.302418,0.04354507,0.87611705,4500.0,0.10586157
0.1,45,0.20399725,920.0,0.07,-10.237436,0.04354433,0.87614805,4600.0,0.1058894
0.05,46,0.20398249,940.0,0.03,-11.928866,0.04359557,0.8762104,4700.0,0.10587702
0.05,47,0.20399784,960.0,0.02,-8.5415535,0.04366857,0.8759907,4800.0,0.10590892
0.05,48,0.204015,980.0,0.05,-9.67695,0.043585744,0.87604827,4900.0,0.10595602
0.0,49,0.20404075,1000.0,0.01,-12.64921,0.043499567,0.8760492,5000.0,0.10585018
0.05,50,0.20405,1020.0,0.05,-9.547462,0.04355517,0.875962,5100.0,0.10579624
0.05,51,0.20402792,1040.0,0.05,-11.2008505,0.043800417,0.87586325,5200.0,0.10581529
0.0,52,0.20404057,1060.0,0.0,-12.16095,0.043722097,0.8757398,5300.0,0.10579731
0.05,53,0.2040217,1080.0,0.04,-10.410311,0.04382314,0.87545794,5400.0,0.10574641
0.0,54,0.20399,1100.0,0.02,-10.914102,0.043780588,0.8753846,5500.0,0.10574869
0.0,55,0.2039944,1120.0,0.02,-11.063466,0.043904975,0.8752899,5600.0,0.105690695
0.0,56,0.20400973,1140.0,0.03,-10.631329,0.04388484,0.8752265,5700.0,0.105641305
0.0,57,0.20400637,1160.0,0.03,-10.925409,0.043835826,0.87520367,5800.0,0.10573117
0.05,58,0.20400883,1180.0,0.04,-9.822974,0.043791767,0.87524706,5900.0,0.105647884
0.0,59,0.20397617,1200.0,0.02,-10.664678,0.043807965,0.87528807,6000.0,0.105551064
0.1,60,0.20395325,1220.0,0.02,-9.303823,0.04402007,0.87526256,6100.0,0.10553483
0.05,61,0.2039404,1240.0,0.07,-11.159559,0.04413233,0.8753223,6200.0,0.105493166
0.0,62,0.20395488,1260.0,0.02,-9.14174,0.04456074,0.87559766,6300.0,0.10555833
0.05,63,0.2039586,1280.0,0.05,-10.136293,0.044496838,0.8755207,6400.0,0.10554103
0.0,64,0.20394546,1300.0,0.03,-8.066343,0.044439092,0.87551636,6500.0,0.105525754
0.0,65,0.20393635,1320.0,0.01,-9.749514,0.044605598,0.8755173,6600.0,0.10557745
0.0,66,0.20394687,1340.0,0.03,-10.920471,0.044648577,0.87549704,6700.0,0.10549805
0.05,67,0.20394802,1360.0,0.05,-11.848782,0.044610757,0.87545586,6800.0,0.10552987
0.0,68,0.20394225,1380.0,0.06,-12.248093,0.04459394,0.87533164,6900.0,0.10549479
0.1,69,0.20392282,1400.0,0.04,-10.679847,0.044579018,0.87548226,7000.0,0.105502844
0.0,70,0.203934,1420.0,0.03,-12.780678,0.044799954,0.8753963,7100.0,0.105427355
0.1,71,0.2039571,1440.0,0.06,-8.419944,0.044758383,0.87547636,7200.0,0.105644755
0.0,72,0.20396593,1460.0,0.02,-8.843421,0.044741154,0.8755633,7300.0,0.105639964
0.05,73,0.20396905,1480.0,0.02,-9.668202,0.044745464,0.8755906,7400.0,0.105669044
0.0,74,0.2039634,1500.0,0.04,-8.827304,0.04491915,0.87553596,7500.0,0.10568881
0.0,75,0.20396022,1520.0,0.06,-10.1674185,0.044858202,0.8754969,7600.0,0.10564589
0.05,76,0.20398358,1540.0,0.03,-9.087897,0.044954754,0.875403,7700.0,0.10562327
0.0,77,0.20397754,1560.0,0.04,-9.730677,0.04501535,0.8753801,7800.0,0.10562533
0.05,78,0.20395681,1580.0,0.04,-12.182705,0.045145765,0.875336,7900.0,0.10560766
0.1,79,0.2039575,1600.0,0.03,-10.348674,0.045487527,0.8754496,8000.0,0.10573999
0.0,80,0.20394927,1620.0,0.05,-8.755447,0.04552157,0.8754452,8100.0,0.10577152
0.05,81,0.2039912,1640.0,0.03,-10.381834,0.045588788,0.87546635,8200.0,0.10578806
0.0,82,0.20399606,1660.0,0.03,-9.698629,0.04559949,0.8753867,8300.0,0.105778635
0.0,83,0.2040007,1680.0,0.02,-11.059099,0.045531403,0.87537956,8400.0,0.10579362
0.05,84,0.20401466,1700.0,0.06,-10.097004,0.045548316,0.87551993,8500.0,0.1057986
0.0,85,0.2040209,1720.0,0.03,-10.518288,0.04558642,0.8754694,8600.0,0.10575821
0.05,86,0.20403785,1740.0,0.03,-10.502233,0.04592553,0.87540513,8700.0,0.10575547
0.0,87,0.20401439,1760.0,0.05,-9.602892,0.04589007,0.8754508,8800.0,0.10573155
0.0,88,0.20402534,1780.0,0.03,-9.896855,0.04588132,0.87547725,8900.0,0.10577073
0.05,89,0.20401262,1800.0,0.03,-11.5051365,0.045891233,0.8756096,9000.0,0.105831325
0.0,90,0.20404477,1820.0,0.03,-11.740156,0.04615871,0.8755849,9100.0,0.105843544
0.0,91,0.20406875,1840.0,0.05,-8.014864,0.04613463,0.87553763,9200.0,0.10588512
0.0,92,0.20406525,1860.0,0.02,-12.709839,0.046173647,0.8755474,9300.0,0.105870895
0.0,93,0.2040574,1880.0,0.03,-10.395693,0.0461386,0.8755102,9400.0,0.10587571
0.0,94,0.20400524,1900.0,0.05,-12.015725,0.04627604,0.87553334,9500.0,0.10589991
0.05,95,0.20402269,1920.0,0.02,-7.9763236,0.046339583,0.875477,9600.0,0.105878614
0.05,96,0.20399837,1940.0,0.01,-9.23742,0.04658837,0.8755703,9700.0,0.10592697
0.05,97,0.2040145,1960.0,0.05,-10.772725,0.04667136,0.8756849,9800.0,0.105919756
0.0,98,0.20401844,1980.0,0.05,-10.449242,0.046681132,0.87572646,9900.0,0.10591676
0.0,99,0.20402998,2000.0,0.04,-11.537596,0.046735544,0.8757093,10000.0,0.10593144
0.2,100,0.2040348,2020.0,0.01,-7.2819643,0.046909403,0.87565774,10100.0,0.1059226
0.05,101,0.20402566,2040.0,0.01,-10.949394,0.046976417,0.8756792,10200.0,0.10595576
0.0,102,0.20401709,2060.0,0.03,-12.147915,0.047062654,0.87568974,10300.0,0.10592753
0.05,103,0.20403016,2080.0,0.04,-10.455193,0.04704463,0.8756699,10400.0,0.10589681
0.1,104,0.20402175,2100.0,0.04,-8.2314205,0.04716624,0.8756976,10500.0,0.105887316
0.0,105,0.20402068,2120.0,0.09,-11.445696,0.04710576,0.87556475,10600.0,0.10586228
0.0,106,0.20401669,2140.0,0.05,-9.794268,0.047220424,0.87550974,10700.0,0.10586086
0.1,107,0.20402831,2160.0,0.06,-10.502941,0.047354784,0.8755994,10800.0,0.10585179
