stats_g/mean,stats_o/std,stats_o/mean,epoch,test/episode,stats_g/std,test/success_rate,train/success_rate,test/mean_Q,train/episode
0.842892,0.041321393,0.2009025,0,20.0,0.06110036,0.1,0.05,-0.69388974,100.0
0.84289557,0.040445317,0.20075226,1,40.0,0.062271014,0.0,0.11,-1.1456418,200.0
0.84189653,0.038260184,0.20076084,2,60.0,0.061792057,0.1,0.05,-1.2553053,300.0
0.840089,0.037500195,0.20135772,3,80.0,0.061344836,0.05,0.1,-1.6784788,400.0
0.8403223,0.03742967,0.20176841,4,100.0,0.061011408,0.0,0.09,-2.2097487,500.0
0.8408602,0.037107524,0.20168734,5,120.0,0.06048565,0.1,0.04,-2.465404,600.0
0.8405063,0.039074406,0.20135608,6,140.0,0.060349796,0.2,0.03,-1.9778187,700.0
0.840688,0.038573112,0.20135601,7,160.0,0.060461447,0.1,0.11,-2.8386614,800.0
0.8405883,0.040037822,0.20130743,8,180.0,0.060578313,0.1,0.09,-2.9604094,900.0
0.84068465,0.03973537,0.20115215,9,200.0,0.060583685,0.05,0.07,-3.6171794,1000.0
0.84016705,0.03962988,0.20122403,10,220.0,0.060256865,0.15,0.08,-2.7882037,1100.0
0.8403716,0.03942363,0.20110156,11,240.0,0.060410652,0.0,0.05,-4.039742,1200.0
0.8398678,0.039099887,0.20117357,12,260.0,0.060168173,0.05,0.05,-3.828588,1300.0
0.83975774,0.03901821,0.20113844,13,280.0,0.06011188,0.05,0.05,-4.2514772,1400.0
0.83972,0.039039545,0.20106263,14,300.0,0.060262933,0.05,0.05,-4.6045113,1500.0
0.83989364,0.039193273,0.20112303,15,320.0,0.060293898,0.05,0.05,-5.154074,1600.0
0.83996874,0.039727665,0.20126861,16,340.0,0.060484704,0.1,0.04,-4.0989084,1700.0
0.8398811,0.03949366,0.20128089,17,360.0,0.060713634,0.05,0.11,-5.394148,1800.0
0.83984447,0.040194325,0.2012246,18,380.0,0.060668025,0.15,0.09,-4.29812,1900.0
0.8396569,0.04004528,0.20120262,19,400.0,0.060727883,0.1,0.11,-4.557271,2000.0
0.83955544,0.03991531,0.20126812,20,420.0,0.06072582,0.0,0.02,-5.836654,2100.0
0.8393066,0.04041067,0.20127064,21,440.0,0.060840663,0.15,0.05,-5.172039,2200.0
0.839264,0.040398255,0.20118436,22,460.0,0.06071255,0.1,0.05,-5.620775,2300.0
0.83924013,0.04040113,0.20111212,23,480.0,0.06072012,0.15,0.11,-5.630032,2400.0
0.83931994,0.040318962,0.20111835,24,500.0,0.060699362,0.05,0.08,-5.032365,2500.0
0.8392945,0.040531684,0.20112392,25,520.0,0.060719576,0.1,0.03,-5.766084,2600.0
0.83915734,0.04064426,0.20112781,26,540.0,0.060825467,0.0,0.14,-7.793437,2700.0
0.83926195,0.040538494,0.20108776,27,560.0,0.060821295,0.0,0.05,-5.5334253,2800.0
0.8392418,0.04074752,0.20104414,28,580.0,0.06062968,0.1,0.03,-5.9980454,2900.0
0.8390346,0.04168045,0.20101482,29,600.0,0.060596857,0.0,0.06,-6.988491,3000.0
0.83906746,0.041783277,0.20097806,30,620.0,0.060558032,0.0,0.08,-5.7410107,3100.0
0.83899385,0.041932885,0.20100252,31,640.0,0.060590748,0.05,0.05,-7.327867,3200.0
0.839135,0.04223135,0.20102766,32,660.0,0.06062382,0.05,0.1,-6.045904,3300.0
0.8389551,0.04214935,0.20109077,33,680.0,0.060663942,0.1,0.05,-6.019247,3400.0
0.83895683,0.042084865,0.20107512,34,700.0,0.060678944,0.05,0.07,-6.082246,3500.0
0.8389246,0.042004228,0.20111458,35,720.0,0.060686376,0.2,0.09,-6.783011,3600.0
0.838882,0.04197215,0.20113681,36,740.0,0.060726818,0.0,0.09,-7.1898627,3700.0
0.83885425,0.04183812,0.20116751,37,760.0,0.060646128,0.1,0.03,-6.137939,3800.0
0.83882195,0.041775923,0.2011765,38,780.0,0.06063923,0.2,0.06,-5.622063,3900.0
0.8387354,0.041889295,0.2011582,39,800.0,0.06060153,0.05,0.03,-6.3897123,4000.0
0.8386736,0.041853834,0.20113327,40,820.0,0.060618725,0.1,0.08,-6.061281,4100.0
0.8387762,0.04218338,0.20112494,41,840.0,0.06063475,0.1,0.06,-7.052339,4200.0
0.8386448,0.04229086,0.20113277,42,860.0,0.0606226,0.15,0.02,-6.435121,4300.0
0.8388295,0.042816464,0.20111723,43,880.0,0.060579285,0.05,0.07,-8.400267,4400.0
0.83900636,0.04370408,0.20109613,44,900.0,0.060598295,0.05,0.04,-6.7994614,4500.0
0.838996,0.043840855,0.20113161,45,920.0,0.060639795,0.1,0.08,-6.7532907,4600.0
0.8389527,0.044295635,0.20112632,46,940.0,0.0607129,0.0,0.1,-7.422345,4700.0
0.83897066,0.044787895,0.20105955,47,960.0,0.06069995,0.15,0.05,-6.3550863,4800.0
0.83905214,0.044792462,0.20103815,48,980.0,0.060655277,0.1,0.08,-5.578026,4900.0
0.8391168,0.045256313,0.20100957,49,1000.0,0.06065515,0.1,0.12,-6.0039225,5000.0
0.8391013,0.04559101,0.20102206,50,1020.0,0.060676184,0.05,0.06,-6.9582796,5100.0
0.8391156,0.045735873,0.20103136,51,1040.0,0.06070228,0.05,0.11,-6.885924,5200.0
