test/success_rate,test/mean_Q,epoch,stats_g/std,train/success_rate,stats_o/std,train/episode,stats_g/mean,stats_o/mean,test/episode
0.0,-0.28988874,0,0.09069506,0.0,0.027082294,20.0,0.88190395,0.2596746,20.0
0.05,-0.30463073,1,0.087868124,0.05,0.024962332,40.0,0.8751607,0.26083934,40.0
0.3,-0.33281857,2,0.087719046,0.0,0.023748795,60.0,0.8724742,0.26068324,60.0
0.75,-0.35704523,3,0.08667006,0.15,0.023494938,80.0,0.8744362,0.26180398,80.0
0.5,-0.41184992,4,0.08753932,0.05,0.023071304,100.0,0.87356496,0.2619077,100.0
0.7,-0.42574692,5,0.08752448,0.05,0.023047704,120.0,0.8737715,0.2620967,120.0
0.85,-0.43286338,6,0.08711613,0.35,0.023143265,140.0,0.8721549,0.26192576,140.0
0.9,-0.4060766,7,0.08640001,0.45,0.023156371,160.0,0.874067,0.26220173,160.0
0.9,-0.45767117,8,0.08633867,0.45,0.023222188,180.0,0.87369746,0.26192814,180.0
0.95,-0.4869793,9,0.08669236,0.35,0.023432454,200.0,0.8738944,0.26188523,200.0
1.0,-0.4665199,10,0.08675126,0.6,0.023611322,220.0,0.87426704,0.26195797,220.0
1.0,-0.48078093,11,0.0868048,0.45,0.023860637,240.0,0.87370366,0.26185533,240.0
1.0,-0.47117648,12,0.087095894,0.65,0.024159903,260.0,0.8745074,0.2619736,260.0
1.0,-0.47037524,13,0.08686459,0.7,0.024364477,280.0,0.8748627,0.26203462,280.0
1.0,-0.48770538,14,0.08690717,0.75,0.02463634,300.0,0.87563044,0.26227266,300.0
1.0,-0.5078196,15,0.0870349,0.8,0.024910163,320.0,0.8765325,0.26249227,320.0
1.0,-0.5093165,16,0.08725541,0.6,0.025116954,340.0,0.8764792,0.2624845,340.0
1.0,-0.4670263,17,0.08708832,0.6,0.02528967,360.0,0.8756469,0.26234645,360.0
1.0,-0.4743746,18,0.08702317,0.55,0.025479844,380.0,0.875073,0.26223338,380.0
1.0,-0.53540313,19,0.087319635,0.65,0.02577966,400.0,0.8755529,0.26237112,400.0
1.0,-0.51509035,20,0.08745737,0.7,0.02602129,420.0,0.87560636,0.2624215,420.0
1.0,-0.52902997,21,0.08771493,0.8,0.026271317,440.0,0.8756943,0.2624585,440.0
1.0,-0.46906042,22,0.08749858,0.5,0.026355987,460.0,0.87629795,0.2626573,460.0
1.0,-0.4821008,23,0.0874233,0.75,0.026486788,480.0,0.8766451,0.26274693,480.0
1.0,-0.4776495,24,0.08734494,0.85,0.026589666,500.0,0.8764301,0.2627092,500.0
1.0,-0.51749325,25,0.08739409,0.6,0.026720688,520.0,0.8761824,0.26264897,520.0
1.0,-0.46974903,26,0.087178566,0.8,0.026769852,540.0,0.8759427,0.26258013,540.0
1.0,-0.4848937,27,0.08709117,0.65,0.026847351,560.0,0.87656933,0.26272476,560.0
1.0,-0.44517684,28,0.08685416,0.6,0.026886895,580.0,0.87613696,0.26260516,580.0
1.0,-0.51260835,29,0.086957075,0.65,0.026969085,600.0,0.8756563,0.26248792,600.0
1.0,-0.4480978,30,0.08677119,0.85,0.026988009,620.0,0.87562084,0.2625143,620.0
1.0,-0.565331,31,0.0869567,0.8,0.027155364,640.0,0.8758654,0.26259583,640.0
1.0,-0.48524445,32,0.08697319,0.7,0.02727357,660.0,0.8760527,0.26264423,660.0
1.0,-0.5370279,33,0.08712068,0.75,0.027411306,680.0,0.87593955,0.2626558,680.0
1.0,-0.48107582,34,0.08704331,0.85,0.027500317,700.0,0.8759393,0.262637,700.0
1.0,-0.49007684,35,0.08695739,0.55,0.027536277,720.0,0.8760881,0.2626886,720.0
1.0,-0.4549697,36,0.086791866,0.8,0.027574573,740.0,0.8760678,0.26268405,740.0
1.0,-0.521564,37,0.08685473,0.8,0.027682528,760.0,0.87542015,0.26249832,760.0
1.0,-0.5215848,38,0.086990334,0.75,0.027731624,780.0,0.8751448,0.26244563,780.0
1.0,-0.5000702,39,0.086978495,0.7,0.027790215,800.0,0.8754825,0.2625453,800.0
1.0,-0.47749168,40,0.08694309,0.85,0.027839545,820.0,0.8754551,0.2625384,820.0
1.0,-0.48414683,41,0.086927675,0.8,0.027884398,840.0,0.8755794,0.2625708,840.0
1.0,-0.4900195,42,0.08692622,0.8,0.027900895,860.0,0.87541133,0.2625409,860.0
1.0,-0.49545535,43,0.08691001,0.8,0.027943019,880.0,0.8757334,0.26262134,880.0
1.0,-0.47891402,44,0.08687361,0.75,0.027993813,900.0,0.8761508,0.2627394,900.0
1.0,-0.47395062,45,0.08674956,0.7,0.027978282,920.0,0.87618214,0.262729,920.0
1.0,-0.51983327,46,0.0868988,0.85,0.028058747,940.0,0.8763985,0.26278755,940.0
