stats_g/mean,test/success_rate,train/success_rate,stats_o/mean,stats_o/std,test/mean_Q,epoch,test/episode,stats_g/std,train/episode
0.8576068,0.0,0.0,0.17878541,0.06024506,-1.6513202,0,20.0,0.116477676,100.0
0.8563283,0.0,0.01,0.17725413,0.05889588,-2.6724138,1,40.0,0.11831828,200.0
0.8523858,0.0,0.01,0.1788296,0.056264266,-3.2147586,2,60.0,0.11935576,300.0
0.85096294,0.0,0.0,0.17815486,0.05493697,-4.6337676,3,80.0,0.11913777,400.0
0.8501981,0.0,0.02,0.17837451,0.053939037,-5.547612,4,100.0,0.11883924,500.0
0.85026073,0.0,0.01,0.17811589,0.053613797,-6.7249603,5,120.0,0.11776254,600.0
0.84862536,0.0,0.01,0.17829245,0.052604083,-7.276282,6,140.0,0.117684044,700.0
0.8511737,0.0,0.01,0.17824629,0.05278126,-6.646266,7,160.0,0.11810503,800.0
0.85039395,0.0,0.0,0.17804955,0.05371295,-7.499948,8,180.0,0.11868235,900.0
0.84947795,0.0,0.0,0.17821631,0.05438718,-9.94662,9,200.0,0.11837264,1000.0
0.84905916,0.0,0.0,0.17813507,0.05542828,-9.924076,10,220.0,0.118128456,1100.0
0.8501167,0.05,0.01,0.17809552,0.055158637,-9.334253,11,240.0,0.118439704,1200.0
0.85006744,0.0,0.0,0.17815569,0.055609617,-11.551636,12,260.0,0.11852831,1300.0
0.84993654,0.0,0.0,0.17839345,0.055265676,-10.169313,13,280.0,0.11811934,1400.0
0.850437,0.05,0.0,0.17825569,0.055714212,-8.924201,14,300.0,0.11788859,1500.0
0.85014826,0.0,0.01,0.17833464,0.055415567,-10.619643,15,320.0,0.117780805,1600.0
0.8503763,0.0,0.01,0.17833737,0.056131173,-8.787636,16,340.0,0.11810938,1700.0
0.8505473,0.0,0.04,0.17840584,0.05703868,-14.0705,17,360.0,0.11779269,1800.0
0.8505516,0.0,0.0,0.17842335,0.058185242,-11.411724,18,380.0,0.11766106,1900.0
0.84982085,0.0,0.01,0.17833088,0.059320137,-12.35346,19,400.0,0.11764401,2000.0
0.85068154,0.05,0.02,0.17833532,0.059766274,-10.990521,20,420.0,0.117811166,2100.0
0.85085267,0.0,0.01,0.1784084,0.059975643,-13.096379,21,440.0,0.11736479,2200.0
0.8510525,0.0,0.0,0.17855439,0.060255412,-12.554562,22,460.0,0.11765993,2300.0
0.85008174,0.05,0.01,0.17870885,0.06046969,-11.670109,23,480.0,0.11770117,2400.0
0.8502657,0.0,0.01,0.17879894,0.061435297,-11.158028,24,500.0,0.11775138,2500.0
0.85031337,0.0,0.02,0.17881726,0.062264033,-11.323189,25,520.0,0.117596686,2600.0
0.8504598,0.0,0.01,0.17887163,0.063388884,-10.801458,26,540.0,0.11757865,2700.0
0.8506331,0.0,0.02,0.17895417,0.06457986,-10.458361,27,560.0,0.11757662,2800.0
0.85051155,0.1,0.02,0.17924652,0.06532284,-9.762133,28,580.0,0.11779648,2900.0
0.85036606,0.0,0.0,0.17946984,0.06663652,-9.903742,29,600.0,0.11795992,3000.0
0.8506033,0.0,0.03,0.17954266,0.06784168,-9.626336,30,620.0,0.11790723,3100.0
0.850303,0.05,0.0,0.17964065,0.068216,-8.956408,31,640.0,0.11785833,3200.0
0.8503005,0.05,0.01,0.17979027,0.0686127,-8.962036,32,660.0,0.11778402,3300.0
0.8500964,0.0,0.01,0.17996971,0.069031015,-9.593595,33,680.0,0.117827326,3400.0
0.84976465,0.05,0.0,0.1800427,0.070383,-10.621512,34,700.0,0.117900796,3500.0
0.84997207,0.0,0.03,0.18010491,0.070721604,-10.347882,35,720.0,0.11809852,3600.0
0.850276,0.0,0.02,0.18016616,0.07148376,-9.727861,36,740.0,0.11809999,3700.0
0.8502222,0.0,0.02,0.18031506,0.07256405,-13.390857,37,760.0,0.118147336,3800.0
