epoch,stats_g/mean,train/success_rate,test/episode,test/success_rate,stats_g/std,stats_o/mean,train/episode,test/mean_Q,stats_o/std
0,0.87235856,0.04,20.0,0.0,0.1043291,0.20388243,100.0,-2.9759343,0.045063928
1,0.87894934,0.05,40.0,0.1,0.10624667,0.2036079,200.0,-4.638267,0.046485767
2,0.87834054,0.04,60.0,0.05,0.10641395,0.20378013,300.0,-6.454769,0.043636736
3,0.8779939,0.08,80.0,0.0,0.10695664,0.20430571,400.0,-8.345906,0.04224517
4,0.8760731,0.02,100.0,0.05,0.10605515,0.20482601,500.0,-10.012626,0.04253715
5,0.8776696,0.04,120.0,0.0,0.10620729,0.20459484,600.0,-12.352143,0.04201027
6,0.87985355,0.03,140.0,0.05,0.10621818,0.20437396,700.0,-13.505766,0.04191135
7,0.87955517,0.04,160.0,0.1,0.10700655,0.20435491,800.0,-14.160367,0.042021327
8,0.87898874,0.01,180.0,0.1,0.10605136,0.20424856,900.0,-14.451378,0.043861605
9,0.8794933,0.05,200.0,0.05,0.10588046,0.20421812,1000.0,-17.368336,0.04449195
10,0.8795624,0.03,220.0,0.0,0.106038116,0.20432182,1100.0,-19.821163,0.04531872
11,0.8795964,0.01,240.0,0.0,0.1064204,0.20419961,1200.0,-21.959415,0.045272473
12,0.878969,0.04,260.0,0.0,0.10596933,0.20426586,1300.0,-22.30427,0.047138236
13,0.8793108,0.03,280.0,0.05,0.10630628,0.2042045,1400.0,-22.474697,0.04711129
14,0.8790572,0.03,300.0,0.15,0.1063402,0.2042359,1500.0,-21.475245,0.047152676
15,0.87902623,0.04,320.0,0.1,0.106298804,0.20415898,1600.0,-23.132565,0.04692483
16,0.8783517,0.02,340.0,0.1,0.10614681,0.20419626,1700.0,-23.405071,0.04725964
17,0.87778205,0.02,360.0,0.0,0.10632404,0.2040867,1800.0,-25.820883,0.048043836
18,0.87809414,0.0,380.0,0.05,0.1064169,0.2039639,1900.0,-25.735973,0.048714552
19,0.8779869,0.03,400.0,0.15,0.106293894,0.2039466,2000.0,-24.802622,0.0498297
20,0.87779063,0.06,420.0,0.05,0.10624578,0.2039482,2100.0,-26.56512,0.05073816
21,0.8779146,0.03,440.0,0.0,0.10646833,0.20400259,2200.0,-29.865015,0.05089246
22,0.87801117,0.03,460.0,0.05,0.10659123,0.20401998,2300.0,-28.19991,0.05166287
23,0.8779128,0.06,480.0,0.0,0.10650871,0.20399672,2400.0,-30.314579,0.051720653
24,0.87712175,0.03,500.0,0.0,0.10622462,0.20393953,2500.0,-30.606329,0.053251468
25,0.8772297,0.04,520.0,0.05,0.106257744,0.20397477,2600.0,-29.671772,0.053285103
26,0.8771058,0.05,540.0,0.0,0.10630817,0.20411257,2700.0,-32.99559,0.05324678
27,0.87681466,0.03,560.0,0.05,0.1061719,0.20410284,2800.0,-29.71201,0.053222932
28,0.8771279,0.02,580.0,0.1,0.1062431,0.2041051,2900.0,-31.00655,0.05326625
29,0.87716645,0.01,600.0,0.0,0.10634041,0.20407937,3000.0,-34.02997,0.053245675
30,0.877234,0.02,620.0,0.05,0.10634462,0.204087,3100.0,-34.962517,0.05305202
31,0.8769295,0.04,640.0,0.05,0.10644555,0.20402382,3200.0,-34.61053,0.05280093
32,0.8769091,0.04,660.0,0.0,0.10637001,0.20399201,3300.0,-36.238945,0.052945733
33,0.87662965,0.01,680.0,0.0,0.10629624,0.20404452,3400.0,-36.917583,0.05290907
34,0.8767536,0.06,700.0,0.05,0.106321834,0.20404695,3500.0,-37.33601,0.0528088
35,0.87675697,0.02,720.0,0.05,0.10613066,0.20404997,3600.0,-36.91095,0.052750036
36,0.8767166,0.07,740.0,0.05,0.10615188,0.20410049,3700.0,-37.10379,0.052628536
37,0.8768824,0.02,760.0,0.05,0.106178105,0.20409112,3800.0,-36.353245,0.052896574
38,0.8768241,0.02,780.0,0.0,0.10604474,0.20404075,3900.0,-37.211834,0.052665994
39,0.876653,0.03,800.0,0.1,0.10598885,0.20402567,4000.0,-33.86146,0.052696224
40,0.8763766,0.05,820.0,0.05,0.105917685,0.20403875,4100.0,-37.481056,0.052499514
41,0.8762621,0.03,840.0,0.0,0.10581919,0.20403583,4200.0,-38.907066,0.053069767
42,0.8760976,0.03,860.0,0.0,0.10582926,0.20404807,4300.0,-39.504047,0.052991565
43,0.87616396,0.03,880.0,0.0,0.10580345,0.20400782,4400.0,-39.833946,0.052829046
44,0.87611705,0.04,900.0,0.0,0.10586157,0.20398916,4500.0,-39.24361,0.052896574
45,0.87614805,0.07,920.0,0.1,0.1058894,0.2039954,4600.0,-36.43327,0.05285002
46,0.8762104,0.03,940.0,0.05,0.10587702,0.20397574,4700.0,-41.436165,0.052939307
47,0.8759907,0.02,960.0,0.05,0.10590892,0.20399477,4800.0,-37.527985,0.052850537
48,0.87604827,0.04,980.0,0.05,0.10595602,0.20403004,4900.0,-39.581272,0.052965008
49,0.8760492,0.01,1000.0,0.0,0.10585018,0.20405951,5000.0,-44.059868,0.05291053
50,0.875962,0.05,1020.0,0.05,0.10579624,0.20404929,5100.0,-40.10044,0.053389024
51,0.87586325,0.06,1040.0,0.05,0.10581529,0.20402186,5200.0,-40.89344,0.05347834
52,0.8757398,0.0,1060.0,0.0,0.10579731,0.20403323,5300.0,-42.842953,0.053679205
53,0.87545794,0.05,1080.0,0.05,0.10574641,0.20401886,5400.0,-39.134327,0.05393516
54,0.8753846,0.03,1100.0,0.0,0.10574869,0.20399453,5500.0,-40.74984,0.054050848
55,0.8752899,0.01,1120.0,0.0,0.105690695,0.20397736,5600.0,-39.062828,0.054476343
56,0.8752265,0.02,1140.0,0.0,0.105641305,0.20400982,5700.0,-43.142323,0.055108804
57,0.87520367,0.03,1160.0,0.0,0.10573117,0.20399939,5800.0,-40.93607,0.055089742
58,0.87524706,0.04,1180.0,0.05,0.105647884,0.20400372,5900.0,-37.42582,0.05504372
59,0.87528807,0.02,1200.0,0.0,0.105551064,0.20397191,6000.0,-43.78605,0.054989576
60,0.87526256,0.02,1220.0,0.1,0.10553483,0.20392102,6100.0,-38.726654,0.055050474
61,0.8753223,0.07,1240.0,0.05,0.105493166,0.20387948,6200.0,-40.986675,0.055327795
62,0.87559766,0.02,1260.0,0.0,0.10555833,0.20388527,6300.0,-42.1475,0.055389438
63,0.8755207,0.04,1280.0,0.05,0.10554103,0.20387445,6400.0,-41.867775,0.055455197
64,0.87551636,0.04,1300.0,0.0,0.105525754,0.20386952,6500.0,-39.843605,0.055539027
65,0.8755173,0.01,1320.0,0.0,0.10557745,0.20387205,6600.0,-41.910446,0.05559676
66,0.87549704,0.03,1340.0,0.0,0.10549805,0.20387751,6700.0,-41.494442,0.055567484
67,0.87545586,0.05,1360.0,0.05,0.10552987,0.20388441,6800.0,-41.82725,0.05580591
68,0.87533164,0.06,1380.0,0.0,0.10549479,0.2038808,6900.0,-44.665207,0.056036215
69,0.87548226,0.05,1400.0,0.1,0.105502844,0.20386143,7000.0,-40.233284,0.05601151
70,0.8753963,0.03,1420.0,0.0,0.105427355,0.20388699,7100.0,-43.650333,0.05639372
71,0.87547636,0.06,1440.0,0.05,0.105644755,0.20391518,7200.0,-35.2023,0.056534722
72,0.8755633,0.02,1460.0,0.0,0.105639964,0.20392512,7300.0,-36.141014,0.056559257
73,0.8755906,0.02,1480.0,0.05,0.105669044,0.20392591,7400.0,-41.428295,0.056631356
74,0.87553596,0.04,1500.0,0.0,0.10568881,0.20393017,7500.0,-35.68438,0.05670943
75,0.8754969,0.05,1520.0,0.0,0.10564589,0.20393568,7600.0,-36.48745,0.05671161
76,0.875403,0.02,1540.0,0.05,0.10562327,0.203941,7700.0,-33.72555,0.05684688
77,0.8753801,0.04,1560.0,0.0,0.10562533,0.20394017,7800.0,-39.598274,0.05694187
78,0.875336,0.04,1580.0,0.05,0.10560766,0.2039305,7900.0,-39.336224,0.05693505
79,0.8754496,0.03,1600.0,0.1,0.10573999,0.20394975,8000.0,-38.45269,0.05707676
80,0.8754452,0.05,1620.0,0.0,0.10577152,0.2039432,8100.0,-38.298725,0.05713377
81,0.87546635,0.03,1640.0,0.05,0.10578806,0.20397013,8200.0,-38.519047,0.05714747
82,0.8753867,0.04,1660.0,0.0,0.105778635,0.2039613,8300.0,-39.796803,0.05715768
83,0.87537956,0.02,1680.0,0.0,0.10579362,0.20396647,8400.0,-40.606308,0.05711782
84,0.87551993,0.06,1700.0,0.05,0.1057986,0.20396818,8500.0,-36.47753,0.057243153
85,0.8754694,0.03,1720.0,0.0,0.10575821,0.2039656,8600.0,-38.347485,0.057229217
86,0.87540513,0.03,1740.0,0.05,0.10575547,0.20396987,8700.0,-36.730846,0.05729764
87,0.8754508,0.05,1760.0,0.0,0.10573155,0.20395252,8800.0,-39.008175,0.057236586
88,0.87547725,0.03,1780.0,0.0,0.10577073,0.20396714,8900.0,-38.303043,0.05726961
89,0.8756096,0.04,1800.0,0.05,0.105831325,0.20397018,9000.0,-42.27544,0.05732195
90,0.8755849,0.04,1820.0,0.0,0.105843544,0.20398483,9100.0,-41.540478,0.05742538
91,0.87553763,0.05,1840.0,0.0,0.10588512,0.20399678,9200.0,-36.783398,0.057450876
92,0.8755474,0.02,1860.0,0.0,0.105870895,0.20399004,9300.0,-43.526253,0.05771286
93,0.8755102,0.03,1880.0,0.0,0.10587571,0.20398046,9400.0,-39.11027,0.057685427
94,0.87553334,0.05,1900.0,0.0,0.10589991,0.20395489,9500.0,-39.737957,0.057662994
95,0.875477,0.02,1920.0,0.05,0.105878614,0.20393753,9600.0,-36.453068,0.05802792
96,0.8755703,0.01,1940.0,0.05,0.10592697,0.20389925,9700.0,-38.420498,0.0582993
97,0.8756849,0.04,1960.0,0.05,0.105919756,0.20390512,9800.0,-38.70687,0.058545135
98,0.87572646,0.05,1980.0,0.0,0.10591676,0.20388074,9900.0,-41.968807,0.059236564
99,0.8757093,0.03,2000.0,0.0,0.10593144,0.20386623,10000.0,-41.14383,0.05978593
100,0.87565774,0.02,2020.0,0.2,0.1059226,0.20384058,10100.0,-32.91488,0.060209803
101,0.8756792,0.01,2040.0,0.05,0.10595576,0.2038224,10200.0,-39.972916,0.06046007
102,0.87568974,0.02,2060.0,0.0,0.10592753,0.20382655,10300.0,-39.729126,0.060614333
103,0.8756699,0.03,2080.0,0.05,0.10589681,0.20383576,10400.0,-37.35542,0.06067808
104,0.8756976,0.04,2100.0,0.05,0.105887316,0.20384246,10500.0,-32.70193,0.06080394
105,0.87556475,0.09,2120.0,0.0,0.10586228,0.2038418,10600.0,-40.405952,0.06083306
106,0.87550974,0.05,2140.0,0.0,0.10586086,0.20384331,10700.0,-36.143288,0.060920287
107,0.8755994,0.06,2160.0,0.1,0.10585179,0.20386414,10800.0,-36.418495,0.061155595
108,0.8756201,0.07,2180.0,0.05,0.105902374,0.20387308,10900.0,-40.289516,0.061197247
109,0.87560827,0.07,2200.0,0.0,0.10584249,0.20387419,11000.0,-43.8386,0.06122614
110,0.87560064,0.06,2220.0,0.0,0.10580486,0.20388213,11100.0,-40.132214,0.061249185
111,0.87559444,0.03,2240.0,0.05,0.10586061,0.20390905,11200.0,-40.395584,0.06127521
112,0.87562245,0.01,2260.0,0.05,0.10586506,0.2039052,11300.0,-38.3617,0.06125343
113,0.8756525,0.01,2280.0,0.05,0.10588983,0.20391807,11400.0,-40.249836,0.061241183
114,0.87557024,0.04,2300.0,0.0,0.105850734,0.20391336,11500.0,-43.786083,0.061413124
