train/episode,test/episode,test/success_rate,stats_o/std,stats_g/std,stats_o/mean,epoch,train/success_rate,test/mean_Q,stats_g/mean
100.0,20.0,0.1,0.042368088,0.06110036,0.20015837,0,0.05,-2.7338915,0.842892
200.0,40.0,0.0,0.04209294,0.062271014,0.20062251,1,0.11,-4.878637,0.84289557
300.0,60.0,0.1,0.04011708,0.061792057,0.20066063,2,0.05,-5.8306417,0.84189653
400.0,80.0,0.05,0.04207129,0.061344836,0.2013347,3,0.09,-8.223243,0.840089
500.0,100.0,0.0,0.041206494,0.061011408,0.20185097,4,0.08,-10.636659,0.8403223
600.0,120.0,0.1,0.044137534,0.06048565,0.20177755,5,0.03,-11.140676,0.8408602
700.0,140.0,0.2,0.04437,0.060349796,0.20158687,6,0.05,-10.982008,0.8405063
800.0,160.0,0.1,0.046704758,0.060461447,0.20153666,7,0.12,-13.591296,0.840688
900.0,180.0,0.1,0.047224827,0.060578313,0.2013126,8,0.08,-15.591616,0.8405883
1000.0,200.0,0.05,0.04664178,0.060583685,0.2011454,9,0.07,-17.364355,0.84068465
1100.0,220.0,0.15,0.04685564,0.060256865,0.2013177,10,0.08,-15.18423,0.84016705
1200.0,240.0,0.0,0.04669815,0.060410652,0.20115581,11,0.05,-20.509575,0.8403716
1300.0,260.0,0.0,0.047029972,0.060168173,0.20130312,12,0.07,-21.674353,0.8398678
1400.0,280.0,0.05,0.047947273,0.06011188,0.20123735,13,0.05,-21.454443,0.83975774
1500.0,300.0,0.05,0.047692243,0.060262933,0.20117918,14,0.05,-23.433615,0.83972
1600.0,320.0,0.05,0.048107374,0.060293898,0.20123136,15,0.06,-25.408375,0.83989364
1700.0,340.0,0.1,0.048103195,0.060484704,0.20136309,16,0.04,-22.747673,0.83996874
1800.0,360.0,0.05,0.04796919,0.060713634,0.20139374,17,0.11,-26.614752,0.8398811
1900.0,380.0,0.1,0.048502635,0.060668025,0.20124836,18,0.1,-22.78552,0.83984447
2000.0,400.0,0.1,0.048622064,0.060727883,0.20114163,19,0.11,-23.514072,0.8396569
2100.0,420.0,0.0,0.048959494,0.06072582,0.2011347,20,0.02,-29.451656,0.83955544
2200.0,440.0,0.15,0.049202975,0.060840663,0.2011508,21,0.04,-25.333565,0.8393066
2300.0,460.0,0.1,0.0492864,0.06071255,0.2010028,22,0.05,-27.438091,0.839264
2400.0,480.0,0.15,0.049448367,0.06072012,0.20094353,23,0.1,-28.168945,0.83924013
2500.0,500.0,0.05,0.04950125,0.060699362,0.20091954,24,0.07,-29.165207,0.83931994
2600.0,520.0,0.1,0.04951276,0.060719576,0.20093262,25,0.04,-28.362286,0.8392945
2700.0,540.0,0.0,0.04986089,0.060825467,0.20089735,26,0.14,-35.41732,0.83915734
2800.0,560.0,0.0,0.0499259,0.060821295,0.20086841,27,0.05,-31.270514,0.83926195
2900.0,580.0,0.1,0.050196476,0.06062968,0.2008174,28,0.03,-30.241726,0.8392418
3000.0,600.0,0.0,0.05041814,0.060596857,0.20082693,29,0.06,-34.992695,0.8390346
3100.0,620.0,0.0,0.050862975,0.060558032,0.20084465,30,0.07,-26.695248,0.83906746
3200.0,640.0,0.05,0.051027022,0.060590748,0.20089701,31,0.05,-33.75402,0.83899385
3300.0,660.0,0.05,0.051266767,0.06062382,0.20097199,32,0.08,-29.787476,0.839135
3400.0,680.0,0.1,0.051743917,0.060663942,0.20105961,33,0.05,-28.797024,0.8389551
3500.0,700.0,0.05,0.051984414,0.060678944,0.20106834,34,0.07,-30.913656,0.83895683
3600.0,720.0,0.2,0.052456494,0.060686376,0.2010684,35,0.08,-23.712029,0.8389246
