train/success_rate,epoch,stats_g/mean,test/mean_Q,stats_o/std,stats_o/mean,stats_g/std,test/success_rate,test/episode,train/episode
0.0,0,0.8576068,-3.0327172,0.053618357,0.1786399,0.116477676,0.0,20.0,100.0
0.0,1,0.8563283,-5.0697317,0.05342433,0.17704578,0.11831828,0.0,40.0,200.0
0.01,2,0.8523858,-6.9837937,0.051435694,0.17854883,0.11935576,0.0,60.0,300.0
0.0,3,0.85096294,-9.0507145,0.051152065,0.1779509,0.11913777,0.0,80.0,400.0
0.02,4,0.8501981,-10.771412,0.055065632,0.17822292,0.11883924,0.0,100.0,500.0
0.0,5,0.85026073,-12.713057,0.05641946,0.17801239,0.11776254,0.0,120.0,600.0
0.01,6,0.84862536,-14.448107,0.056249376,0.17815313,0.117684044,0.0,140.0,700.0
0.0,7,0.8511737,-15.835999,0.05540664,0.17805392,0.11810503,0.0,160.0,800.0
0.0,8,0.85039395,-17.279165,0.05572857,0.17790388,0.11868235,0.0,180.0,900.0
0.0,9,0.84947795,-19.426023,0.055254098,0.17800105,0.11837264,0.0,200.0,1000.0
0.0,10,0.84905916,-20.685658,0.055842277,0.17769358,0.118128456,0.0,220.0,1100.0
0.0,11,0.8501167,-20.51962,0.05524588,0.17765991,0.118439704,0.05,240.0,1200.0
0.0,12,0.85006744,-23.476994,0.05505383,0.17763232,0.11852831,0.0,260.0,1300.0
0.0,13,0.84993654,-24.077385,0.05489886,0.17779972,0.11811934,0.0,280.0,1400.0
0.0,14,0.850437,-23.866907,0.05499915,0.17764458,0.11788859,0.0,300.0,1500.0
0.01,15,0.85014826,-26.598896,0.054713,0.17767048,0.117780805,0.0,320.0,1600.0
0.01,16,0.8503763,-27.284922,0.054880057,0.17762434,0.11810938,0.0,340.0,1700.0
0.01,17,0.8505473,-29.27532,0.05496832,0.177661,0.11779269,0.0,360.0,1800.0
0.0,18,0.8505516,-29.425503,0.05597998,0.17753771,0.11766106,0.0,380.0,1900.0
0.0,19,0.84982085,-30.369122,0.056647025,0.17735046,0.11764401,0.0,400.0,2000.0
0.01,20,0.85068154,-26.58735,0.05687665,0.17724428,0.117811166,0.0,420.0,2100.0
0.02,21,0.85085267,-33.018826,0.05746226,0.1772057,0.11736479,0.0,440.0,2200.0
0.0,22,0.8510525,-31.326843,0.05861366,0.17722636,0.11765993,0.0,460.0,2300.0
0.0,23,0.85008174,-29.924435,0.059960846,0.17722422,0.11770117,0.05,480.0,2400.0
0.0,24,0.8502657,-31.92271,0.060820177,0.17722423,0.11775138,0.0,500.0,2500.0
0.01,25,0.85031337,-32.48346,0.060822975,0.17717934,0.117596686,0.0,520.0,2600.0
0.0,26,0.8504598,-34.936436,0.061057854,0.17717206,0.11757865,0.0,540.0,2700.0
0.01,27,0.8506331,-32.992954,0.061101522,0.17712845,0.11757662,0.0,560.0,2800.0
0.01,28,0.85051155,-36.21987,0.061350927,0.1771163,0.11779648,0.0,580.0,2900.0
0.0,29,0.85036606,-35.849564,0.06172386,0.17720671,0.11795992,0.0,600.0,3000.0
0.01,30,0.8506033,-35.686104,0.062191237,0.17714266,0.11790723,0.0,620.0,3100.0
0.0,31,0.850303,-34.307636,0.06227829,0.17713055,0.11785833,0.0,640.0,3200.0
0.0,32,0.8503005,-36.802113,0.062434133,0.17707503,0.11778402,0.0,660.0,3300.0
0.0,33,0.8500964,-36.437523,0.06270721,0.1771529,0.117827326,0.0,680.0,3400.0
0.01,34,0.84976465,-36.88861,0.06297956,0.17712687,0.117900796,0.05,700.0,3500.0
0.0,35,0.84997207,-37.18334,0.06312749,0.17716698,0.11809852,0.0,720.0,3600.0
0.0,36,0.850276,-37.268196,0.06347785,0.17712021,0.11809999,0.0,740.0,3700.0
0.0,37,0.8502222,-39.115906,0.06367623,0.17720391,0.118147336,0.0,760.0,3800.0
0.01,38,0.8503063,-36.795246,0.063765556,0.1772736,0.11808946,0.0,780.0,3900.0
0.02,39,0.85007834,-38.89993,0.06393246,0.17722858,0.11810964,0.0,800.0,4000.0
0.0,40,0.8500951,-37.904396,0.06420397,0.17716987,0.118176915,0.0,820.0,4100.0
0.0,41,0.8501093,-40.487827,0.06430767,0.17715447,0.11812115,0.0,840.0,4200.0
0.0,42,0.85046345,-39.652813,0.06433182,0.17710936,0.11828852,0.0,860.0,4300.0
0.0,43,0.8503843,-39.669395,0.06449012,0.17711028,0.11828601,0.0,880.0,4400.0
0.0,44,0.8502508,-40.195183,0.06461722,0.17716375,0.118300855,0.0,900.0,4500.0
0.01,45,0.850365,-40.07628,0.06498358,0.17712738,0.118409574,0.0,920.0,4600.0
0.0,46,0.85032517,-40.577965,0.06490001,0.1771427,0.11844513,0.0,940.0,4700.0
0.02,47,0.8503935,-37.715374,0.064793065,0.17710271,0.118511,0.0,960.0,4800.0
0.0,48,0.8504887,-38.31238,0.064621255,0.1771937,0.118562736,0.0,980.0,4900.0
0.0,49,0.85077834,-40.136536,0.06460804,0.17722519,0.118501864,0.0,1000.0,5000.0
0.0,50,0.85086805,-40.555134,0.06449603,0.17724828,0.11852566,0.0,1020.0,5100.0
0.0,51,0.8510585,-40.375328,0.064549886,0.17721593,0.118680954,0.0,1040.0,5200.0
0.0,52,0.8509286,-40.942307,0.064552404,0.17720145,0.11887596,0.0,1060.0,5300.0
0.0,53,0.85124063,-39.11383,0.06445666,0.1771832,0.118905045,0.0,1080.0,5400.0
0.02,54,0.85117406,-41.212494,0.064408265,0.17725931,0.118959405,0.0,1100.0,5500.0
0.0,55,0.8513925,-42.122726,0.06449971,0.17720915,0.118898146,0.0,1120.0,5600.0
0.0,56,0.8515191,-42.35659,0.06444278,0.1771482,0.11886229,0.0,1140.0,5700.0
0.0,57,0.8515017,-43.593365,0.06435526,0.17713036,0.11889789,0.0,1160.0,5800.0
0.0,58,0.8514612,-39.44335,0.064339295,0.17711583,0.1189265,0.05,1180.0,5900.0
0.0,59,0.8513141,-39.374527,0.06437507,0.17710632,0.11886408,0.0,1200.0,6000.0
0.0,60,0.8516354,-39.49818,0.064304546,0.17706217,0.11889098,0.0,1220.0,6100.0
0.0,61,0.85171956,-41.454525,0.06436393,0.1770548,0.118869066,0.0,1240.0,6200.0
0.0,62,0.8517532,-41.62719,0.06437458,0.17704275,0.11881878,0.0,1260.0,6300.0
0.02,63,0.8517129,-39.456886,0.064563945,0.17700388,0.118849814,0.0,1280.0,6400.0
0.0,64,0.8520358,-34.120007,0.0646934,0.1769559,0.11888701,0.0,1300.0,6500.0
0.0,65,0.8521665,-34.044765,0.064735465,0.17692387,0.11893129,0.0,1320.0,6600.0
0.0,66,0.8522875,-39.032524,0.06479323,0.17693079,0.11896371,0.0,1340.0,6700.0
0.0,67,0.85223716,-39.363003,0.06492366,0.17694145,0.1189422,0.0,1360.0,6800.0
0.01,68,0.8523631,-37.853622,0.065169156,0.17689271,0.11891472,0.0,1380.0,6900.0
0.0,69,0.8524143,-41.069435,0.06528414,0.17690875,0.11887679,0.0,1400.0,7000.0
0.0,70,0.85214686,-39.46447,0.065408185,0.17691968,0.11892942,0.0,1420.0,7100.0
0.0,71,0.85225815,-41.459232,0.065432176,0.17691517,0.11894902,0.0,1440.0,7200.0
0.0,72,0.8523292,-40.798027,0.06549458,0.17693682,0.11891381,0.0,1460.0,7300.0
0.0,73,0.8521674,-39.7573,0.06556212,0.17695804,0.118904054,0.0,1480.0,7400.0
0.01,74,0.8521841,-40.848732,0.06567796,0.17697725,0.11889007,0.0,1500.0,7500.0
0.02,75,0.85199594,-40.49823,0.06580266,0.17697182,0.11887445,0.0,1520.0,7600.0
0.0,76,0.8521294,-37.214813,0.06580857,0.17698379,0.1188151,0.0,1540.0,7700.0
0.0,77,0.8520443,-39.48545,0.0658988,0.17697258,0.118799746,0.0,1560.0,7800.0
0.0,78,0.85217386,-37.5662,0.06593935,0.17697577,0.118761666,0.0,1580.0,7900.0
0.0,79,0.85213804,-38.25246,0.06595172,0.17702554,0.11877996,0.0,1600.0,8000.0
0.0,80,0.8521393,-41.706005,0.065955594,0.17705055,0.11879629,0.0,1620.0,8100.0
0.0,81,0.85222274,-41.39876,0.06596563,0.17705153,0.11883223,0.0,1640.0,8200.0
0.01,82,0.8522559,-40.66431,0.06591934,0.17708507,0.118890375,0.0,1660.0,8300.0
0.02,83,0.8521905,-40.504868,0.06594861,0.17713493,0.11889156,0.0,1680.0,8400.0
0.0,84,0.8521593,-39.718666,0.06607144,0.17716645,0.118911065,0.0,1700.0,8500.0
0.0,85,0.8521922,-39.16465,0.066162996,0.1771708,0.11895788,0.0,1720.0,8600.0
0.0,86,0.85231715,-40.54769,0.06624429,0.1771666,0.11894184,0.0,1740.0,8700.0
0.0,87,0.85233545,-38.842003,0.06645002,0.17716938,0.11897099,0.0,1760.0,8800.0
0.0,88,0.85228974,-38.583717,0.06662536,0.1771433,0.11895021,0.05,1780.0,8900.0
0.0,89,0.85237813,-42.812958,0.06656823,0.17713994,0.11892185,0.0,1800.0,9000.0
0.0,90,0.85250235,-41.238014,0.06654409,0.17714609,0.11885059,0.0,1820.0,9100.0
0.0,91,0.852386,-40.223644,0.06659443,0.17711052,0.118917026,0.0,1840.0,9200.0
0.0,92,0.8523354,-39.92381,0.0666645,0.17713219,0.118918985,0.0,1860.0,9300.0
0.0,93,0.8523934,-42.258633,0.06705186,0.17709363,0.11891705,0.0,1880.0,9400.0
0.02,94,0.85235596,-42.81321,0.06714572,0.17707893,0.11893252,0.0,1900.0,9500.0
0.01,95,0.8521998,-44.21412,0.06733778,0.1770341,0.1189023,0.0,1920.0,9600.0
0.01,96,0.85214514,-36.929016,0.06760678,0.17700584,0.11889291,0.0,1940.0,9700.0
0.0,97,0.85195225,-41.051357,0.067712486,0.17699516,0.11883565,0.0,1960.0,9800.0
0.01,98,0.85190433,-45.61071,0.06776929,0.17692217,0.11887268,0.0,1980.0,9900.0
0.0,99,0.8518993,-40.07142,0.06817553,0.1768553,0.11886307,0.05,2000.0,10000.0
0.0,100,0.85172147,-45.234734,0.068157695,0.17683889,0.11884465,0.0,2020.0,10100.0
0.01,101,0.851559,-42.24832,0.06826143,0.17680748,0.118867695,0.05,2040.0,10200.0
0.0,102,0.85151356,-43.745686,0.068432875,0.17680958,0.11889259,0.0,2060.0,10300.0
0.0,103,0.85156137,-40.849903,0.06860433,0.17679596,0.1188648,0.05,2080.0,10400.0
0.01,104,0.85149145,-42.07489,0.06874325,0.17677382,0.11888804,0.0,2100.0,10500.0
0.0,105,0.8514345,-45.32276,0.068841,0.17677233,0.11887153,0.0,2120.0,10600.0
0.03,106,0.8515398,-44.651985,0.06928496,0.17676477,0.11884984,0.0,2140.0,10700.0
0.01,107,0.8515195,-42.259426,0.06934612,0.17674805,0.11886695,0.0,2160.0,10800.0
0.0,108,0.85155004,-43.29232,0.06958244,0.1767405,0.1188379,0.0,2180.0,10900.0
0.0,109,0.8515524,-40.3555,0.06964237,0.17671122,0.11881856,0.0,2200.0,11000.0
0.0,110,0.851502,-43.965637,0.069784276,0.17668052,0.11878852,0.0,2220.0,11100.0
0.0,111,0.8515957,-44.684696,0.06996458,0.17671421,0.11873442,0.0,2240.0,11200.0
0.0,112,0.85151434,-40.216373,0.07016121,0.17672037,0.11878773,0.0,2260.0,11300.0
0.01,113,0.8515311,-43.207157,0.07012963,0.17671637,0.11883459,0.0,2280.0,11400.0
0.0,114,0.8515033,-40.65341,0.0701089,0.17674738,0.118854105,0.0,2300.0,11500.0
0.02,115,0.851486,-41.699184,0.07008475,0.17675525,0.118846215,0.0,2320.0,11600.0
0.0,116,0.8513892,-40.984425,0.07038791,0.17673716,0.118804306,0.05,2340.0,11700.0
0.0,117,0.8513995,-42.01335,0.07058072,0.17672844,0.118840486,0.0,2360.0,11800.0
0.01,118,0.85134333,-41.17387,0.070794865,0.17672968,0.1188434,0.0,2380.0,11900.0
0.0,119,0.8513727,-42.036358,0.070947886,0.17673111,0.11883706,0.0,2400.0,12000.0
0.0,120,0.8514018,-41.86981,0.0711082,0.17674932,0.11882093,0.0,2420.0,12100.0
0.0,121,0.85149664,-38.760536,0.07139167,0.17674147,0.11883321,0.05,2440.0,12200.0
0.0,122,0.8514566,-44.56458,0.07151976,0.17674975,0.11881212,0.0,2460.0,12300.0
0.0,123,0.85155815,-42.093243,0.07176309,0.17674671,0.1188122,0.0,2480.0,12400.0
0.01,124,0.8517041,-39.348595,0.07203855,0.17673154,0.118772395,0.0,2500.0,12500.0
0.01,125,0.85168654,-41.73597,0.07219574,0.17671533,0.11883193,0.0,2520.0,12600.0
0.0,126,0.8516727,-41.237972,0.07247296,0.17670344,0.11888084,0.0,2540.0,12700.0
0.01,127,0.8517151,-42.49472,0.07263975,0.1767339,0.11889052,0.0,2560.0,12800.0
0.0,128,0.8516729,-40.933983,0.07264782,0.17674476,0.11886102,0.05,2580.0,12900.0
0.01,129,0.8516131,-41.5441,0.07270286,0.17672245,0.11885769,0.05,2600.0,13000.0
0.0,130,0.85162646,-42.84831,0.07285524,0.17671986,0.118870646,0.0,2620.0,13100.0
0.0,131,0.8515962,-41.860687,0.07284251,0.17671101,0.11892351,0.0,2640.0,13200.0
0.02,132,0.85163087,-40.750084,0.0729541,0.17668386,0.11891826,0.0,2660.0,13300.0
0.0,133,0.8516374,-42.024982,0.072971135,0.17668381,0.11890193,0.0,2680.0,13400.0
0.0,134,0.85155296,-39.810204,0.07318801,0.17664774,0.1188997,0.0,2700.0,13500.0
0.03,135,0.8516138,-43.20503,0.07320936,0.17665899,0.118887804,0.0,2720.0,13600.0
0.0,136,0.85160476,-40.953575,0.073418766,0.17661303,0.11890008,0.0,2740.0,13700.0
0.0,137,0.85156435,-41.584007,0.07348701,0.17662114,0.11889263,0.0,2760.0,13800.0
0.0,138,0.8516312,-45.24555,0.0735021,0.17659798,0.11886563,0.0,2780.0,13900.0
0.02,139,0.8515813,-38.54942,0.07352161,0.17657956,0.11882337,0.0,2800.0,14000.0
0.0,140,0.8516834,-41.323845,0.0735301,0.17655773,0.11881707,0.0,2820.0,14100.0
0.02,141,0.8516281,-39.857525,0.07348433,0.1765525,0.11880509,0.0,2840.0,14200.0
0.0,142,0.8515424,-43.29708,0.07364341,0.17652237,0.11881789,0.0,2860.0,14300.0
0.01,143,0.8515012,-43.758587,0.073729135,0.1765287,0.11879071,0.0,2880.0,14400.0
0.0,144,0.85149914,-38.97866,0.07380395,0.17652653,0.11876742,0.05,2900.0,14500.0
0.0,145,0.8514867,-40.15429,0.073868096,0.17650385,0.11877453,0.0,2920.0,14600.0
0.01,146,0.8514724,-39.6165,0.07386926,0.17649125,0.118785314,0.0,2940.0,14700.0
0.01,147,0.8515031,-42.023743,0.073915504,0.17650282,0.1187822,0.0,2960.0,14800.0
0.01,148,0.8515256,-43.170403,0.07389446,0.17650169,0.11879548,0.0,2980.0,14900.0
0.0,149,0.8515384,-40.39876,0.073878415,0.17652538,0.11875931,0.0,3000.0,15000.0
