test/episode,train/success_rate,train/episode,stats_g/std,test/success_rate,test/mean_Q,stats_g/mean,epoch,stats_o/mean,stats_o/std
20.0,0.04,100.0,0.089069344,0.0,-2.9459922,0.84217596,0,0.20400669,0.04943386
40.0,0.05,200.0,0.094290435,0.1,-4.4309354,0.8445692,1,0.20395604,0.0515674
60.0,0.04,300.0,0.093231924,0.05,-6.447896,0.84540814,2,0.20414238,0.048090264
80.0,0.08,400.0,0.092550986,0.0,-8.471537,0.8469701,3,0.20444855,0.05044099
100.0,0.02,500.0,0.0912776,0.05,-10.058997,0.84749025,4,0.20472936,0.05004046
120.0,0.04,600.0,0.09061507,0.0,-12.219839,0.8470511,5,0.20458567,0.049394388
140.0,0.03,700.0,0.0907802,0.05,-13.579181,0.8470666,6,0.20450151,0.05025453
160.0,0.05,800.0,0.09081829,0.15,-13.996202,0.84691095,7,0.20435199,0.050966945
180.0,0.01,900.0,0.09185741,0.1,-14.482817,0.84645206,8,0.20425284,0.052749157
200.0,0.05,1000.0,0.091593266,0.05,-16.623672,0.84645224,9,0.20423451,0.052764926
220.0,0.03,1100.0,0.09225911,0.0,-19.734043,0.8466367,10,0.20435846,0.055436153
240.0,0.01,1200.0,0.09249256,0.0,-21.724148,0.84629947,11,0.2042722,0.058037344
260.0,0.04,1300.0,0.09247,0.0,-21.940062,0.84641725,12,0.2041795,0.05911037
280.0,0.04,1400.0,0.09242918,0.05,-21.545637,0.8464082,13,0.20428503,0.060400862
300.0,0.03,1500.0,0.09285268,0.2,-18.531683,0.846375,14,0.20430619,0.06224614
320.0,0.05,1600.0,0.09383141,0.1,-23.33189,0.8457341,15,0.20400026,0.06439157
340.0,0.01,1700.0,0.09422529,0.1,-21.897036,0.8456884,16,0.20398174,0.06674863
360.0,0.04,1800.0,0.0940455,0.05,-25.745672,0.8452776,17,0.20390692,0.06816706
380.0,0.02,1900.0,0.094100945,0.05,-25.51159,0.8450677,18,0.20376562,0.06946771
400.0,0.07,2000.0,0.094243385,0.15,-24.235374,0.8449802,19,0.20368922,0.07014396
420.0,0.09,2100.0,0.09409058,0.1,-25.324406,0.84488773,20,0.20366621,0.07037177
440.0,0.05,2200.0,0.09417077,0.0,-28.348392,0.8450177,21,0.20367974,0.07090589
460.0,0.06,2300.0,0.094720274,0.05,-23.297659,0.8447063,22,0.20372634,0.073081024
480.0,0.09,2400.0,0.094952546,0.05,-27.12801,0.844649,23,0.2035468,0.07455631
500.0,0.05,2500.0,0.09537539,0.1,-24.881369,0.8442433,24,0.20347589,0.0764886
