test/episode,test/mean_Q,epoch,stats_o/mean,stats_g/mean,test/success_rate,stats_o/std,train/episode,stats_g/std,train/success_rate
20.0,-3.0039682,0,0.20365654,0.8435328,0.0,0.06218917,100.0,0.08904842,0.04
40.0,-4.4576178,1,0.20392223,0.84509295,0.1,0.05846671,200.0,0.094561934,0.05
60.0,-6.4686294,2,0.20431729,0.8456378,0.05,0.05591879,300.0,0.094224535,0.03
80.0,-8.534538,3,0.2048101,0.8471401,0.05,0.05625098,400.0,0.093272485,0.08
100.0,-10.187246,4,0.20504571,0.8473914,0.05,0.05477399,500.0,0.09240008,0.02
120.0,-12.556289,5,0.2047998,0.8468902,0.0,0.0543309,600.0,0.09165194,0.04
140.0,-13.59435,6,0.20448767,0.8469128,0.05,0.05377194,700.0,0.09157885,0.03
160.0,-14.166423,7,0.20457533,0.84675235,0.1,0.055480257,800.0,0.09220896,0.05
180.0,-13.978441,8,0.20491955,0.8464326,0.1,0.05907702,900.0,0.09275549,0.01
200.0,-16.630304,9,0.20497541,0.84652513,0.05,0.060930494,1000.0,0.09322953,0.05
220.0,-18.944527,10,0.20472345,0.8465693,0.0,0.0632155,1100.0,0.09407025,0.03
240.0,-21.283789,11,0.2044325,0.84606963,0.0,0.06563165,1200.0,0.095081806,0.01
260.0,-22.01669,12,0.20460224,0.8462236,0.0,0.06597353,1300.0,0.095217675,0.04
280.0,-21.60136,13,0.20468277,0.84621364,0.05,0.06640908,1400.0,0.09516454,0.04
300.0,-19.012909,14,0.20474888,0.8459199,0.15,0.068633325,1500.0,0.09611756,0.04
320.0,-21.801956,15,0.20464975,0.8457148,0.1,0.069570534,1600.0,0.09599414,0.05
340.0,-22.28865,16,0.20456639,0.84564734,0.1,0.070667624,1700.0,0.095729865,0.03
360.0,-24.67603,17,0.20444652,0.84515953,0.05,0.0714942,1800.0,0.09600866,0.03
380.0,-24.428473,18,0.20434925,0.8448279,0.05,0.07225415,1900.0,0.09621381,0.0
400.0,-22.533642,19,0.20423324,0.84448916,0.15,0.073793046,2000.0,0.09692678,0.05
420.0,-22.95007,20,0.20415246,0.84442025,0.05,0.075077124,2100.0,0.09749358,0.07
440.0,-24.878265,21,0.20413433,0.8446522,0.05,0.07624249,2200.0,0.09741194,0.04
460.0,-23.376085,22,0.20421334,0.8444743,0.1,0.078001685,2300.0,0.097711824,0.04
