train/success_rate,stats_o/std,stats_o/mean,stats_g/std,test/mean_Q,test/success_rate,test/episode,epoch,stats_g/mean,train/episode
0.04,0.046149768,0.20423168,0.087761976,-2.9788375,0.0,20.0,0,0.84337515,100.0
0.06,0.045817398,0.20395441,0.08972479,-4.4596386,0.1,40.0,1,0.8463063,200.0
0.04,0.043767236,0.20412712,0.09031419,-6.3036795,0.05,60.0,2,0.8468054,300.0
0.08,0.04572505,0.20451741,0.09027287,-8.398333,0.05,80.0,3,0.8482879,400.0
0.03,0.050386548,0.2046801,0.08992986,-10.337782,0.05,100.0,4,0.8485456,500.0
0.05,0.049629923,0.20452929,0.08964017,-12.467838,0.0,120.0,5,0.84809273,600.0
0.03,0.051081587,0.20422451,0.08977124,-13.402037,0.05,140.0,6,0.84803694,700.0
0.06,0.055601478,0.20447259,0.09098714,-13.508726,0.1,160.0,7,0.847723,800.0
0.02,0.05909131,0.20424488,0.09110024,-13.788233,0.1,180.0,8,0.84725016,900.0
0.05,0.061224848,0.20400597,0.091477364,-14.670903,0.05,200.0,9,0.8470531,1000.0
0.03,0.061756715,0.2040103,0.09162686,-18.306484,0.0,220.0,10,0.84721303,1100.0
0.01,0.062444042,0.20372534,0.091644205,-20.630661,0.0,240.0,11,0.84688044,1200.0
0.05,0.0640928,0.20365806,0.09203895,-20.89011,0.0,260.0,12,0.846766,1300.0
0.04,0.06550042,0.2037374,0.09252163,-20.611994,0.05,280.0,13,0.8467818,1400.0
0.05,0.065838076,0.2038171,0.09221003,-18.554564,0.15,300.0,14,0.8467739,1500.0
0.05,0.06650689,0.20390171,0.09233973,-22.249228,0.1,320.0,15,0.84644026,1600.0
0.02,0.06758099,0.20378439,0.09265763,-20.276863,0.1,340.0,16,0.8463467,1700.0
0.05,0.06825612,0.20383482,0.09260789,-23.720137,0.0,360.0,17,0.8458827,1800.0
0.0,0.070051804,0.20383295,0.09316536,-23.999842,0.05,380.0,18,0.8454383,1900.0
0.06,0.07060786,0.20385177,0.0932019,-21.724861,0.2,400.0,19,0.84521943,2000.0
0.08,0.07092896,0.20386344,0.093165465,-25.935608,0.05,420.0,20,0.84511906,2100.0
0.04,0.072013535,0.20395811,0.09312984,-25.490545,0.05,440.0,21,0.84536904,2200.0
0.04,0.07292304,0.20390014,0.09316239,-23.682787,0.05,460.0,22,0.84529155,2300.0
0.07,0.073025025,0.20385458,0.09310317,-26.887745,0.0,480.0,23,0.845223,2400.0
0.07,0.0738772,0.20381588,0.09320235,-24.703907,0.05,500.0,24,0.84487057,2500.0
0.08,0.07483262,0.20387164,0.09327259,-26.179066,0.1,520.0,25,0.8448718,2600.0
0.07,0.07583919,0.20394556,0.09355114,-24.325018,0.15,540.0,26,0.8449591,2700.0
0.07,0.07722307,0.20391138,0.09361404,-26.022034,0.15,560.0,27,0.8449572,2800.0
0.05,0.07767072,0.20391446,0.093639374,-24.878042,0.15,580.0,28,0.84492403,2900.0
0.06,0.0778946,0.20388636,0.09406126,-22.913946,0.15,600.0,29,0.8448358,3000.0
0.06,0.078785725,0.20387302,0.094088934,-31.799145,0.05,620.0,30,0.84479904,3100.0
0.1,0.0792663,0.2037451,0.09446902,-28.530848,0.1,640.0,31,0.84432966,3200.0
0.07,0.07972495,0.20374255,0.094295055,-26.214947,0.0,660.0,32,0.84421706,3300.0
0.05,0.080279626,0.20372958,0.09434835,-28.144485,0.05,680.0,33,0.8441836,3400.0
0.08,0.08027757,0.20369782,0.09441926,-26.733236,0.15,700.0,34,0.8441461,3500.0
0.09,0.08078431,0.20376492,0.09435192,-26.197577,0.1,720.0,35,0.844282,3600.0
0.09,0.081108935,0.20378834,0.094321825,-25.898365,0.1,740.0,36,0.8444393,3700.0
0.11,0.08176126,0.20370659,0.09443945,-23.348242,0.2,760.0,37,0.844397,3800.0
0.11,0.08248967,0.20369984,0.09420828,-25.20279,0.0,780.0,38,0.8443039,3900.0
0.12,0.083492935,0.20360959,0.09457477,-19.360981,0.3,800.0,39,0.8442144,4000.0
0.13,0.08451792,0.2036863,0.09436479,-19.353617,0.25,820.0,40,0.8442449,4100.0
0.13,0.085283,0.20380981,0.094437815,-21.94617,0.0,840.0,41,0.8442978,4200.0
0.15,0.086068295,0.20380674,0.09457592,-22.290808,0.25,860.0,42,0.8443315,4300.0
0.12,0.08678664,0.20368725,0.09457243,-20.253765,0.3,880.0,43,0.84421563,4400.0
0.17,0.08733917,0.20361225,0.09475168,-22.450096,0.1,900.0,44,0.8440973,4500.0
0.15,0.08816995,0.20358099,0.09491753,-23.351017,0.15,920.0,45,0.84408563,4600.0
