stats_g/std,train/success_rate,train/episode,test/episode,stats_g/mean,stats_o/mean,epoch,stats_o/std,test/success_rate,test/mean_Q
0.06695915,0.05,100.0,20.0,0.83697945,0.20075612,0,0.039567914,0.1,-2.7144046
0.067492776,0.11,200.0,40.0,0.83621114,0.20094953,1,0.040837068,0.0,-5.044029
0.0673954,0.05,300.0,60.0,0.83583593,0.20114468,2,0.048280545,0.1,-6.0701876
0.067352965,0.08,400.0,80.0,0.8373471,0.20170383,3,0.04679501,0.05,-8.400159
0.067284,0.08,500.0,100.0,0.8387627,0.20180811,4,0.048480738,0.0,-10.649201
0.067095794,0.04,600.0,120.0,0.8387111,0.20179427,5,0.048316564,0.1,-11.156517
0.06674527,0.05,700.0,140.0,0.8379652,0.2014773,6,0.05106962,0.2,-10.502195
0.06768255,0.11,800.0,160.0,0.837842,0.20143993,7,0.051048137,0.1,-13.438664
0.0678452,0.1,900.0,180.0,0.8374298,0.20124558,8,0.051258925,0.1,-15.227255
0.06789642,0.1,1000.0,200.0,0.8369153,0.20088005,9,0.053102657,0.05,-15.965775
0.06790283,0.07,1100.0,220.0,0.8370116,0.2009389,10,0.05296086,0.15,-15.146288
0.06782402,0.06,1200.0,240.0,0.8366437,0.20089227,11,0.053078327,0.0,-19.696507
0.06864,0.07,1300.0,260.0,0.8366514,0.20100728,12,0.053553935,0.05,-19.680883
0.06832143,0.07,1400.0,280.0,0.8365159,0.20098062,13,0.053415418,0.1,-20.941433
0.06969453,0.06,1500.0,300.0,0.8363188,0.20114699,14,0.056531724,0.05,-22.088053
0.069970146,0.07,1600.0,320.0,0.83647865,0.20123568,15,0.05768614,0.05,-22.754894
0.07125171,0.06,1700.0,340.0,0.83681923,0.20142542,16,0.059537575,0.1,-20.083805
0.07192632,0.12,1800.0,360.0,0.8368462,0.20157461,17,0.06164422,0.05,-23.816135
0.07210819,0.12,1900.0,380.0,0.83654076,0.20148326,18,0.06236029,0.2,-19.141302
0.0723069,0.12,2000.0,400.0,0.8363932,0.2013894,19,0.06320552,0.25,-19.76466
0.07201074,0.04,2100.0,420.0,0.83662933,0.20145231,20,0.063299656,0.0,-25.506348
