stats_g/std,train/success_rate,train/episode,test/success_rate,test/episode,stats_o/mean,stats_g/mean,test/mean_Q,stats_o/std,epoch
0.067723565,0.05,100.0,0.1,20.0,0.2009082,0.8365136,-2.7884033,0.039170865,0
0.06797984,0.11,200.0,0.0,40.0,0.20100164,0.8360293,-5.004223,0.040257473,1
0.067645244,0.05,300.0,0.1,60.0,0.20120902,0.8355277,-6.026807,0.04540154,2
0.06751722,0.08,400.0,0.05,80.0,0.20187138,0.83696294,-8.502722,0.044373628,3
0.06733776,0.08,500.0,0.0,100.0,0.2021154,0.8384002,-10.734218,0.04398274,4
0.06700569,0.04,600.0,0.1,120.0,0.20174176,0.8385127,-11.298078,0.046663284,5
0.06693871,0.06,700.0,0.2,140.0,0.20145868,0.8378219,-10.614816,0.048611213,6
0.06745315,0.11,800.0,0.15,160.0,0.2015628,0.83750325,-13.218721,0.050799035,7
0.067429565,0.09,900.0,0.1,180.0,0.2014804,0.83725363,-15.252085,0.050586406,8
0.067772575,0.08,1000.0,0.05,200.0,0.20136587,0.83671397,-15.937826,0.051306978,9
0.06983682,0.08,1100.0,0.15,220.0,0.20149656,0.8367026,-13.844885,0.054625586,10
0.070648044,0.07,1200.0,0.0,240.0,0.20111556,0.8362499,-19.224142,0.057781294,11
0.070281245,0.08,1300.0,0.05,260.0,0.20111473,0.8363659,-19.775562,0.05828008,12
0.07016461,0.05,1400.0,0.05,280.0,0.2009976,0.8361977,-20.187828,0.058848847,13
0.06998783,0.06,1500.0,0.05,300.0,0.20087822,0.8360841,-20.943655,0.059726965,14
0.069787115,0.08,1600.0,0.05,320.0,0.20087248,0.83633095,-23.44335,0.060992092,15
0.07015127,0.05,1700.0,0.1,340.0,0.20102054,0.8366692,-19.938541,0.062098507,16
0.07013466,0.13,1800.0,0.1,360.0,0.201132,0.8366943,-22.22472,0.06241264,17
0.06987369,0.08,1900.0,0.15,380.0,0.20105866,0.83647794,-20.946545,0.063091286,18
0.07038369,0.11,2000.0,0.2,400.0,0.20091099,0.8362906,-20.428684,0.06361346,19
