train/success_rate,stats_g/std,test/success_rate,stats_o/std,test/episode,stats_g/mean,test/mean_Q,stats_o/mean,train/episode,epoch
0.05,0.06677654,0.1,0.044352263,20.0,0.83693904,-2.8696084,0.20113228,100.0,0
0.11,0.06772378,0.0,0.049757946,40.0,0.8360753,-4.933239,0.20099574,200.0,1
0.04,0.06754322,0.1,0.049574766,60.0,0.8356517,-5.887182,0.20123851,300.0,2
0.09,0.0674851,0.05,0.05055627,80.0,0.83708835,-8.239565,0.20205714,400.0,3
0.09,0.06745007,0.0,0.049219113,100.0,0.8387735,-10.568353,0.20235096,500.0,4
0.04,0.067354664,0.1,0.05083642,120.0,0.83887213,-11.018219,0.20225662,600.0,5
0.05,0.06699184,0.2,0.05154763,140.0,0.8382287,-10.541867,0.20174205,700.0,6
0.11,0.06791078,0.1,0.05303215,160.0,0.83806825,-13.644496,0.20155126,800.0,7
0.09,0.06799037,0.1,0.053499985,180.0,0.8376581,-15.562223,0.20149857,900.0,8
0.08,0.068320386,0.05,0.054396763,200.0,0.83718014,-16.862736,0.20126052,1000.0,9
0.08,0.068202436,0.15,0.054750174,220.0,0.83741665,-15.333099,0.20137312,1100.0,10
0.08,0.0679917,0.0,0.054316964,240.0,0.83710843,-19.76548,0.20125282,1200.0,11
0.07,0.069883056,0.1,0.05611043,260.0,0.8372069,-19.590967,0.20133686,1300.0,12
0.05,0.0705392,0.05,0.056455508,280.0,0.8370456,-21.426435,0.20133774,1400.0,13
0.05,0.07023572,0.05,0.055820126,300.0,0.8369673,-22.741016,0.20129351,1500.0,14
0.06,0.070147015,0.05,0.05687852,320.0,0.8372047,-23.657553,0.20126784,1600.0,15
0.05,0.06986129,0.15,0.0567783,340.0,0.8374889,-21.77819,0.20141214,1700.0,16
0.12,0.069914006,0.1,0.05712879,360.0,0.83746177,-24.508648,0.20146254,1800.0,17
0.11,0.070156224,0.15,0.057120036,380.0,0.83727336,-22.201525,0.2013972,1900.0,18
0.11,0.07068932,0.25,0.057917252,400.0,0.8371153,-20.743269,0.20122589,2000.0,19
0.02,0.07100856,0.0,0.059040133,420.0,0.8372938,-27.739426,0.20129475,2100.0,20
0.08,0.070890576,0.15,0.05892462,440.0,0.8372242,-23.256855,0.20126663,2200.0,21
0.06,0.07070102,0.1,0.05915865,460.0,0.8368804,-25.843863,0.20115891,2300.0,22
0.13,0.07064895,0.15,0.05941164,480.0,0.8364975,-25.34,0.2011178,2400.0,23
0.11,0.07102704,0.05,0.060614184,500.0,0.8365071,-24.81586,0.20114611,2500.0,24
0.05,0.0711577,0.1,0.06253027,520.0,0.8366153,-24.141516,0.2012716,2600.0,25
0.19,0.07123711,0.0,0.06312493,540.0,0.8365383,-32.76371,0.20123129,2700.0,26
0.1,0.07117314,0.2,0.06347126,560.0,0.83643967,-23.53715,0.20124285,2800.0,27
0.07,0.071091406,0.1,0.064182654,580.0,0.83612376,-25.993473,0.20116629,2900.0,28
0.13,0.070920594,0.05,0.06510955,600.0,0.83602136,-29.78653,0.20113108,3000.0,29
0.18,0.07083026,0.2,0.06619254,620.0,0.8359017,-21.941364,0.20091315,3100.0,30
0.22,0.07069699,0.1,0.06622178,640.0,0.8359255,-29.602955,0.20097993,3200.0,31
0.2,0.07057849,0.15,0.06629216,660.0,0.83615357,-22.150154,0.20095247,3300.0,32
0.14,0.07069078,0.2,0.06719261,680.0,0.836185,-20.862804,0.20101604,3400.0,33
0.19,0.07048883,0.1,0.06724425,700.0,0.8361147,-20.945492,0.200994,3500.0,34
0.29,0.07026178,0.2,0.0681178,720.0,0.83614516,-23.34821,0.20086417,3600.0,35
0.28,0.07028522,0.25,0.06903373,740.0,0.8361748,-20.724993,0.20087433,3700.0,36
0.35,0.070019454,0.45,0.070051976,760.0,0.8361371,-14.545113,0.20083366,3800.0,37
0.26,0.06983193,0.45,0.07094158,780.0,0.83608127,-14.118327,0.20083314,3900.0,38
0.39,0.0699101,0.3,0.07194705,800.0,0.8359646,-17.45903,0.20074038,4000.0,39
0.36,0.069733165,0.35,0.07267342,820.0,0.8359718,-14.394209,0.20068814,4100.0,40
0.4,0.069730386,0.4,0.07371213,840.0,0.8359649,-12.855589,0.20065124,4200.0,41
