stats_o/mean,test/mean_Q,stats_g/std,test/success_rate,epoch,stats_o/std,test/episode,train/success_rate,stats_g/mean,train/episode
0.20161957,-2.7715516,0.07290489,0.1,0,0.05590645,20.0,0.05,0.8357558,100.0
0.20129192,-5.122014,0.07040947,0.0,1,0.05044556,40.0,0.12,0.8356747,200.0
0.20101815,-6.127105,0.06839715,0.1,2,0.047201872,60.0,0.06,0.83527493,300.0
0.20158939,-8.520536,0.06746953,0.05,3,0.04605774,80.0,0.09,0.8366983,400.0
0.2023453,-10.708442,0.06882554,0.0,4,0.050952464,100.0,0.09,0.83807945,500.0
0.20217182,-11.079553,0.06829084,0.1,5,0.05001509,120.0,0.03,0.83840734,600.0
0.20175587,-10.291802,0.068747796,0.2,6,0.05197912,140.0,0.06,0.8374179,700.0
0.20170683,-12.5753145,0.06929103,0.15,7,0.05261042,160.0,0.09,0.83713794,800.0
0.20159069,-15.512347,0.06965766,0.1,8,0.05331043,180.0,0.09,0.83666724,900.0
0.20135021,-15.973541,0.069506936,0.05,9,0.05414401,200.0,0.08,0.8362381,1000.0
0.20147993,-14.42972,0.070108674,0.15,10,0.0546943,220.0,0.09,0.8361402,1100.0
0.20131636,-19.876822,0.07064471,0.0,11,0.054966602,240.0,0.08,0.8357989,1200.0
0.20135568,-18.835743,0.070703976,0.15,12,0.056033656,260.0,0.09,0.83574957,1300.0
0.20108841,-19.63855,0.071185835,0.05,13,0.058274336,280.0,0.07,0.8355231,1400.0
0.20096655,-21.233175,0.0712684,0.1,14,0.05914013,300.0,0.07,0.8353918,1500.0
0.201049,-22.808376,0.07199698,0.05,15,0.059856404,320.0,0.07,0.835638,1600.0
0.201235,-19.935095,0.07216605,0.15,16,0.061456986,340.0,0.05,0.83601767,1700.0
0.20122424,-22.616594,0.07190547,0.1,17,0.061377622,360.0,0.14,0.83608085,1800.0
0.2010508,-19.721,0.071746714,0.15,18,0.06270739,380.0,0.1,0.83585125,1900.0
0.20103893,-19.552784,0.07176962,0.15,19,0.063439995,400.0,0.13,0.8356428,2000.0
0.20112288,-27.16712,0.07151509,0.0,20,0.06339549,420.0,0.02,0.83590585,2100.0
0.20112188,-21.188421,0.07139271,0.2,21,0.06395646,440.0,0.05,0.83588284,2200.0
0.20099108,-25.549911,0.071053825,0.1,22,0.064151816,460.0,0.06,0.8356056,2300.0
0.2009716,-24.486477,0.070982106,0.15,23,0.06420278,480.0,0.13,0.8354078,2400.0
0.20100635,-24.290129,0.07106669,0.1,24,0.064354956,500.0,0.09,0.8354664,2500.0
0.2010994,-26.08663,0.07082013,0.1,25,0.06406434,520.0,0.09,0.8356692,2600.0
0.20110478,-32.74737,0.070890225,0.0,26,0.06462646,540.0,0.19,0.83561087,2700.0
0.20105344,-26.624958,0.07084466,0.05,27,0.06472755,560.0,0.13,0.8355672,2800.0
0.20097083,-23.716417,0.07097972,0.15,28,0.06475344,580.0,0.09,0.83537316,2900.0
0.20098191,-30.22145,0.070885725,0.05,29,0.064668834,600.0,0.09,0.8353598,3000.0
0.20101808,-25.271942,0.07125258,0.05,30,0.064964145,620.0,0.16,0.8352844,3100.0
0.20104754,-30.120209,0.071122915,0.1,31,0.06509351,640.0,0.13,0.835427,3200.0
0.20111158,-25.184738,0.07106917,0.15,32,0.0656464,660.0,0.17,0.83565587,3300.0
0.20111923,-21.305489,0.07086488,0.3,33,0.065863565,680.0,0.17,0.8357896,3400.0
0.20105463,-20.415096,0.070945226,0.2,34,0.0670511,700.0,0.17,0.83578676,3500.0
0.20107374,-23.097757,0.070804946,0.25,35,0.06719622,720.0,0.19,0.83585334,3600.0
0.20107557,-21.981342,0.07072348,0.05,36,0.06783455,740.0,0.27,0.8359344,3700.0
0.20105164,-18.276974,0.0706035,0.25,37,0.068294615,760.0,0.13,0.83602303,3800.0
0.2010695,-15.649111,0.07044508,0.25,38,0.068394855,780.0,0.18,0.83606046,3900.0
0.20103401,-19.544958,0.07044133,0.15,39,0.068973005,800.0,0.3,0.8360277,4000.0
0.20099387,-13.243631,0.070604615,0.3,40,0.07031051,820.0,0.22,0.8359659,4100.0
0.20103198,-16.573671,0.07056565,0.35,41,0.07070977,840.0,0.36,0.8360629,4200.0
0.20106506,-14.47626,0.07047684,0.4,42,0.071249105,860.0,0.39,0.8360498,4300.0
0.20110288,-12.422531,0.07039977,0.55,43,0.07199813,880.0,0.44,0.83626556,4400.0
0.201086,-7.7041655,0.07052483,0.65,44,0.07302011,900.0,0.49,0.8363671,4500.0
0.20113651,-12.636358,0.07066225,0.4,45,0.073851086,920.0,0.52,0.8365497,4600.0
0.20110728,-9.965937,0.070511065,0.65,46,0.074067384,940.0,0.54,0.8365891,4700.0
0.201084,-5.9739695,0.070480734,0.75,47,0.07436777,960.0,0.55,0.83655834,4800.0
0.20100124,-6.968646,0.070557155,0.4,48,0.07525273,980.0,0.59,0.83661324,4900.0
0.20100711,-9.1239,0.07042027,0.7,49,0.076252595,1000.0,0.61,0.83668834,5000.0
0.20096886,-8.650429,0.07025579,0.7,50,0.076407105,1020.0,0.62,0.83669597,5100.0
0.20089014,-7.9439583,0.070207186,0.65,51,0.07670133,1040.0,0.65,0.836719,5200.0
0.2008235,-5.7500067,0.070139915,0.75,52,0.07694036,1060.0,0.77,0.8367159,5300.0
0.20071895,-9.43387,0.07017176,0.65,53,0.077838756,1080.0,0.66,0.8367429,5400.0
0.20075205,-2.9456704,0.07024039,0.9,54,0.07827681,1100.0,0.64,0.836668,5500.0
0.20072562,-4.3187437,0.070251204,0.9,55,0.07853257,1120.0,0.78,0.83678216,5600.0
0.2008087,-3.0996776,0.0701474,0.85,56,0.078964256,1140.0,0.72,0.83683676,5700.0
0.20084462,-5.2866616,0.069990866,0.8,57,0.079187915,1160.0,0.78,0.8369704,5800.0
0.20080419,-6.2213297,0.069994785,0.75,58,0.079969905,1180.0,0.79,0.836968,5900.0
0.2008162,-3.4609141,0.06998604,0.85,59,0.08070851,1200.0,0.72,0.83693284,6000.0
0.2008127,-3.7057586,0.06998905,0.95,60,0.080848016,1220.0,0.82,0.8369982,6100.0
0.20089844,-2.9953697,0.06982721,0.9,61,0.080896236,1240.0,0.78,0.8370919,6200.0
0.20085356,-3.442181,0.06974753,0.85,62,0.080949694,1260.0,0.87,0.8370671,6300.0
0.20081249,-4.0834527,0.069952816,0.85,63,0.081561774,1280.0,0.76,0.8369839,6400.0
0.20085616,-3.580749,0.069842584,0.75,64,0.0817895,1300.0,0.79,0.83699673,6500.0
0.20085035,-3.2783806,0.06968766,0.85,65,0.0819162,1320.0,0.83,0.83699226,6600.0
0.2008562,-1.9057674,0.0695926,1.0,66,0.082160786,1340.0,0.85,0.83697575,6700.0
0.20083556,-2.418713,0.069485694,0.95,67,0.08239249,1360.0,0.87,0.83704185,6800.0
0.20080115,-2.3824546,0.06935151,0.95,68,0.08260408,1380.0,0.82,0.83707833,6900.0
0.200802,-2.1980124,0.06933693,0.95,69,0.08280806,1400.0,0.81,0.8371292,7000.0
0.2008312,-2.9379957,0.069332324,0.9,70,0.0830584,1420.0,0.82,0.83715075,7100.0
0.2008419,-2.480535,0.06926238,0.95,71,0.08319739,1440.0,0.83,0.8371733,7200.0
0.20093143,-2.7107437,0.06917531,0.85,72,0.083288886,1460.0,0.85,0.83723134,7300.0
0.20094518,-2.5821283,0.069091566,0.95,73,0.08371252,1480.0,0.88,0.8372806,7400.0
0.20094799,-3.6394749,0.06903356,0.8,74,0.08399037,1500.0,0.74,0.8372738,7500.0
0.20099434,-2.353901,0.06895264,0.95,75,0.08425144,1520.0,0.89,0.837241,7600.0
0.20102417,-2.0976474,0.0689194,0.95,76,0.08428502,1540.0,0.91,0.8372509,7700.0
0.2009788,-2.436807,0.068834834,0.85,77,0.08441721,1560.0,0.89,0.83727247,7800.0
0.20099454,-2.416698,0.06873636,0.95,78,0.08462875,1580.0,0.85,0.8373278,7900.0
0.20101288,-1.2582585,0.068633065,1.0,79,0.08470887,1600.0,0.86,0.83733207,8000.0
0.2009881,-1.2943666,0.06861842,1.0,80,0.08506186,1620.0,0.89,0.83735865,8100.0
0.20103504,-2.1735425,0.06850519,0.9,81,0.08508154,1640.0,0.89,0.83737826,8200.0
0.20105037,-2.1940787,0.068426766,0.95,82,0.085057266,1660.0,0.91,0.8374176,8300.0
0.20107406,-2.3679643,0.068385445,0.9,83,0.08511171,1680.0,0.85,0.83748025,8400.0
0.2010749,-1.5492942,0.068385564,1.0,84,0.08550065,1700.0,0.85,0.83751154,8500.0
0.20111431,-1.8365307,0.068478726,0.95,85,0.08585259,1720.0,0.85,0.83751935,8600.0
0.20111276,-1.0981663,0.0684505,1.0,86,0.08588353,1740.0,0.9,0.83754605,8700.0
0.2011686,-2.034078,0.06835238,0.9,87,0.085862055,1760.0,0.91,0.8376097,8800.0
0.20119803,-1.3065077,0.06834887,1.0,88,0.08604878,1780.0,0.87,0.83764344,8900.0
0.20120993,-1.1950097,0.06824546,1.0,89,0.08608432,1800.0,0.93,0.8376749,9000.0
0.20120384,-1.7597281,0.06825029,0.95,90,0.08606009,1820.0,0.9,0.83768344,9100.0
0.2012347,-1.4917876,0.068206005,1.0,91,0.08607523,1840.0,0.95,0.8376809,9200.0
0.20127448,-1.0601732,0.06822196,1.0,92,0.08633054,1860.0,0.93,0.8377165,9300.0
0.20128818,-1.4697269,0.068159245,1.0,93,0.086368434,1880.0,0.99,0.837724,9400.0
0.20136459,-1.0372396,0.06819412,1.0,94,0.08659676,1900.0,0.88,0.83771545,9500.0
