test/episode,stats_g/std,stats_o/std,stats_o/mean,epoch,test/success_rate,train/episode,test/mean_Q,stats_g/mean,train/success_rate
20.0,0.09520137,0.03315837,0.25861362,0,0.7,20.0,-0.6968059,0.86662513,0.15
40.0,0.08967737,0.031273387,0.259064,1,0.8,40.0,-0.76631707,0.8659034,0.6
60.0,0.0878014,0.03055228,0.25968578,2,0.95,60.0,-0.64031637,0.8658779,0.95
80.0,0.0867289,0.030331407,0.26086706,3,1.0,80.0,-0.4723065,0.86964804,0.9
100.0,0.08690083,0.030241493,0.26106954,4,1.0,100.0,-0.49160123,0.870014,0.85
120.0,0.08668398,0.03032433,0.26148716,5,1.0,120.0,-0.34283477,0.87134,0.9
140.0,0.08600929,0.030306965,0.26126444,6,1.0,140.0,-0.28284144,0.8703262,0.9
160.0,0.085399546,0.03029623,0.2619157,7,1.0,160.0,-0.23546016,0.8726894,0.85
180.0,0.085247904,0.03035605,0.2618774,8,1.0,180.0,-0.19863455,0.8725186,0.8
200.0,0.08562348,0.030557955,0.26205763,9,1.0,200.0,-0.2356437,0.8729791,0.8
220.0,0.08552923,0.030549252,0.2621472,10,1.0,220.0,-0.2280344,0.87322503,0.75
240.0,0.085531525,0.030545145,0.26202068,11,1.0,240.0,-0.27070653,0.87275106,0.85
260.0,0.08593833,0.03068025,0.26236182,12,1.0,260.0,-0.25067577,0.8737578,0.55
280.0,0.08562696,0.030552179,0.26249048,13,1.0,280.0,-0.18784821,0.8741636,0.8
300.0,0.08552733,0.030553043,0.26271802,14,1.0,300.0,-0.18503013,0.87497187,0.85
320.0,0.08568623,0.030586576,0.2629311,15,1.0,320.0,-0.24059758,0.8757746,0.85
340.0,0.08587501,0.030617148,0.26295108,16,1.0,340.0,-0.1320146,0.8758729,0.75
360.0,0.08566769,0.030566614,0.26280746,17,1.0,360.0,-0.08948459,0.87528825,0.7
380.0,0.08558848,0.03053611,0.2627288,18,1.0,380.0,-0.10754557,0.87487173,0.7
400.0,0.0858368,0.030596966,0.26284325,19,1.0,400.0,-0.21669786,0.8753305,0.8
420.0,0.08601231,0.030693766,0.26291233,20,1.0,420.0,-0.17195055,0.87546366,0.9
440.0,0.08626563,0.030736774,0.26289633,21,1.0,440.0,-0.1418547,0.875536,0.65
460.0,0.08613906,0.030711582,0.26307237,22,1.0,460.0,-0.15781048,0.8761632,0.85
