train/success_rate,stats_o/mean,stats_g/mean,stats_g/std,stats_o/std,test/mean_Q,test/episode,train/episode,test/success_rate,epoch
0.15,0.25824776,0.8657569,0.09493681,0.033021025,-0.6064906,20.0,20.0,0.8,0
0.7,0.25860387,0.8638812,0.089876525,0.03163617,-0.8765427,40.0,40.0,0.75,1
0.95,0.25926572,0.86420983,0.088922106,0.031076957,-0.7275588,60.0,60.0,1.0,2
0.85,0.26073107,0.8685581,0.08737996,0.030468687,-0.7385116,80.0,80.0,0.9,3
0.8,0.26107424,0.86959696,0.08724121,0.030354053,-0.5859148,100.0,100.0,0.95,4
0.8,0.26147157,0.87103444,0.08679179,0.030290524,-0.31941077,120.0,120.0,1.0,5
0.85,0.26130944,0.87017155,0.08617728,0.030305903,-0.29206806,140.0,140.0,1.0,6
0.8,0.2619523,0.87251973,0.08560431,0.030331437,-0.28261015,160.0,160.0,1.0,7
0.8,0.26190716,0.87237126,0.08540785,0.030363321,-0.2489897,180.0,180.0,1.0,8
0.75,0.26214418,0.87294155,0.08586524,0.030623049,-0.2262224,200.0,200.0,1.0,9
0.7,0.26223144,0.8731397,0.08579743,0.030619543,-0.23362918,220.0,220.0,1.0,10
0.85,0.26212877,0.8727212,0.08586475,0.030666184,-0.25500476,240.0,240.0,1.0,11
0.55,0.26241028,0.8736217,0.08629956,0.030822223,-0.27045295,260.0,260.0,1.0,12
0.85,0.26250947,0.8739863,0.0860549,0.030739123,-0.16842465,280.0,280.0,1.0,13
0.8,0.26273218,0.8748114,0.086014785,0.03076691,-0.19765756,300.0,300.0,1.0,14
0.8,0.26290396,0.87556034,0.08614353,0.030790146,-0.16364299,320.0,320.0,1.0,15
0.8,0.26291305,0.8756714,0.086369954,0.030843934,-0.15357876,340.0,340.0,1.0,16
0.75,0.2627758,0.8751054,0.08622707,0.0308088,-0.10270033,360.0,360.0,1.0,17
0.75,0.2626985,0.8746974,0.086161554,0.030778587,-0.15132363,380.0,380.0,1.0,18
0.75,0.26279277,0.87512064,0.08643073,0.030848121,-0.24326403,400.0,400.0,1.0,19
0.8,0.26284665,0.87523264,0.0865829,0.030938694,-0.14580931,420.0,420.0,1.0,20
0.65,0.26284635,0.87533283,0.08683053,0.0309883,-0.14012387,440.0,440.0,1.0,21
0.95,0.26301774,0.8759725,0.08671566,0.03096951,-0.1543722,460.0,460.0,1.0,22
0.8,0.2631076,0.87632704,0.08662937,0.030943494,-0.093812525,480.0,480.0,1.0,23
0.8,0.26302722,0.8760765,0.08650117,0.030927058,-0.105242215,500.0,500.0,1.0,24
0.85,0.26296765,0.8759222,0.086526364,0.030943904,-0.107213914,520.0,520.0,1.0,25
0.9,0.26285714,0.87554985,0.08632821,0.03088746,-0.111709796,540.0,540.0,1.0,26
0.8,0.2630165,0.8761682,0.086152755,0.030835237,-0.10953959,560.0,560.0,1.0,27
0.75,0.2629327,0.8758497,0.08592879,0.030792493,-0.06237068,580.0,580.0,1.0,28
0.75,0.26279455,0.8753471,0.08600644,0.03082019,-0.11903913,600.0,600.0,1.0,29
0.6,0.26275936,0.8752616,0.085775375,0.030748999,-0.10156815,620.0,620.0,1.0,30
0.75,0.2627904,0.87538296,0.08596703,0.03079843,-0.12494866,640.0,640.0,1.0,31
0.75,0.2628247,0.87552947,0.08596414,0.03078408,-0.10436054,660.0,660.0,1.0,32
0.85,0.2627812,0.8753746,0.08605367,0.030816894,-0.10117833,680.0,680.0,1.0,33
0.8,0.26276565,0.8753663,0.08599017,0.030815924,-0.06916735,700.0,700.0,1.0,34
0.85,0.26279518,0.8755176,0.08590853,0.03079642,-0.06473797,720.0,720.0,1.0,35
0.75,0.26280165,0.8755277,0.08579435,0.03075369,-0.08709039,740.0,740.0,1.0,36
0.8,0.26260868,0.8748258,0.08589804,0.0307866,-0.072922245,760.0,760.0,1.0,37
0.7,0.2625397,0.87456626,0.08602955,0.03081738,-0.08612593,780.0,780.0,1.0,38
0.9,0.26261088,0.87484175,0.08601291,0.030826122,-0.066049755,800.0,800.0,1.0,39
0.8,0.26262295,0.8748739,0.08599784,0.030822426,-0.05935524,820.0,820.0,1.0,40
0.85,0.26265693,0.8749941,0.08600547,0.030829515,-0.0677221,840.0,840.0,1.0,41
1.0,0.2625949,0.87478924,0.08598405,0.030834198,-0.081432976,860.0,860.0,1.0,42
0.7,0.26268572,0.8750743,0.085980594,0.030849338,-0.06392816,880.0,880.0,1.0,43
0.65,0.26280746,0.8755102,0.08596396,0.030838046,-0.08478855,900.0,900.0,1.0,44
0.85,0.26279584,0.8754906,0.08584986,0.030807108,-0.06248625,920.0,920.0,1.0,45
0.85,0.26284498,0.87569904,0.08600662,0.030835181,-0.11263847,940.0,940.0,1.0,46
0.7,0.26295483,0.87609404,0.08614418,0.030873101,-0.11579083,960.0,960.0,1.0,47
0.7,0.26305014,0.8764103,0.086233474,0.030892294,-0.068405196,980.0,980.0,1.0,48
0.9,0.26307985,0.87653637,0.08602985,0.030824414,-0.042520784,1000.0,1000.0,1.0,49
0.85,0.26304328,0.87637395,0.085864484,0.030777842,-0.06093535,1020.0,1020.0,1.0,50
0.7,0.26296154,0.87609786,0.08581928,0.030770594,-0.008766842,1040.0,1040.0,1.0,51
0.85,0.26293832,0.8760071,0.08578428,0.030754337,-0.07949023,1060.0,1060.0,1.0,52
0.85,0.26296476,0.8760864,0.08565556,0.03073346,-0.046251446,1080.0,1080.0,1.0,53
0.8,0.26298892,0.8761881,0.08572069,0.030762557,-0.059913296,1100.0,1100.0,1.0,54
0.65,0.26300266,0.8762395,0.08574009,0.030769194,-0.0701804,1120.0,1120.0,1.0,55
0.75,0.2630425,0.8763768,0.08562162,0.030735722,-0.055962443,1140.0,1140.0,1.0,56
0.85,0.26298195,0.8761596,0.08549175,0.030699503,-0.04319203,1160.0,1160.0,1.0,57
0.85,0.26299506,0.8761894,0.08550433,0.03069983,-0.043643165,1180.0,1180.0,1.0,58
0.7,0.2630251,0.876339,0.08560336,0.030716192,-0.114187,1200.0,1200.0,1.0,59
0.65,0.26312077,0.8766897,0.08551533,0.03068853,-0.06772523,1220.0,1220.0,1.0,60
0.7,0.26307362,0.8765065,0.085621275,0.030725598,-0.095040396,1240.0,1240.0,1.0,61
0.85,0.26309815,0.8765966,0.08556267,0.030714175,-0.09927204,1260.0,1260.0,1.0,62
0.8,0.26317492,0.87688154,0.085597076,0.030724842,-0.059133828,1280.0,1280.0,1.0,63
0.7,0.26314503,0.87677246,0.085630596,0.030736778,-0.052055944,1300.0,1300.0,1.0,64
0.7,0.26313204,0.87671727,0.08550778,0.030695092,-0.028976018,1320.0,1320.0,1.0,65
0.65,0.2631025,0.8765989,0.085442536,0.030672511,-0.039112452,1340.0,1340.0,1.0,66
0.95,0.26307502,0.87645084,0.08551905,0.030698314,-0.058957964,1360.0,1360.0,1.0,67
0.85,0.26299146,0.8761458,0.08540479,0.030678172,-0.03473959,1380.0,1380.0,1.0,68
0.8,0.26299942,0.8761792,0.08541008,0.030683905,-0.07346377,1400.0,1400.0,1.0,69
0.7,0.26295936,0.87600666,0.08545792,0.030692274,-0.061964326,1420.0,1420.0,1.0,70
0.7,0.26298448,0.8761062,0.08546253,0.030693138,-0.057276983,1440.0,1440.0,1.0,71
0.55,0.26299667,0.87616104,0.08545891,0.03069301,-0.055345535,1460.0,1460.0,1.0,72
0.75,0.26299325,0.8761394,0.085490316,0.030704405,-0.051534347,1480.0,1480.0,1.0,73
0.75,0.26300934,0.87619287,0.08539548,0.030682866,-0.035776462,1500.0,1500.0,1.0,74
0.7,0.26309052,0.87651944,0.08543992,0.030697886,-0.059940368,1520.0,1520.0,1.0,75
0.75,0.26307648,0.87644726,0.08551794,0.0307201,-0.047852427,1540.0,1540.0,1.0,76
0.7,0.26309595,0.8765359,0.08557082,0.030746758,-0.102248766,1560.0,1560.0,1.0,77
0.7,0.26309282,0.8765049,0.08565295,0.030758271,-0.062395554,1580.0,1580.0,1.0,78
0.8,0.263134,0.87664014,0.08564507,0.030763319,-0.041693673,1600.0,1600.0,1.0,79
0.6,0.2630924,0.8764817,0.0855867,0.030738806,-0.061227642,1620.0,1620.0,1.0,80
0.9,0.2630521,0.8763314,0.08559684,0.03074189,-0.048198305,1640.0,1640.0,1.0,81
0.95,0.2630003,0.87613535,0.08556344,0.030726273,-0.068446614,1660.0,1660.0,1.0,82
0.8,0.26298633,0.8760641,0.085558,0.030730808,-0.031747006,1680.0,1680.0,1.0,83
0.75,0.26293743,0.8758847,0.08543434,0.030698005,-0.05837164,1700.0,1700.0,1.0,84
0.85,0.2629367,0.87588215,0.08550862,0.030722607,-0.062367182,1720.0,1720.0,1.0,85
0.55,0.2629128,0.8757768,0.08560296,0.030745203,-0.08554424,1740.0,1740.0,1.0,86
0.7,0.2629668,0.87595177,0.085694395,0.030770201,-0.072590254,1760.0,1760.0,1.0,87
0.8,0.26298404,0.8759725,0.08563394,0.030752242,-0.05599925,1780.0,1780.0,1.0,88
0.7,0.2629581,0.87587434,0.085632436,0.03075087,-0.06551924,1800.0,1800.0,1.0,89
0.85,0.26295525,0.8758569,0.08562532,0.030746143,-0.048923455,1820.0,1820.0,1.0,90
0.8,0.26295537,0.87584597,0.08563378,0.030750018,-0.04451818,1840.0,1840.0,1.0,91
0.85,0.26293832,0.8757618,0.0856776,0.030764416,-0.06841476,1860.0,1860.0,1.0,92
0.8,0.26289243,0.8755575,0.085617036,0.03074501,-0.060785018,1880.0,1880.0,1.0,93
0.75,0.2628922,0.87557125,0.0856302,0.030740384,-0.06954001,1900.0,1900.0,1.0,94
0.65,0.26286453,0.8754651,0.085623346,0.030730331,-0.06926137,1920.0,1920.0,1.0,95
0.85,0.26289737,0.87560624,0.08567508,0.030741954,-0.05550435,1940.0,1940.0,1.0,96
0.55,0.26290315,0.87563276,0.085672,0.030744905,-0.05723881,1960.0,1960.0,1.0,97
0.9,0.262837,0.87536985,0.085642755,0.030737242,-0.05171342,1980.0,1980.0,1.0,98
0.6,0.26287442,0.87550783,0.08572358,0.030761207,-0.062414158,2000.0,2000.0,1.0,99
0.65,0.26287574,0.87551016,0.085653216,0.030741274,-0.056899704,2020.0,2020.0,1.0,100
