stats_o/mean,train/success_rate,stats_g/mean,stats_g/std,test/mean_Q,test/episode,test/success_rate,epoch,train/episode,stats_o/std
0.25822234,0.25,0.8659763,0.09478349,-0.73460734,20.0,0.7,0,20.0,0.032923803
0.2589983,0.65,0.86519814,0.08857716,-0.7703223,40.0,0.85,1,40.0,0.030913744
0.25947183,0.9,0.86484283,0.08694925,-0.6774262,60.0,0.9,2,60.0,0.030116504
0.26119506,0.85,0.86946076,0.085995175,-0.4759791,80.0,1.0,3,80.0,0.029953863
0.2617571,0.8,0.8711381,0.086662985,-0.5756608,100.0,0.95,4,100.0,0.030145805
0.26215163,0.85,0.87244743,0.08617959,-0.34834746,120.0,1.0,5,120.0,0.030012125
0.2619191,0.9,0.8714326,0.08557689,-0.276192,140.0,1.0,6,140.0,0.030063624
0.2625168,0.8,0.87369055,0.08504472,-0.24380264,160.0,1.0,7,160.0,0.030090272
0.2624814,0.85,0.8735717,0.084862195,-0.19486429,180.0,1.0,8,180.0,0.030130351
0.26265693,0.7,0.87399036,0.08534559,-0.22402065,200.0,1.0,9,200.0,0.030402523
0.26270777,0.7,0.87412524,0.085336395,-0.19075622,220.0,1.0,10,220.0,0.03042462
0.26256892,0.85,0.8736348,0.0853962,-0.20063965,240.0,1.0,11,240.0,0.030456671
0.26284435,0.55,0.87453836,0.08578823,-0.1932251,260.0,1.0,12,260.0,0.030591184
0.26295042,0.75,0.8749097,0.08555556,-0.093543135,280.0,1.0,13,280.0,0.030512396
0.26312798,0.7,0.87561995,0.085508846,-0.1299239,300.0,1.0,14,300.0,0.030533189
0.2632634,0.85,0.87628937,0.08570149,-0.13901035,320.0,1.0,15,320.0,0.030589875
0.26321873,0.85,0.87629384,0.08592385,-0.09165658,340.0,1.0,16,340.0,0.03064341
0.26306853,0.75,0.87570006,0.085772015,-0.08760605,360.0,1.0,17,360.0,0.030619394
0.26291743,0.7,0.87514997,0.085746616,-0.0867743,380.0,1.0,18,380.0,0.030619433
0.2629768,0.8,0.8755104,0.08601298,-0.15721932,400.0,1.0,19,400.0,0.030687649
