stats_g/mean,test/mean_Q,epoch,test/episode,test/success_rate,train/episode,stats_o/mean,stats_g/std,stats_o/std,train/success_rate
0.7327015,-3.0511367,0,20.0,0.0,100.0,0.17893225,0.12365538,0.050410524,0.0
0.73310834,-4.959137,1,40.0,0.0,200.0,0.17775626,0.1241917,0.053260803,0.01
0.7349196,-7.0903044,2,60.0,0.0,300.0,0.17908798,0.12421903,0.05580253,0.01
0.7334619,-9.213465,3,80.0,0.0,400.0,0.1784597,0.12520893,0.055446927,0.0
0.7363887,-11.2425785,4,100.0,0.0,500.0,0.17931157,0.1250349,0.055143584,0.01
0.7359211,-12.544688,5,120.0,0.0,600.0,0.17881005,0.12761964,0.056460783,0.0
0.7368059,-13.688423,6,140.0,0.0,700.0,0.17873472,0.13169655,0.058374666,0.01
0.73878866,-15.356346,7,160.0,0.0,800.0,0.17887813,0.13616587,0.061107647,0.01
0.73858404,-16.475925,8,180.0,0.05,900.0,0.17888328,0.14157805,0.06314477,0.01
0.7381716,-19.456388,9,200.0,0.0,1000.0,0.1789283,0.14430748,0.06366212,0.0
0.7380016,-19.745296,10,220.0,0.05,1100.0,0.17883198,0.14626199,0.064658076,0.01
0.73836184,-18.468636,11,240.0,0.1,1200.0,0.17895004,0.147883,0.06609024,0.0
0.7389085,-21.103582,12,260.0,0.05,1300.0,0.17915285,0.14873736,0.065992825,0.01
0.73889756,-20.797413,13,280.0,0.05,1400.0,0.17940332,0.1500894,0.067811556,0.02
0.7388809,-21.057377,14,300.0,0.05,1500.0,0.1793905,0.15054797,0.067983046,0.0
0.7396474,-22.982773,15,320.0,0.05,1600.0,0.17960384,0.15167351,0.06861739,0.03
0.73991513,-21.268099,16,340.0,0.1,1700.0,0.17986223,0.15404041,0.06965352,0.03
0.7412804,-26.615383,17,360.0,0.05,1800.0,0.18006872,0.15561275,0.07077749,0.04
0.741646,-23.955917,18,380.0,0.1,1900.0,0.1800663,0.15658928,0.072229356,0.0
0.7411242,-24.371134,19,400.0,0.2,2000.0,0.17987055,0.15809958,0.073050655,0.02
0.74148077,-21.731516,20,420.0,0.15,2100.0,0.1799544,0.1584327,0.0733768,0.13
0.7423455,-26.018143,21,440.0,0.0,2200.0,0.18003912,0.15887265,0.07379229,0.04
0.7430187,-24.2206,22,460.0,0.1,2300.0,0.1801042,0.15966986,0.074292086,0.07
0.74337417,-24.176052,23,480.0,0.25,2400.0,0.18002005,0.16041623,0.07470307,0.09
0.7451537,-21.331936,24,500.0,0.2,2500.0,0.18029389,0.16117303,0.075267166,0.08
0.7465904,-22.45405,25,520.0,0.1,2600.0,0.18051869,0.16270196,0.07631709,0.06
0.7490825,-20.602192,26,540.0,0.2,2700.0,0.18108477,0.16438343,0.07749217,0.06
0.7509916,-17.979662,27,560.0,0.35,2800.0,0.18155561,0.16507904,0.07835957,0.12
0.7520623,-18.434536,28,580.0,0.15,2900.0,0.18165636,0.16515182,0.07894451,0.1
0.7529959,-22.179483,29,600.0,0.3,3000.0,0.18183029,0.1652366,0.07896424,0.12
0.754257,-21.753704,30,620.0,0.2,3100.0,0.18210308,0.16526696,0.0790857,0.08
0.75554246,-19.211061,31,640.0,0.2,3200.0,0.18236282,0.16534464,0.0791261,0.06
0.75688475,-15.51104,32,660.0,0.4,3300.0,0.18256281,0.16571979,0.07922394,0.06
0.75786877,-23.481964,33,680.0,0.15,3400.0,0.18279736,0.1663154,0.07979821,0.16
0.7584141,-17.819223,34,700.0,0.3,3500.0,0.18295601,0.16690834,0.080203675,0.11
0.7597572,-19.580515,35,720.0,0.35,3600.0,0.18335608,0.16781627,0.08076924,0.23
0.7609113,-16.414474,36,740.0,0.4,3700.0,0.18361768,0.16833358,0.081113905,0.16
0.76201004,-18.503134,37,760.0,0.35,3800.0,0.18389396,0.16835077,0.08100906,0.1
0.7630244,-16.747604,38,780.0,0.35,3900.0,0.18411976,0.16849013,0.08110812,0.1
0.7639499,-22.94818,39,800.0,0.3,4000.0,0.18426813,0.16898096,0.08164828,0.16
0.7651352,-16.982,40,820.0,0.35,4100.0,0.1845342,0.16902767,0.08188165,0.15
0.76614666,-23.30974,41,840.0,0.2,4200.0,0.18470956,0.16928251,0.08194616,0.12
0.76729566,-16.85993,42,860.0,0.35,4300.0,0.18496075,0.16969955,0.08226169,0.17
0.7683573,-15.916208,43,880.0,0.4,4400.0,0.1850828,0.17031361,0.08253213,0.16
0.7691984,-19.646221,44,900.0,0.4,4500.0,0.18523926,0.17108215,0.08272941,0.11
0.7697714,-17.686125,45,920.0,0.15,4600.0,0.1852501,0.17187089,0.08334176,0.15
0.7705591,-18.064734,46,940.0,0.3,4700.0,0.18536507,0.17224185,0.08335294,0.16
0.7710428,-15.722196,47,960.0,0.35,4800.0,0.18535145,0.17301206,0.08388873,0.15
0.7717788,-14.004788,48,980.0,0.45,4900.0,0.18543817,0.17338653,0.08418369,0.15
0.77270555,-19.930655,49,1000.0,0.35,5000.0,0.18549556,0.17321646,0.08410213,0.13
0.77343607,-17.011515,50,1020.0,0.35,5100.0,0.18565325,0.17324935,0.08419572,0.1
0.77424765,-17.620731,51,1040.0,0.35,5200.0,0.18572345,0.17331225,0.08412286,0.12
0.7750106,-18.114653,52,1060.0,0.4,5300.0,0.1857958,0.1734697,0.08415998,0.14
0.77594596,-16.033981,53,1080.0,0.4,5400.0,0.18586272,0.17348444,0.08419637,0.17
0.776586,-17.775705,54,1100.0,0.4,5500.0,0.18591474,0.17355867,0.084223405,0.19
0.77743936,-19.096466,55,1120.0,0.25,5600.0,0.18601942,0.17327923,0.084175274,0.25
0.7781288,-21.071545,56,1140.0,0.2,5700.0,0.1860336,0.17310005,0.08426742,0.1
0.778562,-20.74712,57,1160.0,0.4,5800.0,0.18607832,0.17303611,0.08437704,0.16
0.7789894,-14.102124,58,1180.0,0.6,5900.0,0.18615253,0.17305698,0.084416635,0.21
0.7793806,-19.454378,59,1200.0,0.35,6000.0,0.1862287,0.17319375,0.08444162,0.17
0.77998394,-16.400404,60,1220.0,0.35,6100.0,0.1863552,0.1734006,0.084654644,0.11
0.7807222,-21.830486,61,1240.0,0.3,6200.0,0.18645452,0.17335822,0.084784135,0.18
0.7814953,-18.119684,62,1260.0,0.5,6300.0,0.18660098,0.17333794,0.084803626,0.12
0.78196687,-16.22365,63,1280.0,0.5,6400.0,0.18668666,0.1733973,0.08485541,0.17
0.7828037,-10.129004,64,1300.0,0.55,6500.0,0.18677813,0.17354901,0.085062325,0.16
0.78333014,-15.402275,65,1320.0,0.55,6600.0,0.18685657,0.17385675,0.08532939,0.12
0.7838575,-16.429066,66,1340.0,0.5,6700.0,0.18693386,0.17412345,0.085791215,0.12
0.78422254,-17.804882,67,1360.0,0.4,6800.0,0.18701363,0.17419912,0.086058,0.22
0.78487325,-16.11374,68,1380.0,0.35,6900.0,0.18708032,0.17408343,0.08614333,0.17
0.78552437,-14.123095,69,1400.0,0.45,7000.0,0.18721585,0.1740409,0.08627782,0.18
0.7858084,-16.764494,70,1420.0,0.35,7100.0,0.18725227,0.17420794,0.08631873,0.13
0.7864461,-18.753702,71,1440.0,0.35,7200.0,0.18734959,0.17419209,0.086327955,0.24
0.78712344,-17.233917,72,1460.0,0.45,7300.0,0.18748598,0.17423739,0.08642438,0.18
0.7873518,-12.001222,73,1480.0,0.55,7400.0,0.1875447,0.17457588,0.086750895,0.11
0.78787947,-15.714407,74,1500.0,0.45,7500.0,0.18762207,0.1746189,0.08678505,0.16
0.78807384,-16.826319,75,1520.0,0.35,7600.0,0.18762772,0.17467421,0.0870147,0.2
0.7886028,-9.769473,76,1540.0,0.7,7700.0,0.18768744,0.17458665,0.08720622,0.15
0.7888256,-17.975279,77,1560.0,0.45,7800.0,0.18769968,0.17488603,0.08733753,0.21
0.7893644,-15.958638,78,1580.0,0.4,7900.0,0.18776122,0.1750258,0.08754338,0.15
0.7895911,-16.249783,79,1600.0,0.45,8000.0,0.1878214,0.17516035,0.087813556,0.16
0.7900057,-19.435566,80,1620.0,0.3,8100.0,0.18788473,0.17519368,0.08786406,0.23
0.7904914,-15.255808,81,1640.0,0.4,8200.0,0.18796887,0.17517032,0.087822564,0.09
0.7908401,-22.066595,82,1660.0,0.25,8300.0,0.18805335,0.1753049,0.087915204,0.21
0.7911331,-17.34943,83,1680.0,0.4,8400.0,0.18815953,0.17517428,0.08801423,0.18
0.7914991,-15.325038,84,1700.0,0.65,8500.0,0.18825674,0.17505904,0.08794564,0.24
0.79184484,-18.224236,85,1720.0,0.4,8600.0,0.18834749,0.1750344,0.087872855,0.15
0.79226047,-14.320836,86,1740.0,0.5,8700.0,0.18843639,0.17506742,0.08787202,0.14
0.7926533,-12.761573,87,1760.0,0.6,8800.0,0.18849993,0.17493469,0.08781297,0.19
0.79294586,-11.490863,88,1780.0,0.5,8900.0,0.18854252,0.17500778,0.08797431,0.18
0.7933411,-14.468161,89,1800.0,0.45,9000.0,0.18862806,0.17479406,0.08804724,0.31
0.79375464,-9.941001,90,1820.0,0.55,9100.0,0.18870744,0.17455359,0.088070266,0.18
0.7938989,-15.142555,91,1840.0,0.5,9200.0,0.18870243,0.17457156,0.088253535,0.27
0.79421496,-11.515375,92,1860.0,0.6,9300.0,0.18879366,0.17474,0.088427305,0.21
0.79452413,-14.802264,93,1880.0,0.35,9400.0,0.1888852,0.17460912,0.08844285,0.2
0.79476374,-13.161021,94,1900.0,0.4,9500.0,0.18891858,0.17466657,0.08853456,0.17
