stats_g/std,test/episode,test/mean_Q,stats_o/mean,stats_o/std,train/episode,epoch,stats_g/mean,test/success_rate,train/success_rate
0.1317756,20.0,-2.9901195,0.17951752,0.061644655,100.0,0,0.7315174,0.0,0.0
0.1290036,40.0,-5.1210837,0.17822118,0.058118545,200.0,1,0.73244613,0.0,0.0
0.12923308,60.0,-6.953439,0.17985019,0.056282282,300.0,2,0.73594147,0.0,0.01
0.12866636,80.0,-8.937335,0.17894867,0.05477432,400.0,3,0.73356086,0.0,0.0
0.126314,100.0,-10.594981,0.17936085,0.05430688,500.0,4,0.73507494,0.0,0.03
0.12617798,120.0,-12.293117,0.17883329,0.054330293,600.0,5,0.7337425,0.0,0.0
0.12548985,140.0,-13.605174,0.17877749,0.05372339,700.0,6,0.7340248,0.05,0.01
0.12508562,160.0,-15.721954,0.17867914,0.05370085,800.0,7,0.7347784,0.0,0.0
0.12568633,180.0,-17.432146,0.17853184,0.05363892,900.0,8,0.73463136,0.0,0.01
0.12947948,200.0,-19.40829,0.17854114,0.05646202,1000.0,9,0.73400253,0.0,0.0
0.12971057,220.0,-20.577923,0.17824739,0.056406662,1100.0,10,0.7337802,0.0,0.01
0.13265723,240.0,-20.754568,0.17837735,0.057417125,1200.0,11,0.7343735,0.05,0.0
0.13560776,260.0,-23.43217,0.17831352,0.058691412,1300.0,12,0.73415107,0.0,0.02
0.13895218,280.0,-22.817043,0.17850173,0.06132848,1400.0,13,0.7348018,0.0,0.01
0.14295252,300.0,-23.443645,0.17844185,0.06299641,1500.0,14,0.734382,0.0,0.01
0.14699005,320.0,-25.32124,0.17882721,0.06510772,1600.0,15,0.73545665,0.0,0.04
0.14990571,340.0,-21.022099,0.17901525,0.066304214,1700.0,16,0.7360758,0.05,0.03
0.15293111,360.0,-27.047611,0.17936565,0.0681842,1800.0,17,0.73804665,0.0,0.03
0.15457621,380.0,-24.215786,0.17957397,0.069926605,1900.0,18,0.7392989,0.0,0.03
0.15830818,400.0,-23.133001,0.17952679,0.07133434,2000.0,19,0.7390701,0.05,0.05
0.15908827,420.0,-20.165142,0.17956606,0.072727345,2100.0,20,0.7404615,0.15,0.05
0.16097727,440.0,-21.817299,0.17975019,0.074168555,2200.0,21,0.74206096,0.05,0.03
0.16037142,460.0,-19.55334,0.17997496,0.07424715,2300.0,22,0.74324185,0.15,0.06
0.16063906,480.0,-20.41509,0.18030195,0.074561596,2400.0,23,0.74441385,0.15,0.06
0.16033293,500.0,-22.016699,0.18058312,0.07444429,2500.0,24,0.74592835,0.1,0.02
0.15926504,520.0,-22.118418,0.18065493,0.07419083,2600.0,25,0.7466094,0.1,0.04
0.15937924,540.0,-22.029936,0.18082123,0.074094824,2700.0,26,0.74753875,0.2,0.07
0.15951492,560.0,-21.360376,0.18097836,0.07413307,2800.0,27,0.7483874,0.15,0.07
0.16015379,580.0,-21.849375,0.18120629,0.075133845,2900.0,28,0.74971724,0.15,0.05
0.16154782,600.0,-23.571793,0.18147875,0.07557644,3000.0,29,0.7506823,0.1,0.06
0.16259895,620.0,-23.751007,0.18164709,0.07605466,3100.0,30,0.75165915,0.1,0.05
0.16375287,640.0,-19.038313,0.18195201,0.077074684,3200.0,31,0.7525661,0.05,0.13
