train/episode,stats_g/mean,test/episode,test/success_rate,stats_o/std,epoch,test/mean_Q,stats_o/mean,train/success_rate,stats_g/std
100.0,0.73302007,20.0,0.0,0.05649888,0,-2.9694152,0.17889765,0.0,0.123561926
200.0,0.73349494,40.0,0.0,0.056030616,1,-4.887833,0.17727451,0.0,0.1251217
300.0,0.7354842,60.0,0.0,0.0543773,2,-7.089507,0.17880459,0.01,0.12337772
400.0,0.7334307,80.0,0.0,0.056009244,3,-9.058365,0.1783436,0.0,0.12410695
500.0,0.73570627,100.0,0.0,0.055759944,4,-10.719683,0.17916875,0.02,0.122698456
600.0,0.73409605,120.0,0.0,0.057532467,5,-12.456744,0.17852165,0.01,0.12977456
700.0,0.7339358,140.0,0.0,0.057548765,6,-13.76443,0.17834681,0.03,0.13152796
800.0,0.7353022,160.0,0.0,0.058439292,7,-15.531542,0.17836368,0.0,0.13270512
900.0,0.73428726,180.0,0.05,0.059307985,8,-16.710583,0.17811367,0.01,0.136773
1000.0,0.7339662,200.0,0.0,0.061688494,9,-19.341679,0.17842993,0.02,0.14061862
1100.0,0.73361826,220.0,0.0,0.06513143,10,-20.43509,0.17859887,0.01,0.14313959
1200.0,0.7345055,240.0,0.15,0.06650864,11,-17.852085,0.17865768,0.02,0.14468926
1300.0,0.7352867,260.0,0.0,0.068940125,12,-22.529861,0.17906643,0.01,0.1482934
1400.0,0.7360386,280.0,0.05,0.070754156,13,-21.259953,0.17933446,0.02,0.15169798
1500.0,0.7349501,300.0,0.05,0.07146494,14,-20.864748,0.17915574,0.01,0.15362066
1600.0,0.73530006,320.0,0.05,0.07225371,15,-22.849213,0.1793341,0.02,0.15508346
1700.0,0.735689,340.0,0.1,0.07308329,16,-21.733667,0.17938752,0.02,0.1572782
1800.0,0.73739535,360.0,0.05,0.074484915,17,-26.635654,0.17959858,0.06,0.15953764
1900.0,0.7383993,380.0,0.0,0.07511157,18,-25.636417,0.17961182,0.01,0.1603906
2000.0,0.7387144,400.0,0.05,0.07511844,19,-25.272373,0.1797448,0.03,0.161169
2100.0,0.73983717,420.0,0.15,0.07604712,20,-23.056934,0.18005584,0.05,0.1620722
2200.0,0.7411601,440.0,0.05,0.07699516,21,-26.056427,0.18034144,0.02,0.16310999
2300.0,0.7424634,460.0,0.15,0.07786831,22,-22.81726,0.18051924,0.03,0.16441676
2400.0,0.7432234,480.0,0.15,0.07849509,23,-20.343632,0.18069974,0.07,0.1663832
2500.0,0.7453601,500.0,0.0,0.07875265,24,-25.597944,0.18106939,0.09,0.16622247
2600.0,0.7465225,520.0,0.1,0.0795221,25,-24.105759,0.18114017,0.06,0.16722481
2700.0,0.74799603,540.0,0.05,0.079501286,26,-21.07965,0.18132214,0.05,0.16736776
2800.0,0.7492965,560.0,0.1,0.07970765,27,-19.465078,0.18146326,0.09,0.16774695
