test/episode,stats_o/mean,stats_o/std,train/success_rate,stats_g/std,train/episode,test/success_rate,epoch,test/mean_Q,stats_g/mean
20.0,0.20286003,0.047308892,0.04,0.09098051,100.0,0.0,0,-2.850855,0.8440586
40.0,0.2035799,0.051894575,0.07,0.09262898,200.0,0.1,1,-4.5726547,0.8461404
60.0,0.20390785,0.051862933,0.04,0.09278876,300.0,0.05,2,-6.212476,0.8462863
80.0,0.20432867,0.050250515,0.07,0.09280365,400.0,0.05,3,-7.977005,0.84765965
100.0,0.20475894,0.048981942,0.03,0.092296965,500.0,0.05,4,-10.42465,0.8486361
120.0,0.20428997,0.051812135,0.03,0.093540855,600.0,0.0,5,-12.347385,0.8484521
140.0,0.20418738,0.051328212,0.02,0.09558103,700.0,0.05,6,-13.413155,0.848403
160.0,0.20411612,0.055274844,0.05,0.09663341,800.0,0.1,7,-13.934789,0.84818155
180.0,0.20410585,0.05649905,0.02,0.09676293,900.0,0.15,8,-13.227211,0.8476689
200.0,0.20398724,0.057808027,0.05,0.09678046,1000.0,0.05,9,-14.563963,0.84757304
220.0,0.20416728,0.058257293,0.02,0.09810933,1100.0,0.0,10,-18.349663,0.84803396
240.0,0.20408854,0.05901299,0.01,0.09812445,1200.0,0.05,11,-20.64764,0.847573
260.0,0.20383483,0.06201797,0.04,0.09896632,1300.0,0.0,12,-19.012363,0.8471547
280.0,0.20371336,0.06328403,0.01,0.09997091,1400.0,0.1,13,-19.168608,0.846919
300.0,0.2036228,0.06626842,0.01,0.100728095,1500.0,0.15,14,-18.153776,0.84670013
320.0,0.20356855,0.06765156,0.06,0.10243978,1600.0,0.1,15,-21.53664,0.846328
340.0,0.20350288,0.06992804,0.02,0.102907695,1700.0,0.1,16,-17.601719,0.84632355
360.0,0.20361155,0.07137951,0.03,0.10268787,1800.0,0.05,17,-21.227484,0.8460106
380.0,0.20353067,0.07196737,0.03,0.102722324,1900.0,0.1,18,-23.647705,0.8458755
400.0,0.2034701,0.07176323,0.04,0.10226139,2000.0,0.2,19,-20.887661,0.8456821
420.0,0.20350172,0.073143765,0.07,0.10295478,2100.0,0.1,20,-22.80257,0.8453446
440.0,0.20347819,0.0736543,0.03,0.10260066,2200.0,0.0,21,-24.805908,0.8453977
460.0,0.20338939,0.074713476,0.04,0.10248969,2300.0,0.1,22,-21.30451,0.8453385
480.0,0.20332246,0.075617574,0.05,0.10331276,2400.0,0.05,23,-24.848219,0.84493524
500.0,0.2030776,0.07646531,0.04,0.10401431,2500.0,0.05,24,-24.484526,0.8443149
520.0,0.20305865,0.07718571,0.09,0.104308106,2600.0,0.1,25,-24.509588,0.8443236
540.0,0.20309184,0.078092195,0.06,0.10401698,2700.0,0.05,26,-22.583897,0.844692
560.0,0.20306185,0.07833414,0.09,0.10364888,2800.0,0.1,27,-23.188349,0.8446787
580.0,0.20312877,0.07831054,0.04,0.10345894,2900.0,0.15,28,-24.000952,0.844774
600.0,0.20314978,0.07914366,0.04,0.10350204,3000.0,0.05,29,-22.328968,0.8447955
620.0,0.20308276,0.079746865,0.06,0.10367488,3100.0,0.05,30,-30.268017,0.84477943
640.0,0.2030402,0.080650784,0.05,0.103492595,3200.0,0.1,31,-27.013134,0.84453446
660.0,0.20309645,0.081449986,0.04,0.10355938,3300.0,0.05,32,-23.139833,0.84443045
680.0,0.20316504,0.08270771,0.04,0.103645764,3400.0,0.05,33,-28.116978,0.8444876
700.0,0.20317811,0.08382573,0.1,0.10436518,3500.0,0.05,34,-25.104084,0.84446734
720.0,0.20311783,0.08487326,0.07,0.104259074,3600.0,0.1,35,-23.926981,0.844332
740.0,0.2031553,0.08581557,0.11,0.104416646,3700.0,0.15,36,-24.217648,0.84434503
760.0,0.20311214,0.08619827,0.05,0.10408186,3800.0,0.2,37,-23.972399,0.8442109
780.0,0.20308673,0.08659369,0.06,0.10437574,3900.0,0.05,38,-25.351248,0.8438997
800.0,0.20312239,0.08758971,0.1,0.104483284,4000.0,0.3,39,-21.319345,0.84377116
820.0,0.20311429,0.08780381,0.07,0.10464101,4100.0,0.15,40,-20.18262,0.84357077
840.0,0.2031201,0.08861962,0.09,0.104305394,4200.0,0.05,41,-22.858814,0.84355545
860.0,0.2032133,0.08926197,0.11,0.104465745,4300.0,0.15,42,-25.30627,0.8434901
880.0,0.20322284,0.08964953,0.08,0.10472783,4400.0,0.05,43,-23.588757,0.84332126
900.0,0.20314112,0.090451814,0.09,0.1046113,4500.0,0.15,44,-23.49523,0.8431058
920.0,0.20309614,0.09133212,0.16,0.104766555,4600.0,0.25,45,-23.849825,0.8431477
940.0,0.20299274,0.09207685,0.11,0.105111025,4700.0,0.1,46,-28.674564,0.84311646
960.0,0.20297344,0.09284344,0.08,0.10512052,4800.0,0.35,47,-18.57957,0.843025
980.0,0.20311156,0.093482435,0.17,0.104973584,4900.0,0.3,48,-19.133024,0.8431525
1000.0,0.20305341,0.094090335,0.06,0.105056725,5000.0,0.05,49,-27.416834,0.8431182
1020.0,0.20304415,0.09449997,0.11,0.104910426,5100.0,0.15,50,-22.714455,0.8430396
1040.0,0.20301943,0.09520603,0.16,0.10501962,5200.0,0.2,51,-26.222675,0.8428797
1060.0,0.20301634,0.09582324,0.11,0.10488275,5300.0,0.15,52,-26.132832,0.84289026
1080.0,0.20298794,0.096707694,0.16,0.105113946,5400.0,0.4,53,-21.100147,0.8427468
1100.0,0.20302543,0.09697358,0.1,0.10505378,5500.0,0.15,54,-23.096943,0.84267616
1120.0,0.20314774,0.0975695,0.19,0.10525811,5600.0,0.25,55,-26.083523,0.8426582
1140.0,0.20311254,0.098054454,0.16,0.10547477,5700.0,0.2,56,-21.883848,0.84256667
1160.0,0.20308763,0.09855403,0.13,0.10540495,5800.0,0.15,57,-25.462442,0.84254616
1180.0,0.20309351,0.099085115,0.21,0.105211474,5900.0,0.35,58,-18.2719,0.8426259
1200.0,0.20306294,0.099751815,0.18,0.10541913,6000.0,0.25,59,-19.866608,0.8426123
1220.0,0.20308483,0.100203104,0.16,0.10529888,6100.0,0.35,60,-18.477154,0.84260035
1240.0,0.20312525,0.100434944,0.23,0.105131306,6200.0,0.05,61,-24.985634,0.8427251
1260.0,0.20315157,0.1006623,0.11,0.105119266,6300.0,0.4,62,-14.5299835,0.8428939
1280.0,0.20315142,0.10103392,0.25,0.10507115,6400.0,0.2,63,-20.612175,0.84294707
1300.0,0.20311733,0.10138785,0.18,0.1050599,6500.0,0.4,64,-15.760559,0.84293747
1320.0,0.20319797,0.10178447,0.23,0.105002485,6600.0,0.35,65,-19.267538,0.8429189
1340.0,0.2032279,0.10221436,0.19,0.10493916,6700.0,0.25,66,-23.823359,0.8429163
1360.0,0.20330667,0.102623336,0.26,0.10491922,6800.0,0.25,67,-24.590229,0.84290093
1380.0,0.20324393,0.10321215,0.23,0.104987025,6900.0,0.15,68,-23.062645,0.8427457
1400.0,0.20328367,0.10338556,0.2,0.105116524,7000.0,0.35,69,-21.011303,0.8428356
1420.0,0.20323896,0.103991784,0.15,0.10509944,7100.0,0.25,70,-29.306332,0.842753
1440.0,0.20324509,0.10448047,0.23,0.10512438,7200.0,0.55,71,-15.475642,0.84289974
1460.0,0.2032626,0.10464756,0.18,0.10512302,7300.0,0.55,72,-17.105968,0.84295845
1480.0,0.20332968,0.10493761,0.2,0.105213284,7400.0,0.5,73,-18.100422,0.84307694
1500.0,0.2034008,0.105465345,0.32,0.105451636,7500.0,0.5,74,-13.692304,0.84308547
1520.0,0.20337139,0.1057832,0.27,0.10548142,7600.0,0.45,75,-18.297283,0.84307414
1540.0,0.20337199,0.106184624,0.24,0.105449446,7700.0,0.25,76,-21.997993,0.84308404
1560.0,0.2033717,0.10641562,0.29,0.10545216,7800.0,0.5,77,-16.404858,0.84303737
1580.0,0.2032808,0.10693392,0.29,0.10529665,7900.0,0.2,78,-24.714079,0.8429888
1600.0,0.20321669,0.10737021,0.23,0.10543397,8000.0,0.4,79,-23.286854,0.84301114
1620.0,0.20325617,0.10772304,0.29,0.105451845,8100.0,0.5,80,-14.141066,0.84298676
1640.0,0.20331146,0.10818441,0.25,0.10539063,8200.0,0.4,81,-18.573923,0.84307146
1660.0,0.20324841,0.108609036,0.28,0.10534068,8300.0,0.6,82,-12.791308,0.8430793
1680.0,0.20330206,0.10901494,0.3,0.10546851,8400.0,0.25,83,-22.14383,0.8430844
1700.0,0.20332685,0.109237194,0.23,0.10573437,8500.0,0.3,84,-19.522017,0.84315586
1720.0,0.20334025,0.10942848,0.32,0.10560569,8600.0,0.45,85,-19.358261,0.84312576
1740.0,0.20337096,0.109927796,0.33,0.10565609,8700.0,0.45,86,-16.214542,0.84315413
1760.0,0.20333509,0.11022538,0.32,0.105618365,8800.0,0.4,87,-16.299902,0.84307367
1780.0,0.20335363,0.110436805,0.29,0.105597116,8900.0,0.3,88,-21.293568,0.84308916
1800.0,0.2033306,0.11060851,0.25,0.10551337,9000.0,0.3,89,-21.556025,0.8430896
1820.0,0.20336391,0.110774286,0.28,0.10547423,9100.0,0.3,90,-22.822798,0.8431199
1840.0,0.20336156,0.11106347,0.36,0.10554415,9200.0,0.45,91,-17.390118,0.84312886
1860.0,0.20337062,0.111432835,0.35,0.10563768,9300.0,0.35,92,-22.589016,0.8431546
1880.0,0.20338666,0.111472376,0.36,0.105469406,9400.0,0.4,93,-18.170116,0.8431682
1900.0,0.203382,0.11155305,0.27,0.10549274,9500.0,0.3,94,-22.542812,0.84305304
1920.0,0.20339502,0.11181079,0.27,0.10541288,9600.0,0.4,95,-15.254529,0.8430426
1940.0,0.20334849,0.11202598,0.33,0.10557447,9700.0,0.5,96,-16.782848,0.84305185
1960.0,0.20335592,0.11218337,0.25,0.10547912,9800.0,0.45,97,-19.846716,0.8431211
1980.0,0.20340553,0.112361364,0.33,0.105392076,9900.0,0.45,98,-16.347908,0.8432072
2000.0,0.20340097,0.11269238,0.33,0.105344824,10000.0,0.4,99,-19.204782,0.8432067
2020.0,0.20337003,0.1129722,0.4,0.10538438,10100.0,0.6,100,-12.659284,0.84316915
2040.0,0.20337,0.113226235,0.31,0.10538175,10200.0,0.45,101,-18.794624,0.8431782
2060.0,0.20334579,0.11345604,0.44,0.10526198,10300.0,0.5,102,-16.413084,0.843193
2080.0,0.20332713,0.113592856,0.39,0.10527233,10400.0,0.55,103,-16.916521,0.8432691
2100.0,0.20331956,0.11391193,0.37,0.105231844,10500.0,0.55,104,-13.94505,0.84325093
2120.0,0.20329565,0.114103325,0.5,0.10515878,10600.0,0.3,105,-21.988493,0.8432221
2140.0,0.20331562,0.114251755,0.37,0.10509425,10700.0,0.55,106,-14.853464,0.84316343
2160.0,0.20333408,0.11424658,0.33,0.10496811,10800.0,0.55,107,-17.427166,0.84323674
2180.0,0.20332895,0.114290655,0.46,0.104947805,10900.0,0.35,108,-24.52705,0.8432479
2200.0,0.20330954,0.11431692,0.45,0.104887426,11000.0,0.4,109,-19.653574,0.84324074
2220.0,0.20333,0.11436615,0.49,0.1047721,11100.0,0.4,110,-16.665173,0.84325
2240.0,0.20331483,0.11443927,0.35,0.10477265,11200.0,0.3,111,-22.480469,0.8432772
2260.0,0.20332943,0.1145693,0.44,0.10474815,11300.0,0.55,112,-15.809566,0.84332126
2280.0,0.203368,0.114835955,0.38,0.10474334,11400.0,0.55,113,-18.069075,0.84335047
2300.0,0.2034153,0.11491635,0.4,0.10469651,11500.0,0.3,114,-23.858105,0.8433283
2320.0,0.20342413,0.11507595,0.42,0.104584016,11600.0,0.45,115,-19.563366,0.84335405
2340.0,0.20344508,0.115283415,0.4,0.10457953,11700.0,0.35,116,-22.299496,0.8433223
2360.0,0.2034652,0.11544035,0.46,0.104597695,11800.0,0.5,117,-19.421476,0.8433463
2380.0,0.20353414,0.11567804,0.41,0.10455262,11900.0,0.6,118,-16.434801,0.8434295
2400.0,0.20354523,0.115788735,0.44,0.104475744,12000.0,0.5,119,-15.6735325,0.8434606
2420.0,0.20352012,0.11586918,0.35,0.10444617,12100.0,0.55,120,-17.717707,0.8434642
