train/success_rate,test/mean_Q,test/success_rate,epoch,stats_g/mean,stats_g/std,stats_o/std,train/episode,stats_o/mean,test/episode
0.05,-2.5518718,0.1,0,0.83848816,0.07063354,0.0348204,100.0,0.2008586,20.0
0.11,-4.7826643,0.0,1,0.8377953,0.0707528,0.04169775,200.0,0.20049027,40.0
0.05,-5.688614,0.1,2,0.83748436,0.070517756,0.042709798,300.0,0.20035082,60.0
0.08,-7.644061,0.05,3,0.83867663,0.07141257,0.050967027,400.0,0.20103723,80.0
0.07,-10.245863,0.0,4,0.8401716,0.07130264,0.05097414,500.0,0.20154127,100.0
0.03,-10.729388,0.1,5,0.8401783,0.07132407,0.050601378,600.0,0.2014746,120.0
0.06,-10.127418,0.2,6,0.8396265,0.07117233,0.05046979,700.0,0.20121288,140.0
0.06,-12.325415,0.15,7,0.839451,0.0720445,0.051008463,800.0,0.20128693,160.0
0.08,-15.290907,0.1,8,0.8389451,0.07327487,0.05146502,900.0,0.20115614,180.0
0.05,-15.660962,0.05,9,0.83818626,0.074716955,0.05271195,1000.0,0.20104574,200.0
0.09,-13.988726,0.2,10,0.8384218,0.07505091,0.052978266,1100.0,0.20124578,220.0
0.06,-19.153906,0.0,11,0.8380545,0.074915506,0.053482074,1200.0,0.20118318,240.0
0.05,-19.40535,0.0,12,0.8381524,0.076023035,0.055005077,1300.0,0.20134524,260.0
0.07,-20.992802,0.05,13,0.8379504,0.075648166,0.054740705,1400.0,0.20135282,280.0
0.05,-21.868582,0.05,14,0.8377717,0.07593759,0.054928936,1500.0,0.20135285,300.0
0.06,-23.615889,0.05,15,0.838026,0.07685632,0.055559415,1600.0,0.2014256,320.0
0.04,-20.458452,0.1,16,0.83842677,0.07702306,0.055716373,1700.0,0.20156473,340.0
0.13,-24.13503,0.05,17,0.83842343,0.07679468,0.055523578,1800.0,0.20158692,360.0
0.09,-21.193981,0.15,18,0.83810824,0.07662572,0.056065854,1900.0,0.20145525,380.0
0.1,-21.150986,0.15,19,0.8379469,0.076330915,0.055903967,2000.0,0.2013767,400.0
0.02,-27.493128,0.0,20,0.8381805,0.076206826,0.055742368,2100.0,0.20143497,420.0
0.05,-23.06734,0.15,21,0.8380501,0.07608275,0.055803373,2200.0,0.2013595,440.0
0.06,-25.910263,0.1,22,0.8376343,0.07641073,0.05631934,2300.0,0.2012953,460.0
0.13,-26.972637,0.15,23,0.8372936,0.07655012,0.057150654,2400.0,0.20120472,480.0
0.08,-27.66539,0.05,24,0.8373653,0.07639492,0.057516117,2500.0,0.20123528,500.0
0.04,-25.193005,0.15,25,0.83751297,0.07665934,0.0575747,2600.0,0.20127438,520.0
0.16,-34.60688,0.0,26,0.8374412,0.076688774,0.05751046,2700.0,0.2012437,540.0
0.05,-28.840734,0.05,27,0.8373105,0.0768388,0.0577343,2800.0,0.20121515,560.0
0.05,-29.35088,0.1,28,0.83712476,0.076657064,0.05753187,2900.0,0.2011548,580.0
0.08,-35.368122,0.0,29,0.8370581,0.07677665,0.058241848,3000.0,0.20116293,600.0
0.07,-26.238104,0.05,30,0.8369508,0.0770059,0.058626685,3100.0,0.20111334,620.0
0.06,-31.767757,0.05,31,0.8369568,0.078558594,0.06084441,3200.0,0.20111842,640.0
0.11,-29.499197,0.05,32,0.8371857,0.07861415,0.060850047,3300.0,0.2011897,660.0
0.05,-25.382408,0.15,33,0.8374057,0.078605615,0.06102478,3400.0,0.20126957,680.0
0.09,-26.281076,0.05,34,0.83732444,0.07879036,0.061442584,3500.0,0.20126066,700.0
0.1,-27.09018,0.2,35,0.83748555,0.078622304,0.06137865,3600.0,0.20130925,720.0
0.11,-30.115606,0.05,36,0.8375576,0.07850401,0.06142875,3700.0,0.20128879,740.0
0.04,-26.360239,0.15,37,0.8377196,0.07840523,0.061675698,3800.0,0.20131528,760.0
0.08,-23.661728,0.25,38,0.83774143,0.07865303,0.061831035,3900.0,0.2013308,780.0
0.05,-26.659403,0.1,39,0.8375706,0.078796044,0.062537186,4000.0,0.20130949,800.0
0.07,-23.358881,0.15,40,0.83745795,0.078987055,0.0631067,4100.0,0.20130152,820.0
0.07,-28.45264,0.15,41,0.83743995,0.07884536,0.062936544,4200.0,0.20127653,840.0
0.07,-25.428402,0.1,42,0.8375276,0.07892522,0.063708164,4300.0,0.20124346,860.0
0.11,-29.480991,0.1,43,0.83752966,0.07886063,0.06389509,4400.0,0.20125385,880.0
0.11,-28.456116,0.05,44,0.83741134,0.078992195,0.06419433,4500.0,0.20124687,900.0
0.1,-28.657618,0.15,45,0.8374916,0.07912616,0.064560965,4600.0,0.20121937,920.0
0.14,-32.161545,0.0,46,0.8375015,0.079241924,0.0647844,4700.0,0.20122358,940.0
0.08,-26.841251,0.15,47,0.83746934,0.07936792,0.06533263,4800.0,0.20120336,960.0
0.15,-24.631584,0.1,48,0.83735853,0.079412974,0.06575514,4900.0,0.20118906,980.0
0.19,-18.753553,0.3,49,0.8373528,0.07928207,0.065803505,5000.0,0.20119046,1000.0
0.08,-25.82021,0.15,50,0.8374012,0.079114646,0.06574651,5100.0,0.2012028,1020.0
0.15,-27.98637,0.05,51,0.837408,0.07931741,0.06620356,5200.0,0.20116481,1040.0
0.14,-22.659834,0.15,52,0.83738524,0.079191305,0.06639181,5300.0,0.20119335,1060.0
0.13,-26.375864,0.05,53,0.83739513,0.0791624,0.06647277,5400.0,0.20118995,1080.0
0.07,-18.195225,0.2,54,0.83732384,0.07907941,0.066575624,5500.0,0.20115562,1100.0
0.12,-25.394783,0.05,55,0.83727384,0.07907177,0.06672483,5600.0,0.20111927,1120.0
0.19,-20.34608,0.25,56,0.8372257,0.07907473,0.06690079,5700.0,0.20112441,1140.0
0.2,-24.40699,0.1,57,0.83725435,0.078958504,0.06728456,5800.0,0.20112874,1160.0
0.11,-20.053663,0.25,58,0.8372016,0.07882619,0.06741747,5900.0,0.20115301,1180.0
0.18,-17.646275,0.25,59,0.83717805,0.07867832,0.06769091,6000.0,0.20119594,1200.0
0.18,-24.390528,0.15,60,0.837199,0.07865263,0.06828613,6100.0,0.20123354,1220.0
0.13,-14.530991,0.3,61,0.8372665,0.078515686,0.06853309,6200.0,0.20122479,1240.0
0.18,-17.578,0.2,62,0.8371667,0.07838237,0.06876278,6300.0,0.20122166,1260.0
0.22,-17.252964,0.2,63,0.83707684,0.07824556,0.069003746,6400.0,0.20118585,1280.0
0.16,-20.034662,0.2,64,0.8369964,0.07810682,0.06923043,6500.0,0.20114277,1300.0
0.22,-21.987797,0.0,65,0.83703715,0.07797102,0.06940464,6600.0,0.20112306,1320.0
0.17,-15.645859,0.3,66,0.8369062,0.07795555,0.07005188,6700.0,0.20112297,1340.0
0.18,-17.34231,0.2,67,0.83691454,0.07793886,0.070447385,6800.0,0.2011069,1360.0
0.17,-19.81695,0.25,68,0.8368907,0.0779283,0.0709536,6900.0,0.20107481,1380.0
