stats_o/mean,test/success_rate,stats_o/std,stats_g/std,test/mean_Q,train/episode,train/success_rate,epoch,stats_g/mean,test/episode
0.25899085,0.45,0.031134596,0.094593816,-1.1108565,20.0,0.25,0,0.8630075,20.0
0.25877923,0.55,0.029808078,0.0914245,-1.1596798,40.0,0.6,1,0.8636036,40.0
0.25895905,1.0,0.029260581,0.08781623,-0.6440143,60.0,0.7,2,0.86357695,60.0
0.26020226,0.95,0.029253071,0.08708334,-0.56183285,80.0,0.85,3,0.86735106,80.0
0.25984335,0.9,0.029217124,0.08656531,-0.68414575,100.0,0.8,4,0.8659386,100.0
0.26025587,1.0,0.029377317,0.08623917,-0.3273273,120.0,0.7,5,0.86743385,120.0
0.2600793,1.0,0.029467776,0.08577487,-0.25827497,140.0,0.85,6,0.8667787,140.0
0.26076752,1.0,0.029465903,0.085143745,-0.23127894,160.0,0.75,7,0.86913234,160.0
0.2607195,1.0,0.029590774,0.08487612,-0.21942787,180.0,0.9,8,0.869061,180.0
0.2609129,1.0,0.029765377,0.084973045,-0.17559299,200.0,0.65,9,0.86975676,200.0
0.26107997,1.0,0.029827219,0.0849179,-0.21438956,220.0,0.85,10,0.87041014,220.0
0.26102304,1.0,0.02992871,0.084942125,-0.095404625,240.0,0.9,11,0.8701699,240.0
0.26132092,1.0,0.030058082,0.08521677,-0.17836139,260.0,0.8,12,0.8713145,260.0
0.26146746,1.0,0.030067995,0.08508495,-0.12431429,280.0,0.85,13,0.8718291,280.0
0.2617461,1.0,0.030120302,0.084961064,-0.11027968,300.0,0.75,14,0.8727179,300.0
0.26204234,1.0,0.030220624,0.08516884,-0.19933401,320.0,0.9,15,0.87387234,320.0
0.26204023,1.0,0.030290302,0.085241206,-0.09307809,340.0,0.7,16,0.87377936,340.0
0.2619012,1.0,0.030248323,0.084991194,-0.06815559,360.0,0.85,17,0.873255,360.0
0.26177996,1.0,0.03022184,0.08486887,-0.10255718,380.0,0.75,18,0.8728699,380.0
0.26196587,1.0,0.030348724,0.08528305,-0.2004735,400.0,0.8,19,0.87345916,400.0
0.26208192,1.0,0.030385774,0.08530444,-0.14835405,420.0,0.8,20,0.8737394,420.0
0.2621418,1.0,0.030474659,0.0855652,-0.12389865,440.0,0.95,21,0.87388396,440.0
0.26235545,1.0,0.030428398,0.08536092,-0.06295963,460.0,0.8,22,0.8746163,460.0
0.26247603,1.0,0.03041676,0.08527533,-0.06711868,480.0,0.8,23,0.87512046,480.0
0.2624549,1.0,0.030397635,0.08517448,-0.010964944,500.0,0.8,24,0.8750138,500.0
0.2624356,1.0,0.03041849,0.08518534,-0.07592419,520.0,0.95,25,0.8749454,520.0
0.26237625,1.0,0.03034086,0.08485726,-0.09977439,540.0,0.85,26,0.8747325,540.0
0.26256862,1.0,0.030336503,0.08477352,-0.0767293,560.0,0.65,27,0.87545854,560.0
0.26247108,1.0,0.030286908,0.08458664,-0.0766436,580.0,0.8,28,0.8750673,580.0
0.26235616,1.0,0.030279398,0.084596194,-0.07840742,600.0,0.55,29,0.8747081,600.0
0.2623889,1.0,0.030215304,0.08435443,-0.04666533,620.0,0.85,30,0.874789,620.0
0.26248285,1.0,0.030281106,0.08455253,-0.083964035,640.0,0.6,31,0.8751323,640.0
0.2625497,1.0,0.030326981,0.08469518,-0.097934596,660.0,0.7,32,0.8753607,660.0
0.262546,1.0,0.030384248,0.084872015,-0.08456347,680.0,0.9,33,0.8753145,680.0
0.26256034,1.0,0.030384425,0.084857605,-0.065174595,700.0,0.8,34,0.8753702,700.0
0.26261166,1.0,0.030342123,0.08473575,-0.044416867,720.0,0.65,35,0.8755262,720.0
0.26261544,1.0,0.03033027,0.08464479,-0.034904435,740.0,0.8,36,0.8755527,740.0
0.26243383,1.0,0.030377258,0.08475265,-0.061319232,760.0,0.85,37,0.87490034,760.0
0.2623801,1.0,0.030395573,0.08480989,-0.088240065,780.0,0.7,38,0.8746898,780.0
0.26249576,1.0,0.030419264,0.08484972,-0.07547054,800.0,0.75,39,0.87509704,800.0
0.26248816,1.0,0.030433167,0.08487996,-0.06913892,820.0,0.8,40,0.8750773,820.0
0.26252326,1.0,0.03042888,0.084838815,-0.092487656,840.0,0.75,41,0.8751917,840.0
0.2624856,1.0,0.030422723,0.0848358,-0.060765587,860.0,0.65,42,0.875051,860.0
0.2625914,1.0,0.030444916,0.08487002,-0.07282588,880.0,0.85,43,0.8754094,880.0
0.2627185,1.0,0.030459339,0.08489537,-0.0957133,900.0,0.7,44,0.8758669,900.0
0.2627216,1.0,0.030431712,0.08475497,-0.11390966,920.0,0.9,45,0.8758733,920.0
0.26278782,1.0,0.030478667,0.08487797,-0.10152221,940.0,0.8,46,0.87614805,940.0
0.26290384,1.0,0.030517703,0.08500033,-0.059857197,960.0,0.9,47,0.87654704,960.0
0.26296705,1.0,0.030543188,0.08505964,-0.03157617,980.0,0.9,48,0.876795,980.0
0.26301637,1.0,0.030521195,0.08497747,-0.03240878,1000.0,0.6,49,0.876971,1000.0
0.26297927,1.0,0.030500239,0.08490384,-0.01922155,1020.0,0.8,50,0.87680405,1020.0
0.2628849,1.0,0.030496364,0.08485054,-0.037607294,1040.0,0.85,51,0.87646484,1040.0
0.26287046,1.0,0.030491346,0.08481252,-0.048993476,1060.0,0.75,52,0.8764186,1060.0
0.26289394,1.0,0.030443147,0.084645726,-0.08785094,1080.0,0.75,53,0.8764655,1080.0
0.26293093,1.0,0.030480374,0.08476312,-0.073159,1100.0,0.8,54,0.87657547,1100.0
0.26293546,1.0,0.030481413,0.08474132,-0.041550335,1120.0,0.6,55,0.8766027,1120.0
0.2629617,1.0,0.030454537,0.08462607,-0.056676306,1140.0,0.8,56,0.87670994,1140.0
0.26291928,1.0,0.03042925,0.08453339,-0.022771318,1160.0,0.9,57,0.8765655,1160.0
0.26291484,1.0,0.030417275,0.084504746,-0.0924152,1180.0,0.9,58,0.87654877,1180.0
0.2629715,1.0,0.030427977,0.08455851,-0.06768792,1200.0,0.9,59,0.8767778,1200.0
0.263055,1.0,0.03041569,0.08448613,-0.05559084,1220.0,0.9,60,0.8771028,1220.0
0.26300758,1.0,0.030456504,0.08465133,-0.07788712,1240.0,0.9,61,0.8769069,1240.0
0.26302844,1.0,0.030462176,0.0846686,-0.06401754,1260.0,0.6,62,0.877013,1260.0
0.26310134,1.0,0.03047512,0.08472594,-0.07523848,1280.0,0.8,63,0.8772735,1280.0
0.26309007,1.0,0.0304995,0.084814705,-0.053087167,1300.0,0.8,64,0.87719655,1300.0
0.26305237,1.0,0.03049012,0.08478532,-0.031558402,1320.0,0.8,65,0.87710017,1320.0
0.26302722,1.0,0.030474965,0.08473387,-0.015014674,1340.0,0.75,66,0.87699485,1340.0
0.26297814,1.0,0.030497562,0.08484888,-0.05651676,1360.0,0.85,67,0.8767722,1360.0
0.2629004,1.0,0.03047162,0.08474944,-0.05382169,1380.0,0.75,68,0.87645584,1380.0
0.26288703,1.0,0.030478064,0.084733926,-0.034542397,1400.0,0.8,69,0.87640756,1400.0
0.26285428,1.0,0.030496513,0.084810615,-0.07132743,1420.0,0.85,70,0.8762557,1420.0
0.262886,1.0,0.030515987,0.08486203,-0.06702038,1440.0,0.9,71,0.87636644,1440.0
0.26289636,1.0,0.03051421,0.0848546,-0.057213865,1460.0,0.7,72,0.87639236,1460.0
0.26288646,1.0,0.030520478,0.084869206,-0.07126828,1480.0,0.75,73,0.8763402,1480.0
0.26289383,1.0,0.03049557,0.08479193,-0.038223375,1500.0,0.8,74,0.8763681,1500.0
0.26298422,1.0,0.030512929,0.08486221,-0.08389314,1520.0,0.7,75,0.8767104,1520.0
0.2629622,1.0,0.030532658,0.08492124,-0.055741884,1540.0,0.7,76,0.8766231,1540.0
0.26298225,1.0,0.030549437,0.08497071,-0.06400151,1560.0,0.95,77,0.8767057,1560.0
0.26298344,1.0,0.030587494,0.08509031,-0.062153418,1580.0,0.8,78,0.8766975,1580.0
0.2630056,1.0,0.030577755,0.085053384,-0.052168082,1600.0,0.7,79,0.87678593,1600.0
0.262985,1.0,0.03056432,0.08500477,-0.06678369,1620.0,0.85,80,0.8767006,1620.0
0.26294065,1.0,0.030571306,0.08503121,-0.029577186,1640.0,0.7,81,0.8765462,1640.0
0.26289114,1.0,0.03055982,0.08500033,-0.028088212,1660.0,0.85,82,0.8763592,1660.0
0.26289213,1.0,0.03056637,0.085018694,-0.0577884,1680.0,0.7,83,0.87635183,1680.0
0.26283446,1.0,0.030545846,0.084934235,-0.05164815,1700.0,0.75,84,0.87615186,1700.0
0.26284254,1.0,0.030555421,0.084966384,-0.07342412,1720.0,0.65,85,0.87617713,1720.0
0.26282275,1.0,0.030576855,0.08505669,-0.068210796,1740.0,0.8,86,0.87609845,1740.0
0.2628604,1.0,0.030603543,0.0851489,-0.046222143,1760.0,0.85,87,0.8762312,1760.0
0.26286206,1.0,0.030590823,0.08511609,-0.06410893,1780.0,0.85,88,0.876245,1780.0
0.26284128,1.0,0.030602038,0.085152246,-0.05753116,1800.0,0.8,89,0.87617296,1800.0
0.26284587,1.0,0.030602887,0.08516004,-0.07729051,1820.0,0.8,90,0.8761723,1820.0
0.26285455,1.0,0.030608442,0.08517682,-0.045705765,1840.0,0.7,91,0.87618876,1840.0
0.26282963,1.0,0.030614838,0.08523216,-0.0924872,1860.0,0.8,92,0.87610096,1860.0
0.26278043,1.0,0.030607332,0.08521322,-0.049386293,1880.0,0.75,93,0.8759151,1880.0
0.26279655,1.0,0.03061958,0.08525432,-0.055151355,1900.0,0.8,94,0.8759703,1900.0
0.26276478,1.0,0.030611943,0.08522386,-0.057847656,1920.0,0.65,95,0.87584335,1920.0
0.26280618,1.0,0.030620998,0.085260056,-0.078884244,1940.0,0.55,96,0.8760078,1940.0
0.262832,1.0,0.0306161,0.08525569,-0.02124941,1960.0,0.7,97,0.8760671,1960.0
0.2627575,1.0,0.030620491,0.08525356,-0.056867193,1980.0,0.9,98,0.8757965,1980.0
0.26279992,1.0,0.03066132,0.085402966,-0.07532847,2000.0,0.7,99,0.87596303,2000.0
0.26278886,1.0,0.030643761,0.08533317,-0.057894766,2020.0,0.7,100,0.8759262,2020.0
0.26278794,1.0,0.030637246,0.08530113,-0.040715534,2040.0,0.9,101,0.8759311,2040.0
0.262815,1.0,0.03064313,0.08533046,-0.04836988,2060.0,0.7,102,0.87602615,2060.0
0.26285428,1.0,0.030629817,0.08528068,-0.051275514,2080.0,0.75,103,0.8761585,2080.0
0.26280755,1.0,0.030628031,0.08526146,-0.041023552,2100.0,0.75,104,0.87597424,2100.0
0.26282567,1.0,0.03061238,0.08519093,-0.023035605,2120.0,0.75,105,0.8760429,2120.0
0.26281193,1.0,0.03059662,0.085124105,-0.035089705,2140.0,0.7,106,0.87598586,2140.0
0.26276872,1.0,0.030583149,0.08508974,-0.046919256,2160.0,0.95,107,0.8758318,2160.0
0.26276618,1.0,0.030572604,0.085060954,-0.053839065,2180.0,0.8,108,0.87581635,2180.0
0.2627457,1.0,0.030579606,0.08509948,-0.054121833,2200.0,0.7,109,0.87573767,2200.0
0.26277915,1.0,0.03056848,0.08507475,-0.03994878,2220.0,0.8,110,0.87585455,2220.0
0.2627803,1.0,0.030559218,0.085061215,-0.03991737,2240.0,0.7,111,0.8758643,2240.0
0.26276553,1.0,0.030562544,0.08507201,-0.08309482,2260.0,0.6,112,0.8758169,2260.0
0.2627645,1.0,0.030558143,0.085045256,-0.054409213,2280.0,0.8,113,0.8758056,2280.0
0.2627392,1.0,0.03053075,0.08495891,-0.07074699,2300.0,0.8,114,0.87570876,2300.0
0.26274377,1.0,0.030532444,0.084955394,-0.01975698,2320.0,0.75,115,0.8757179,2320.0
0.26274964,1.0,0.030520385,0.084912784,-0.08330351,2340.0,0.5,116,0.8757202,2340.0
0.2627677,1.0,0.030513126,0.08489076,-0.056217767,2360.0,0.8,117,0.8757798,2360.0
0.26273307,1.0,0.03051884,0.08490598,-0.07154666,2380.0,0.6,118,0.87565714,2380.0
0.26273632,1.0,0.030527394,0.08492894,-0.047853306,2400.0,0.75,119,0.875662,2400.0
0.26276067,1.0,0.030542541,0.08495796,-0.03894822,2420.0,0.75,120,0.8757415,2420.0
0.26283062,1.0,0.030566275,0.08505871,-0.068828285,2440.0,0.6,121,0.8759927,2440.0
0.2628133,1.0,0.030560896,0.08503997,-0.049887717,2460.0,0.6,122,0.87594223,2460.0
0.26281202,1.0,0.030549172,0.08499628,-0.021471929,2480.0,0.8,123,0.87594455,2480.0
0.26279086,1.0,0.030533904,0.084932424,-0.029179875,2500.0,0.9,124,0.87586635,2500.0
0.26277855,1.0,0.030527066,0.0849101,-0.06510913,2520.0,0.8,125,0.87583,2520.0
0.26276678,1.0,0.030516928,0.08486193,-0.045608364,2540.0,0.65,126,0.875792,2540.0
0.2627432,1.0,0.030515183,0.08485818,-0.095176905,2560.0,0.7,127,0.8757116,2560.0
0.2627249,1.0,0.030508894,0.084840246,-0.07664261,2580.0,0.6,128,0.87564516,2580.0
0.26274285,1.0,0.030492958,0.084782295,-0.06304966,2600.0,0.7,129,0.87572265,2600.0
0.26270634,1.0,0.03048881,0.08477912,-0.06734209,2620.0,0.75,130,0.8755908,2620.0
0.2627085,1.0,0.030477848,0.08473691,-0.037864767,2640.0,0.7,131,0.8755757,2640.0
0.2627158,1.0,0.030471155,0.08471298,-0.031261615,2660.0,0.7,132,0.87561315,2660.0
0.2627104,1.0,0.030473461,0.08472374,-0.07306645,2680.0,0.75,133,0.8756079,2680.0
0.26271755,1.0,0.030477326,0.08474445,-0.07035904,2700.0,0.7,134,0.875662,2700.0
0.26271775,1.0,0.030482769,0.08476919,-0.054151773,2720.0,0.7,135,0.875662,2720.0
0.26272756,1.0,0.030476293,0.08474481,-0.031930476,2740.0,0.55,136,0.8756993,2740.0
0.26272193,1.0,0.030477833,0.08474483,-0.030975845,2760.0,0.75,137,0.8756933,2760.0
0.26273277,1.0,0.030479003,0.08475858,-0.05786563,2780.0,1.0,138,0.87573975,2780.0
0.26269984,1.0,0.030473644,0.0847308,-0.061687283,2800.0,0.7,139,0.8756301,2800.0
0.26265344,1.0,0.030488059,0.08477745,-0.08193619,2820.0,0.9,140,0.8754513,2820.0
0.26265466,1.0,0.030495431,0.08482829,-0.059963077,2840.0,0.85,141,0.875443,2840.0
0.26266056,1.0,0.030495668,0.08483694,-0.11119902,2860.0,0.8,142,0.8754745,2860.0
0.2626639,1.0,0.03050054,0.084854156,-0.074515074,2880.0,0.6,143,0.8754754,2880.0
0.26267081,1.0,0.0305023,0.0848484,-0.055051602,2900.0,0.5,144,0.8755031,2900.0
0.26266205,1.0,0.030501466,0.084847115,-0.062464267,2920.0,0.75,145,0.8754603,2920.0
0.26264647,1.0,0.030513775,0.08490262,-0.05528211,2940.0,0.8,146,0.8754039,2940.0
0.2626377,1.0,0.030508876,0.084888496,-0.026336411,2960.0,0.7,147,0.8753727,2960.0
0.2626717,1.0,0.030515462,0.08490852,-0.085237354,2980.0,0.8,148,0.8754978,2980.0
0.26266232,1.0,0.030508269,0.084876515,-0.030934533,3000.0,0.7,149,0.87544984,3000.0
0.26267242,1.0,0.030529791,0.08495482,-0.067407176,3020.0,0.7,150,0.8754831,3020.0
0.2626732,1.0,0.03051808,0.08491073,-0.04417247,3040.0,0.75,151,0.87549084,3040.0
0.26269984,1.0,0.030528864,0.08496946,-0.03490448,3060.0,0.8,152,0.87560034,3060.0
0.26270264,1.0,0.030525982,0.08496063,-0.030028135,3080.0,0.8,153,0.8755992,3080.0
0.26270777,1.0,0.030537318,0.08498224,-0.02759758,3100.0,0.8,154,0.87561464,3100.0
0.26273224,1.0,0.030551339,0.085033186,-0.083067425,3120.0,0.7,155,0.8757043,3120.0
0.26273674,1.0,0.03056629,0.085086636,-0.06263648,3140.0,0.9,156,0.8757005,3140.0
0.26275033,1.0,0.03056767,0.08509173,-0.045590345,3160.0,0.8,157,0.8757429,3160.0
0.26276028,1.0,0.030568033,0.085100286,-0.071691416,3180.0,0.9,158,0.87578064,3180.0
0.26275516,1.0,0.030582841,0.08514559,-0.07678263,3200.0,0.55,159,0.8757656,3200.0
0.2627535,1.0,0.030567134,0.08509025,-0.058663093,3220.0,0.75,160,0.8757601,3220.0
0.2627752,1.0,0.03056642,0.08510071,-0.062154155,3240.0,0.75,161,0.87584215,3240.0
0.26277298,1.0,0.03056654,0.08510498,-0.060361575,3260.0,0.75,162,0.8758299,3260.0
0.26281065,1.0,0.030572494,0.0851269,-0.099902526,3280.0,0.75,163,0.8759682,3280.0
0.2628209,1.0,0.030576345,0.08512626,-0.06396751,3300.0,0.65,164,0.8760002,3300.0
0.26284602,1.0,0.030564696,0.08508438,-0.027564025,3320.0,0.75,165,0.87608814,3320.0
0.26287177,1.0,0.03057463,0.0851208,-0.061243106,3340.0,0.7,166,0.87617683,3340.0
0.26284546,1.0,0.030569691,0.08511492,-0.039040655,3360.0,0.65,167,0.8760972,3360.0
0.2628458,1.0,0.030561889,0.085094154,-0.068369135,3380.0,0.75,168,0.8760875,3380.0
0.26284677,1.0,0.030569542,0.08512447,-0.05710522,3400.0,0.8,169,0.8761113,3400.0
0.26285595,1.0,0.030577827,0.08514909,-0.074381545,3420.0,0.8,170,0.8761508,3420.0
0.26286507,1.0,0.030580616,0.08516052,-0.035943188,3440.0,0.7,171,0.8761885,3440.0
0.26287368,1.0,0.03057457,0.085132785,-0.08084817,3460.0,0.75,172,0.8762266,3460.0
0.26282877,1.0,0.0305829,0.08517945,-0.113586046,3480.0,0.8,173,0.87605935,3480.0
0.26284248,1.0,0.030581951,0.08517489,-0.071621135,3500.0,0.8,174,0.8761144,3500.0
0.262855,1.0,0.030577803,0.085152864,-0.034815423,3520.0,0.7,175,0.8761527,3520.0
0.2628577,1.0,0.030590389,0.08519894,-0.07427819,3540.0,0.7,176,0.8761514,3540.0
0.26288265,1.0,0.030597907,0.08523604,-0.09027293,3560.0,0.7,177,0.87624604,3560.0
