test/success_rate,train/episode,stats_o/mean,stats_g/std,test/mean_Q,stats_g/mean,test/episode,epoch,train/success_rate,stats_o/std
0.0,100.0,0.17884718,0.11367965,-3.0740364,0.74238485,20.0,0,0.0,0.059454117
0.0,200.0,0.17711164,0.11163368,-5.0439863,0.74315387,40.0,1,0.0,0.054851923
0.0,300.0,0.17856896,0.11227009,-6.9085207,0.7463019,60.0,2,0.01,0.05335903
0.0,400.0,0.17815012,0.114051245,-9.161014,0.7461727,80.0,3,0.0,0.053693514
0.0,500.0,0.17855424,0.124033906,-10.894687,0.7469773,100.0,4,0.01,0.056816798
0.0,600.0,0.17835169,0.1283557,-12.063299,0.7473404,120.0,5,0.01,0.060882453
0.0,700.0,0.17820293,0.131157,-13.5129595,0.747755,140.0,6,0.01,0.06289496
0.0,800.0,0.17813708,0.13409568,-14.177118,0.7480106,160.0,7,0.0,0.063542545
0.0,900.0,0.17818436,0.13510393,-15.8522625,0.7479958,180.0,8,0.0,0.06478736
0.0,1000.0,0.1785756,0.13678141,-18.349176,0.7484947,200.0,9,0.0,0.06536791
0.0,1100.0,0.17840298,0.13714977,-17.577984,0.7482411,220.0,10,0.01,0.0668707
0.1,1200.0,0.17866892,0.1386608,-17.979328,0.7492147,240.0,11,0.02,0.06752565
0.0,1300.0,0.17905669,0.14741185,-20.314388,0.7498129,260.0,12,0.03,0.07076294
0.0,1400.0,0.17961721,0.14851643,-18.068764,0.7511557,280.0,13,0.02,0.07147477
0.1,1500.0,0.17955227,0.15214549,-17.053137,0.7509119,300.0,14,0.02,0.0729547
0.15,1600.0,0.18035208,0.15622275,-18.34073,0.75334835,320.0,15,0.01,0.07511274
0.1,1700.0,0.18088177,0.16067387,-17.470499,0.7556401,340.0,16,0.04,0.07729445
0.05,1800.0,0.18143532,0.16227837,-20.96498,0.7587189,360.0,17,0.03,0.07925143
0.15,1900.0,0.18189158,0.16462088,-17.079388,0.7617922,380.0,18,0.04,0.08076494
0.15,2000.0,0.18209691,0.16591042,-19.79082,0.7633817,400.0,19,0.05,0.08160928
0.1,2100.0,0.18229602,0.1701409,-17.761974,0.7657285,420.0,20,0.07,0.08341133
0.1,2200.0,0.18263921,0.1725085,-18.89922,0.76743203,440.0,21,0.06,0.08521123
0.25,2300.0,0.18289806,0.17424558,-13.540896,0.7692087,460.0,22,0.04,0.0863298
0.15,2400.0,0.18316486,0.17562194,-15.331813,0.76971763,480.0,23,0.07,0.08714944
0.2,2500.0,0.18347223,0.17555743,-13.444292,0.7715054,500.0,24,0.12,0.086998604
0.0,2600.0,0.18372922,0.17597394,-17.76748,0.7734539,520.0,25,0.13,0.0872789
0.25,2700.0,0.18397993,0.17623566,-13.630605,0.7753238,540.0,26,0.07,0.08751104
0.25,2800.0,0.18425217,0.17701848,-13.10145,0.7775305,560.0,27,0.08,0.0879222
0.35,2900.0,0.18446076,0.17697309,-15.781909,0.7786281,580.0,28,0.09,0.08809976
0.3,3000.0,0.18480816,0.17672448,-16.219267,0.7795501,600.0,29,0.13,0.08856767
0.15,3100.0,0.18497142,0.17670397,-17.228544,0.78062105,620.0,30,0.13,0.08909675
0.2,3200.0,0.18513311,0.17735358,-15.424718,0.7807564,640.0,31,0.05,0.0893204
0.3,3300.0,0.18535593,0.17784065,-13.795291,0.7816252,660.0,32,0.11,0.089348935
0.2,3400.0,0.18545619,0.17757885,-15.388922,0.78229564,680.0,33,0.09,0.08948548
0.3,3500.0,0.1856043,0.17735858,-13.780937,0.78286725,700.0,34,0.16,0.08967547
0.2,3600.0,0.18592985,0.17777948,-15.1758175,0.7843421,720.0,35,0.11,0.09024052
0.15,3700.0,0.18616742,0.17746967,-14.893774,0.78564805,740.0,36,0.13,0.09031438
0.2,3800.0,0.18646759,0.17710681,-16.10471,0.7865519,760.0,37,0.1,0.090302065
0.15,3900.0,0.18663876,0.17679726,-14.58804,0.787525,780.0,38,0.15,0.09028878
0.15,4000.0,0.18676239,0.17630517,-18.323002,0.7881182,800.0,39,0.16,0.09045485
0.3,4100.0,0.18683125,0.17564237,-13.112257,0.7888294,820.0,40,0.1,0.090342395
0.35,4200.0,0.18693711,0.17508979,-17.577267,0.78960323,840.0,41,0.12,0.09014011
0.35,4300.0,0.18708888,0.17496234,-14.889882,0.7904461,860.0,42,0.15,0.09032632
0.2,4400.0,0.18730043,0.17489535,-14.188235,0.7911857,880.0,43,0.13,0.0907918
0.2,4500.0,0.18755347,0.17456447,-15.358829,0.79207903,900.0,44,0.13,0.09071683
0.3,4600.0,0.18773128,0.17396063,-16.77531,0.79290456,920.0,45,0.15,0.090800315
0.15,4700.0,0.18788578,0.1737302,-15.248957,0.79358107,940.0,46,0.19,0.09081602
0.15,4800.0,0.18809536,0.17344184,-13.852259,0.7942532,960.0,47,0.14,0.09091362
0.55,4900.0,0.18831374,0.17294882,-10.978948,0.7951944,980.0,48,0.16,0.09079955
0.2,5000.0,0.18848151,0.17235023,-13.904158,0.79615015,1000.0,49,0.13,0.09064698
0.3,5100.0,0.18859051,0.17206408,-12.952495,0.7968063,1020.0,50,0.09,0.09059381
0.3,5200.0,0.18867874,0.17205314,-15.851301,0.79756814,1040.0,51,0.18,0.09069416
0.2,5300.0,0.18875499,0.17179924,-14.907976,0.7980986,1060.0,52,0.18,0.0906528
0.3,5400.0,0.18886927,0.17155008,-12.269174,0.7989128,1080.0,53,0.15,0.090816915
0.2,5500.0,0.18896697,0.17124242,-15.574617,0.7993539,1100.0,54,0.15,0.09073258
0.25,5600.0,0.18910812,0.17076813,-13.099165,0.79991245,1120.0,55,0.17,0.09082922
0.2,5700.0,0.18922064,0.1706705,-15.625463,0.8003239,1140.0,56,0.08,0.090841666
0.3,5800.0,0.18932438,0.17019303,-16.322208,0.8008614,1160.0,57,0.18,0.09076337
0.2,5900.0,0.18944994,0.16997206,-15.254328,0.8012336,1180.0,58,0.13,0.090901844
0.15,6000.0,0.1895568,0.16981636,-17.348305,0.801584,1200.0,59,0.16,0.09083468
0.15,6100.0,0.1896647,0.1694647,-16.978914,0.8021162,1220.0,60,0.12,0.090840444
