stats_o/std,test/success_rate,test/episode,stats_g/mean,stats_g/std,test/mean_Q,stats_o/mean,train/episode,epoch,train/success_rate
0.04813818,0.0,20.0,0.8439099,0.09113457,-2.8129725,0.20281397,100.0,0,0.04
0.048805695,0.1,40.0,0.84618884,0.09244728,-4.3971777,0.20366511,200.0,1,0.06
0.049829077,0.05,60.0,0.84595686,0.093933366,-5.8831806,0.2038959,300.0,2,0.04
0.048864454,0.0,80.0,0.8473893,0.09361752,-8.251817,0.20417675,400.0,3,0.09
0.054852627,0.05,100.0,0.848569,0.09297509,-10.240916,0.20484856,500.0,4,0.02
0.05676537,0.0,120.0,0.8481576,0.093324564,-12.104633,0.20450726,600.0,5,0.04
0.055549636,0.05,140.0,0.8478524,0.09407761,-12.848247,0.20427041,700.0,6,0.03
0.057053808,0.1,160.0,0.8475766,0.09446498,-13.881785,0.20438975,800.0,7,0.05
0.060598973,0.1,180.0,0.8470169,0.09558445,-13.466197,0.20427862,900.0,8,0.02
0.06269616,0.05,200.0,0.84697914,0.096481234,-14.334015,0.20427132,1000.0,9,0.04
0.06421276,0.0,220.0,0.8473713,0.0967108,-18.210537,0.20441115,1100.0,10,0.04
0.066177376,0.0,240.0,0.8468926,0.0972853,-21.194437,0.20436198,1200.0,11,0.02
0.06774777,0.0,260.0,0.8469,0.09716954,-19.719627,0.20429659,1300.0,12,0.05
0.06888983,0.05,280.0,0.84681803,0.09744555,-17.50231,0.20438077,1400.0,13,0.02
0.069584414,0.2,300.0,0.8468394,0.097431146,-18.040707,0.20444189,1500.0,14,0.02
0.07118806,0.1,320.0,0.8465734,0.09751445,-21.29492,0.20417434,1600.0,15,0.04
0.072210066,0.1,340.0,0.84670115,0.09766749,-19.11086,0.20422232,1700.0,16,0.03
0.07377746,0.0,360.0,0.84633535,0.09760535,-21.473764,0.20428847,1800.0,17,0.05
0.07425223,0.15,380.0,0.8460601,0.09775299,-21.71658,0.20423223,1900.0,18,0.0
0.07455166,0.15,400.0,0.845769,0.09763909,-21.255554,0.20410605,2000.0,19,0.03
0.07509592,0.05,420.0,0.84566545,0.098029874,-22.869493,0.20423864,2100.0,20,0.09
0.07631486,0.05,440.0,0.8456237,0.09903986,-24.814487,0.20431435,2200.0,21,0.05
0.07602621,0.05,460.0,0.84554654,0.09882983,-21.44402,0.20427372,2300.0,22,0.04
0.0764185,0.0,480.0,0.84556264,0.0986617,-23.705967,0.20424053,2400.0,23,0.07
0.07717342,0.0,500.0,0.8450956,0.099333525,-23.806627,0.2042855,2500.0,24,0.07
0.078164764,0.1,520.0,0.8451143,0.099356115,-23.658998,0.20431913,2600.0,25,0.04
0.078229874,0.0,540.0,0.8454583,0.09905247,-22.561588,0.20443049,2700.0,26,0.12
0.07855376,0.15,560.0,0.845305,0.09902409,-22.986029,0.20435974,2800.0,27,0.09
0.07906406,0.15,580.0,0.8453591,0.09919784,-23.308933,0.20437534,2900.0,28,0.06
0.079310775,0.05,600.0,0.84543157,0.0991778,-22.217773,0.20440967,3000.0,29,0.05
