test/success_rate,test/episode,stats_g/mean,train/episode,train/success_rate,stats_o/mean,stats_g/std,test/mean_Q,stats_o/std,epoch
0.1,20.0,0.8381941,100.0,0.05,0.20124874,0.07153309,-2.604416,0.04443918,0
0.0,40.0,0.8379469,200.0,0.11,0.2006781,0.07093366,-4.8220053,0.04372958,1
0.1,60.0,0.8375191,300.0,0.04,0.20082453,0.07056905,-5.7117805,0.04496257,2
0.05,80.0,0.8388455,400.0,0.09,0.20161797,0.0735254,-7.791133,0.04817818,3
0.0,100.0,0.84049445,500.0,0.06,0.20169874,0.07325111,-10.450112,0.04926186,4
0.1,120.0,0.8403235,600.0,0.04,0.20169729,0.072884716,-10.792875,0.048985347,5
0.2,140.0,0.8394828,700.0,0.03,0.20131628,0.07431941,-10.292349,0.050558317,6
0.15,160.0,0.8391599,800.0,0.12,0.2011851,0.0767019,-12.599338,0.053010587,7
0.1,180.0,0.8386608,900.0,0.09,0.20114157,0.07763659,-15.061949,0.054678563,8
0.05,200.0,0.8381149,1000.0,0.08,0.2010003,0.077712364,-16.347902,0.054365903,9
0.15,220.0,0.83842117,1100.0,0.07,0.20117016,0.07852925,-14.318964,0.054975737,10
0.0,240.0,0.83797544,1200.0,0.08,0.20107897,0.07947666,-19.33503,0.05629655,11
0.05,260.0,0.8380291,1300.0,0.05,0.20121294,0.08086,-19.190615,0.05804082,12
0.05,280.0,0.83780783,1400.0,0.06,0.20128004,0.08056229,-21.57377,0.058119223,13
0.05,300.0,0.8375826,1500.0,0.05,0.2013203,0.08072061,-21.803785,0.05845955,14
0.05,320.0,0.83782786,1600.0,0.05,0.20135348,0.081052974,-23.604326,0.05857647,15
0.1,340.0,0.83829004,1700.0,0.05,0.20148161,0.08082204,-19.8631,0.05858343,16
0.1,360.0,0.8382704,1800.0,0.13,0.20150179,0.08037906,-23.990795,0.058370866,17
0.15,380.0,0.83800364,1900.0,0.11,0.20138735,0.07999223,-20.170694,0.058267258,18
0.15,400.0,0.8378586,2000.0,0.11,0.2013306,0.07956196,-19.691061,0.057936855,19
0.05,420.0,0.83805734,2100.0,0.02,0.20134808,0.07933796,-26.668766,0.057890862,20
0.15,440.0,0.838011,2200.0,0.07,0.20135267,0.079024665,-23.425901,0.057593435,21
0.1,460.0,0.8376217,2300.0,0.05,0.20120919,0.07864418,-26.0051,0.057612874,22
0.15,480.0,0.83735067,2400.0,0.12,0.20110846,0.078313604,-25.332165,0.05746893,23
0.05,500.0,0.83730966,2500.0,0.09,0.20105818,0.078267895,-26.402822,0.057424374,24
0.1,520.0,0.8374925,2600.0,0.04,0.20112072,0.07806272,-25.834402,0.05741469,25
0.0,540.0,0.83746713,2700.0,0.18,0.20113455,0.07808634,-34.398537,0.057288136,26
0.05,560.0,0.83734924,2800.0,0.05,0.2010988,0.07815559,-24.680763,0.057282306,27
0.1,580.0,0.83720106,2900.0,0.04,0.2010218,0.07794206,-27.276007,0.057407886,28
0.0,600.0,0.83723325,3000.0,0.05,0.20106648,0.077802576,-32.43503,0.057718925,29
0.0,620.0,0.8371387,3100.0,0.08,0.20111436,0.077618025,-26.628748,0.05823301,30
0.05,640.0,0.8372523,3200.0,0.05,0.20118645,0.07782005,-32.48792,0.05878462,31
0.05,660.0,0.83749247,3300.0,0.1,0.2012019,0.07788709,-27.144909,0.05929949,32
0.15,680.0,0.83767015,3400.0,0.07,0.20126432,0.07811245,-26.02918,0.059359387,33
0.05,700.0,0.83766156,3500.0,0.08,0.20122486,0.07796553,-27.906693,0.059835933,34
0.15,720.0,0.83778477,3600.0,0.09,0.20124692,0.07798501,-26.752924,0.060182974,35
0.05,740.0,0.8378609,3700.0,0.11,0.20126575,0.07782655,-28.272882,0.0602356,36
0.15,760.0,0.83793974,3800.0,0.04,0.20129576,0.07770926,-24.561127,0.06058586,37
0.25,780.0,0.838015,3900.0,0.07,0.20128776,0.077601865,-20.660427,0.06152766,38
0.05,800.0,0.83786494,4000.0,0.09,0.20124733,0.07750338,-28.225246,0.06147439,39
0.1,820.0,0.8377793,4100.0,0.09,0.20117445,0.07736424,-25.25772,0.0614653,40
0.1,840.0,0.83771825,4200.0,0.06,0.20112835,0.07757216,-27.19076,0.06218858,41
0.15,860.0,0.83779454,4300.0,0.06,0.20114356,0.077475764,-25.394297,0.062188234,42
0.05,880.0,0.8377614,4400.0,0.1,0.20112589,0.07736382,-30.574894,0.06227486,43
0.05,900.0,0.83771056,4500.0,0.07,0.2010974,0.07728114,-27.719025,0.062419225,44
0.1,920.0,0.83778214,4600.0,0.09,0.20107426,0.077350765,-27.504086,0.06290612,45
0.0,940.0,0.8377885,4700.0,0.09,0.20108998,0.077341914,-31.012207,0.06298007,46
0.15,960.0,0.8376865,4800.0,0.05,0.20106702,0.077281065,-23.30907,0.06326977,47
0.2,980.0,0.83760834,4900.0,0.11,0.20105773,0.07725171,-21.954441,0.06361125,48
0.2,1000.0,0.8375154,5000.0,0.15,0.20097737,0.07759002,-22.551456,0.064155415,49
0.05,1020.0,0.83750397,5100.0,0.07,0.20100486,0.07796922,-25.931097,0.06457846,50
0.15,1040.0,0.8375328,5200.0,0.16,0.20102458,0.07802626,-26.449606,0.0649838,51
0.2,1060.0,0.8374779,5300.0,0.1,0.20101954,0.078153916,-23.774214,0.065307096,52
0.05,1080.0,0.8374912,5400.0,0.1,0.20093177,0.07855327,-23.377726,0.06617337,53
0.2,1100.0,0.8373985,5500.0,0.08,0.20092241,0.07892425,-17.914415,0.06656331,54
0.05,1120.0,0.8373732,5600.0,0.08,0.20094341,0.07895896,-25.852875,0.0668259,55
0.1,1140.0,0.8373358,5700.0,0.09,0.20094444,0.07925375,-23.012056,0.06745429,56
0.1,1160.0,0.83740336,5800.0,0.14,0.20095831,0.07925304,-24.247473,0.067681186,57
0.15,1180.0,0.837393,5900.0,0.11,0.20096028,0.079188734,-24.494844,0.06765533,58
0.1,1200.0,0.83741385,6000.0,0.05,0.20099267,0.07926836,-21.909641,0.067831926,59
0.15,1220.0,0.83749336,6100.0,0.13,0.20102754,0.07934352,-29.67001,0.068023756,60
0.15,1240.0,0.8376599,6200.0,0.08,0.20108324,0.0794943,-21.212204,0.06842088,61
0.1,1260.0,0.83755344,6300.0,0.1,0.20105074,0.079776354,-23.654863,0.0687508,62
0.2,1280.0,0.83750826,6400.0,0.14,0.20105873,0.079689585,-24.622074,0.06868072,63
0.1,1300.0,0.8375354,6500.0,0.07,0.20107502,0.079687096,-24.767376,0.06879072,64
0.0,1320.0,0.8375657,6600.0,0.11,0.20105715,0.0797151,-30.373821,0.06894622,65
0.15,1340.0,0.83747005,6700.0,0.13,0.20103998,0.07972344,-24.480585,0.069194295,66
0.05,1360.0,0.8374777,6800.0,0.1,0.201044,0.079633534,-25.779682,0.06929684,67
0.15,1380.0,0.83747387,6900.0,0.13,0.20104203,0.07950809,-26.429096,0.06941693,68
0.1,1400.0,0.8374583,7000.0,0.12,0.20107612,0.07951398,-24.751198,0.069586575,69
0.15,1420.0,0.83741117,7100.0,0.15,0.20105797,0.07941275,-25.76662,0.06946112,70
0.1,1440.0,0.8373912,7200.0,0.16,0.20105416,0.07941098,-23.796495,0.06969882,71
0.15,1460.0,0.8374309,7300.0,0.15,0.20109265,0.07941889,-22.789585,0.06990367,72
0.15,1480.0,0.83750683,7400.0,0.16,0.20113346,0.079466306,-22.746433,0.07005183,73
0.2,1500.0,0.83750206,7500.0,0.14,0.20113331,0.07945096,-25.797817,0.070185244,74
0.25,1520.0,0.83757764,7600.0,0.2,0.20117502,0.07941926,-19.465897,0.07027935,75
0.2,1540.0,0.8374793,7700.0,0.22,0.2011238,0.0794255,-24.514887,0.070436895,76
