train/success_rate,stats_g/mean,train/episode,test/mean_Q,test/episode,stats_g/std,stats_o/std,epoch,stats_o/mean,test/success_rate
0.1,0.86110383,20.0,-0.9665586,20.0,0.09315976,0.030783702,0,0.25886437,0.5
0.65,0.8635134,40.0,-1.0897285,40.0,0.091445744,0.029979538,1,0.25900066,0.55
0.75,0.863411,60.0,-0.622953,60.0,0.08885675,0.029601421,2,0.25900593,0.95
0.8,0.86905766,80.0,-0.5545704,80.0,0.088507235,0.029858183,3,0.26081222,0.95
0.8,0.8690029,100.0,-0.40957302,100.0,0.08821959,0.029889677,4,0.26079857,1.0
0.8,0.87003416,120.0,-0.4240965,120.0,0.08748225,0.029872457,5,0.26106048,1.0
0.85,0.86890316,140.0,-0.39617544,140.0,0.086729534,0.029836651,6,0.26073033,1.0
0.8,0.8710499,160.0,-0.23974328,160.0,0.0858439,0.029749036,7,0.26137435,1.0
0.85,0.87084013,180.0,-0.24476643,180.0,0.08548057,0.029843712,8,0.26127642,1.0
0.55,0.8713301,200.0,-0.23269553,200.0,0.08565488,0.03002342,9,0.26140586,1.0
1.0,0.87182504,220.0,-0.17071088,220.0,0.085711814,0.03012063,10,0.26153147,1.0
0.9,0.8713699,240.0,-0.18668951,240.0,0.085748844,0.030229792,11,0.26141262,1.0
0.75,0.87236696,260.0,-0.2400535,260.0,0.08599224,0.03035819,12,0.2616713,1.0
0.75,0.87276083,280.0,-0.21723291,280.0,0.085862,0.030376595,13,0.26177874,1.0
0.8,0.8736573,300.0,-0.14606217,300.0,0.08571827,0.030420959,14,0.26205543,1.0
0.9,0.8747348,320.0,-0.18475224,320.0,0.0859166,0.030515146,15,0.26232094,1.0
0.75,0.87467843,340.0,-0.14519216,340.0,0.08604177,0.030594226,16,0.26233113,1.0
0.7,0.87429684,360.0,-0.11796008,360.0,0.08583278,0.030567128,17,0.26222783,1.0
0.8,0.87381774,380.0,-0.130419,380.0,0.08575514,0.03055132,18,0.2620842,1.0
0.75,0.874358,400.0,-0.21746795,400.0,0.08612383,0.030658757,19,0.26224637,1.0
0.85,0.87456113,420.0,-0.15305531,420.0,0.08613344,0.030679429,20,0.26233378,1.0
0.9,0.8747511,440.0,-0.19747885,440.0,0.086381294,0.030759454,21,0.26240316,1.0
0.75,0.87552434,460.0,-0.08453527,460.0,0.086145006,0.030705074,22,0.26262996,1.0
0.9,0.8759665,480.0,-0.123812035,480.0,0.08605551,0.030692553,23,0.26273316,1.0
0.75,0.8758883,500.0,-0.10327725,500.0,0.08581084,0.03063279,24,0.26271865,1.0
0.85,0.87570316,520.0,-0.085952364,520.0,0.08576119,0.030627215,25,0.26266453,1.0
0.85,0.8754564,540.0,-0.15778312,540.0,0.085437514,0.030550178,26,0.26259658,1.0
0.65,0.87614053,560.0,-0.0703661,560.0,0.08527422,0.030520424,27,0.26277727,1.0
0.65,0.87576836,580.0,-0.03532976,580.0,0.08504077,0.03045842,28,0.26269045,1.0
0.55,0.87545633,600.0,-0.08566713,600.0,0.085025735,0.030441647,29,0.26259005,1.0
0.9,0.8754907,620.0,-0.1031986,620.0,0.08479464,0.030377567,30,0.26260892,1.0
0.55,0.8758653,640.0,-0.07614313,640.0,0.08500948,0.030444866,31,0.2627071,1.0
0.75,0.8761149,660.0,-0.11923641,660.0,0.085082315,0.030474205,32,0.26278123,1.0
0.9,0.8760629,680.0,-0.14319354,680.0,0.08527398,0.030527791,33,0.26277632,1.0
0.75,0.87612337,700.0,-0.05866448,700.0,0.08519861,0.030508708,34,0.26279238,1.0
0.65,0.87628525,720.0,-0.07653447,720.0,0.085083224,0.030469555,35,0.2628468,1.0
0.75,0.8763415,740.0,-0.05950694,740.0,0.084972024,0.030452017,36,0.26285714,1.0
0.85,0.87569785,760.0,-0.06972659,760.0,0.08508053,0.030502036,37,0.26267925,1.0
0.65,0.8754804,780.0,-0.067922674,780.0,0.08512011,0.030511945,38,0.2626201,1.0
0.75,0.8759064,800.0,-0.07307252,800.0,0.08515694,0.030535499,39,0.26274058,1.0
0.8,0.8759308,820.0,-0.04019533,820.0,0.08513582,0.030534029,40,0.26274616,1.0
