test/success_rate,stats_o/std,stats_o/mean,test/episode,train/episode,epoch,train/success_rate,test/mean_Q,stats_g/mean,stats_g/std
0.0,0.04891075,0.20316021,20.0,100.0,0,0.04,-2.8277478,0.8441613,0.09141066
0.1,0.050666124,0.20374066,40.0,200.0,1,0.06,-4.4699717,0.84637374,0.09235382
0.05,0.04833179,0.20386913,60.0,300.0,2,0.03,-6.049716,0.84638137,0.09267706
0.0,0.04762852,0.20424147,80.0,400.0,3,0.07,-8.129796,0.8477624,0.09258532
0.05,0.04999411,0.20490639,100.0,500.0,4,0.02,-10.002541,0.8489662,0.092199385
0.0,0.052797455,0.20451656,120.0,600.0,5,0.03,-12.423219,0.8485133,0.09285744
0.05,0.051585365,0.20430066,140.0,700.0,6,0.03,-13.640848,0.8483248,0.093373485
0.1,0.05438876,0.20418073,160.0,800.0,7,0.05,-14.449614,0.8479848,0.094324835
0.15,0.055938795,0.20406894,180.0,900.0,8,0.01,-13.914853,0.8478586,0.093714
0.05,0.05647539,0.20407625,200.0,1000.0,9,0.06,-15.3218565,0.84778553,0.09377732
0.0,0.0562322,0.20424548,220.0,1100.0,10,0.02,-19.539783,0.8479197,0.09444451
0.0,0.057809323,0.20397079,240.0,1200.0,11,0.01,-21.720407,0.8472546,0.09496542
0.0,0.059589606,0.20396571,260.0,1300.0,12,0.04,-21.522215,0.8469853,0.09575393
0.05,0.059309907,0.20399249,280.0,1400.0,13,0.03,-20.44991,0.8469201,0.09575924
0.15,0.06031701,0.20395948,300.0,1500.0,14,0.02,-20.459126,0.84699297,0.09571316
0.1,0.061212942,0.2039696,320.0,1600.0,15,0.04,-22.65656,0.8467911,0.095618226
0.15,0.06281081,0.20389004,340.0,1700.0,16,0.03,-21.843311,0.84669304,0.09610736
0.05,0.06366191,0.20391254,360.0,1800.0,17,0.03,-24.89407,0.84623337,0.09648737
0.05,0.06461327,0.2037819,380.0,1900.0,18,0.0,-25.064323,0.845985,0.09754065
0.15,0.066383846,0.2036936,400.0,2000.0,19,0.04,-23.900509,0.8457745,0.09728757
0.05,0.06676535,0.20357406,420.0,2100.0,20,0.05,-23.627487,0.8457108,0.09726063
0.0,0.06658602,0.20359784,440.0,2200.0,21,0.03,-28.352512,0.8459683,0.09714424
0.05,0.06672207,0.20359284,460.0,2300.0,22,0.03,-25.866856,0.8458836,0.09714251
0.0,0.06737397,0.20353237,480.0,2400.0,23,0.07,-28.56361,0.8457298,0.097334504
0.05,0.068079926,0.20349659,500.0,2500.0,24,0.02,-27.064632,0.8453544,0.097599976
0.05,0.06883584,0.20338663,520.0,2600.0,25,0.04,-27.736185,0.8451924,0.098109305
0.0,0.069579266,0.20336476,540.0,2700.0,26,0.07,-27.64422,0.845416,0.09815484
0.1,0.070413284,0.20344709,560.0,2800.0,27,0.07,-26.778027,0.8453713,0.09796711
0.05,0.07216529,0.20347235,580.0,2900.0,28,0.02,-29.299835,0.8451581,0.09879453
0.05,0.07303585,0.20346102,600.0,3000.0,29,0.03,-27.05506,0.8451081,0.09902674
0.05,0.07426164,0.20337386,620.0,3100.0,30,0.04,-33.027225,0.8450267,0.09926012
0.1,0.07507892,0.20320055,640.0,3200.0,31,0.05,-30.236694,0.8447609,0.09950092
0.0,0.075271495,0.20319109,660.0,3300.0,32,0.09,-27.885365,0.8447485,0.099704824
0.0,0.07586944,0.20341668,680.0,3400.0,33,0.03,-31.428345,0.8449526,0.09989823
0.05,0.07636051,0.20346397,700.0,3500.0,34,0.08,-32.33474,0.84496504,0.10002502
0.05,0.07758089,0.20365475,720.0,3600.0,35,0.1,-29.390339,0.8451479,0.10033071
0.05,0.0774423,0.20373148,740.0,3700.0,36,0.08,-30.376617,0.845382,0.10017017
0.15,0.077705525,0.20366825,760.0,3800.0,37,0.06,-27.350803,0.8452398,0.100395195
0.0,0.07794459,0.20366949,780.0,3900.0,38,0.03,-29.490448,0.8451402,0.10017904
0.15,0.078361996,0.20361888,800.0,4000.0,39,0.05,-23.191616,0.8449188,0.100242086
0.1,0.078637,0.2036987,820.0,4100.0,40,0.06,-24.749287,0.84490246,0.100134514
0.0,0.079844244,0.20375068,840.0,4200.0,41,0.04,-24.748518,0.8449258,0.10014361
