test/success_rate,train/success_rate,stats_o/mean,train/episode,stats_g/mean,test/episode,test/mean_Q,stats_g/std,epoch,stats_o/std
0.1,0.05,0.20063296,100.0,0.8385834,20.0,-2.6032414,0.07228221,0,0.047703058
0.0,0.11,0.20060593,200.0,0.8383491,40.0,-4.867679,0.071647294,1,0.04512172
0.1,0.06,0.20080115,300.0,0.838057,60.0,-5.668161,0.07079662,2,0.04550702
0.05,0.08,0.20181197,400.0,0.83932644,80.0,-7.6847067,0.07240411,3,0.04848503
0.0,0.08,0.20207664,500.0,0.8407986,100.0,-10.175718,0.07354533,4,0.04895551
0.15,0.03,0.20198609,600.0,0.8404426,120.0,-10.996185,0.07392966,5,0.0484334
0.2,0.06,0.2015943,700.0,0.83971167,140.0,-10.008217,0.07320299,6,0.04918667
0.15,0.09,0.20153004,800.0,0.8393796,160.0,-12.818349,0.07747805,7,0.053697787
0.1,0.08,0.2013962,900.0,0.8387661,180.0,-15.320621,0.0786029,8,0.054283608
0.05,0.08,0.20104373,1000.0,0.8381961,200.0,-16.375467,0.0782259,9,0.054825563
0.15,0.06,0.20112354,1100.0,0.83823895,220.0,-14.462132,0.07828171,10,0.055151
0.0,0.05,0.20110975,1200.0,0.8378462,240.0,-19.998846,0.077797554,11,0.055217482
0.05,0.06,0.2012171,1300.0,0.8379248,260.0,-19.246899,0.07811891,12,0.055391636
0.05,0.06,0.20120662,1400.0,0.8377108,280.0,-20.399002,0.07843143,13,0.056134082
0.05,0.06,0.2011355,1500.0,0.8373852,300.0,-21.170927,0.07867831,14,0.056129936
0.05,0.05,0.20128237,1600.0,0.83762985,320.0,-23.19643,0.07909706,15,0.05698994
0.1,0.03,0.20144719,1700.0,0.8380402,340.0,-19.523533,0.078783534,16,0.056666147
0.1,0.13,0.20146559,1800.0,0.838044,360.0,-23.297112,0.078917585,17,0.05645979
0.15,0.08,0.20134543,1900.0,0.83776957,380.0,-20.515608,0.07864335,18,0.056478556
0.1,0.11,0.20129633,2000.0,0.83760256,400.0,-19.971615,0.07832183,19,0.05717752
0.0,0.03,0.20138194,2100.0,0.8379194,420.0,-24.768051,0.07815316,20,0.0575719
0.15,0.05,0.20142363,2200.0,0.83783096,440.0,-21.665798,0.07833079,21,0.058291122
