stats_o/std,stats_o/mean,epoch,train/success_rate,stats_g/std,train/episode,test/success_rate,stats_g/mean,test/mean_Q,test/episode
0.05007047,0.17881888,0,0.0,0.115959376,100.0,0.0,0.74026555,-3.1210878,20.0
0.048993677,0.17705588,1,0.0,0.11699736,200.0,0.0,0.74148226,-5.078094,40.0
0.049167074,0.17858401,2,0.01,0.11705402,300.0,0.0,0.74579245,-6.888978,60.0
0.0496103,0.17832924,3,0.0,0.117170006,400.0,0.0,0.7463185,-9.183472,80.0
0.055390973,0.1788631,4,0.01,0.12458398,500.0,0.0,0.74815446,-10.528313,100.0
0.056483462,0.17874718,5,0.0,0.12715366,600.0,0.0,0.7484393,-12.570021,120.0
0.060586073,0.17851783,6,0.01,0.1308334,700.0,0.0,0.7474707,-14.386617,140.0
0.0611841,0.17845243,7,0.0,0.13364057,800.0,0.0,0.7476995,-14.318156,160.0
0.06342224,0.17800707,8,0.02,0.13750713,900.0,0.0,0.7472066,-15.744664,180.0
0.06447835,0.17827164,9,0.02,0.13931508,1000.0,0.0,0.747561,-18.981686,200.0
0.06550767,0.17817907,10,0.0,0.14287587,1100.0,0.0,0.74738187,-17.07927,220.0
0.06881307,0.17856671,11,0.04,0.15015173,1200.0,0.1,0.74823284,-16.379826,240.0
0.069733106,0.17900547,12,0.0,0.15349273,1300.0,0.0,0.7499011,-19.194666,260.0
0.070271045,0.17952949,13,0.02,0.15535787,1400.0,0.0,0.7513373,-17.457905,280.0
0.07235455,0.17973852,14,0.03,0.15758489,1500.0,0.0,0.75162125,-18.692331,300.0
0.07287362,0.18016544,15,0.02,0.15906925,1600.0,0.05,0.75347024,-20.19254,320.0
0.07426134,0.18057802,16,0.03,0.16158603,1700.0,0.1,0.7549944,-17.480099,340.0
0.0759341,0.18103833,17,0.03,0.16317593,1800.0,0.05,0.7565089,-22.441467,360.0
0.07676674,0.18108252,18,0.09,0.16458264,1900.0,0.05,0.7573877,-17.581032,380.0
0.07933688,0.18129882,19,0.02,0.1666717,2000.0,0.05,0.7589869,-19.98875,400.0
0.08111041,0.18119211,20,0.05,0.16981478,2100.0,0.3,0.7603287,-16.093157,420.0
0.082936935,0.18120056,21,0.05,0.17218237,2200.0,0.05,0.7623019,-17.747498,440.0
0.08398036,0.18131411,22,0.06,0.1728812,2300.0,0.0,0.76376957,-17.366484,460.0
0.083876275,0.18135676,23,0.06,0.17269033,2400.0,0.25,0.76423234,-15.101082,480.0
0.08409058,0.18142994,24,0.07,0.17249787,2500.0,0.1,0.76560193,-18.988632,500.0
0.08404605,0.1816288,25,0.07,0.17209144,2600.0,0.15,0.76683116,-17.749712,520.0
0.0840907,0.18174085,26,0.1,0.17187415,2700.0,0.1,0.7684805,-17.275562,540.0
0.08454578,0.18188074,27,0.12,0.1720217,2800.0,0.25,0.7703884,-15.429189,560.0
0.08474562,0.18220949,28,0.1,0.17188345,2900.0,0.15,0.7720161,-18.399616,580.0
0.08600682,0.18265294,29,0.1,0.17266159,3000.0,0.2,0.7735737,-14.582736,600.0
0.08611407,0.18294936,30,0.08,0.17249136,3100.0,0.2,0.7752702,-15.279904,620.0
0.08654342,0.18323442,31,0.11,0.17276622,3200.0,0.15,0.77678394,-11.604547,640.0
0.08652749,0.18357031,32,0.09,0.17236315,3300.0,0.15,0.77838534,-12.780039,660.0
0.08646302,0.18376522,33,0.06,0.17224628,3400.0,0.1,0.7798162,-12.459669,680.0
0.08657713,0.18406875,34,0.1,0.17197238,3500.0,0.25,0.780895,-13.922381,700.0
0.08768675,0.18442442,35,0.07,0.17284775,3600.0,0.2,0.7827856,-16.01253,720.0
0.08775516,0.18457426,36,0.09,0.17227012,3700.0,0.3,0.7840479,-12.053125,740.0
0.08752839,0.18475299,37,0.13,0.17157048,3800.0,0.15,0.7851935,-17.234554,760.0
0.087942295,0.18497373,38,0.12,0.17183559,3900.0,0.3,0.7865303,-12.488359,780.0
0.08781006,0.18515342,39,0.17,0.17129815,4000.0,0.15,0.7874355,-15.206265,800.0
0.087958954,0.18536152,40,0.1,0.17092235,4100.0,0.1,0.7883032,-15.281278,820.0
0.088047504,0.1855646,41,0.12,0.17057861,4200.0,0.15,0.78902894,-15.80707,840.0
0.088324755,0.18576306,42,0.09,0.17043798,4300.0,0.15,0.7902005,-15.598907,860.0
0.08855146,0.18596528,43,0.11,0.170134,4400.0,0.25,0.79099274,-12.589574,880.0
0.08873457,0.18611118,44,0.13,0.16994016,4500.0,0.3,0.7915701,-15.775075,900.0
0.08882418,0.18626675,45,0.11,0.16998787,4600.0,0.35,0.7922352,-15.063559,920.0
0.08902614,0.18634628,46,0.18,0.16979945,4700.0,0.2,0.7928486,-15.775179,940.0
0.089130275,0.18645972,47,0.13,0.16984713,4800.0,0.2,0.79352456,-13.241098,960.0
0.08928851,0.18671252,48,0.11,0.16954465,4900.0,0.35,0.79421616,-10.539141,980.0
